gene_name,KO_48h-KO_NAV,KO_48h-WT_48h,KO_48h-WT_NAV,KO_DP-KO_NAV,KO_DP-WT_DP,KO_DP-WT_NAV,KO_EE-KO_NAV,KO_EE-WT_EE,KO_EE-WT_NAV,KO_MP-KO_NAV,KO_MP-WT_MP,KO_MP-WT_NAV,KO_NAV-WT_NAV,KO_TE-KO_NAV,KO_TE-WT_NAV,KO_TE-WT_TE,WT_48h-WT_NAV,WT_DP-WT_NAV,WT_EE-WT_NAV,WT_MP-WT_NAV,WT_MP-WT_TE,WT_TE-WT_NAV
Olfr1174-ps,,,,,,,,,,1.0,,,,,,,,,,,,
Slc9a3,,,,,,,,,,1.0,,,,,,,,,,,,
Gm35212,,,,,,,,,,1.0,,,,,,,,,,,,
Ube2e2,0.657,1.0,0.89,0.465,0.843,0.251,0.851,0.955,0.579,1.0,0.929,0.413,,0.562,0.31,0.974,0.741,0.032,0.063,0.839,0.808,0.441
Acot10,,,,,,,,,,1.0,,,,,,,,,,,,
1700034J05Rik,,,,,,0.676,,,,1.0,,,,,,,,,,,,
Tnip2,0.0,1.0,0.107,0.593,0.967,0.005,0.613,1.0,0.005,0.386,0.579,0.0,0.083,0.826,0.09,0.915,0.149,0.014,0.008,0.101,0.887,0.241
Mup-ps3,,,,,,,,,,,,,,,,,,,,,,
Ppip5k2,0.001,0.42,0.029,0.016,0.985,0.189,0.001,1.0,0.037,0.004,0.989,0.044,0.459,0.0,0.009,0.962,0.0,0.154,0.001,0.067,0.846,0.024
Hist1h2bp,0.0,0.509,0.0,0.0,0.483,0.0,0.0,1.0,0.0,0.0,0.834,0.0,0.494,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.535,0.0
Rad21l,,,,,,,,,,1.0,,,,,,,,,,,,
4930452B06Rik,0.365,,0.292,0.624,,0.706,,,0.901,1.0,,0.704,,0.636,0.7,,0.05,0.913,0.544,0.447,,0.716
Gm7117,0.583,1.0,0.956,0.059,,0.311,0.014,1.0,0.114,0.241,,0.49,,0.088,0.374,,0.974,0.688,0.277,0.278,,0.217
Fau-ps2,0.553,,0.781,,,0.748,,,0.449,1.0,,0.878,,0.932,0.86,,0.763,0.646,0.856,,,0.623
Gm19009,,,,,,,,,,,,,,,,,,,,,,
Gm1848,,,,,,0.806,,,,1.0,,,,,,,,,,,,
Gm7061,,,,,,,,,,1.0,,,,,,,,,,,,
Cyp2a4,,,,,,,,,,1.0,,,,,,,,,,,,
Cavin3,0.142,,0.302,1.0,,0.751,1.0,,0.747,1.0,,0.75,,1.0,0.75,,0.011,0.955,0.963,0.92,,0.763
Marcksl1,0.0,1.0,0.0,0.0,0.809,0.0,0.01,0.867,0.001,0.0,0.799,0.0,0.65,0.006,0.0,0.949,0.0,0.0,0.0,0.0,0.159,0.0
Gm45162,0.712,,0.854,0.353,,0.069,0.582,,0.157,1.0,,0.259,,0.434,0.093,,0.252,0.057,0.37,0.208,,0.15
Gm6887,,,,,,,,,,0.69,,,,,,,,,,,,
Hist1h2aj,0.166,0.852,0.23,0.021,0.634,0.032,0.015,0.526,0.022,0.084,0.53,0.062,0.933,0.012,0.018,0.344,0.9,0.659,0.81,0.988,0.736,0.748
Hif1a,0.0,1.0,0.0,0.011,0.865,0.019,0.002,1.0,0.004,0.015,0.681,0.014,0.916,0.022,0.034,0.932,0.0,0.001,0.0,0.0,0.059,0.01
Gm5525,0.977,,0.242,0.084,,0.638,,,0.774,1.0,,0.235,,0.849,0.385,,0.239,0.91,0.931,0.352,,0.767
Olfr534-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
H2-M10.6,,,,,,,,,,,,,,,,,,,,,,
Gm14852,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr575,0.933,1.0,0.933,0.016,0.788,0.034,0.414,1.0,0.574,0.835,0.994,0.659,,0.114,0.19,,0.552,0.395,0.359,0.746,0.711,0.262
Sp7,,,,,,,,,,1.0,,,,,,,,,,,,
Epb41l1,0.585,,0.627,0.323,,0.356,0.261,,0.279,0.339,,0.201,,0.388,0.407,,0.226,0.654,0.397,0.614,,0.76
Rpl31-ps20,0.319,,0.565,,,0.629,,,0.588,0.318,,0.339,,0.08,0.18,,0.88,0.604,0.598,,,0.628
Areg,,,,,,,,,,1.0,,,,,,,,,,,,
Rac3,0.829,1.0,0.371,0.552,1.0,0.999,0.514,1.0,0.961,0.614,0.996,0.764,,0.857,0.707,,0.254,0.998,0.651,0.833,,0.431
Gm3532,,,,,,,,,,1.0,,,,,,,,,,,,
Gm17018,0.002,1.0,0.291,0.242,0.898,0.001,0.703,1.0,0.019,0.677,0.981,0.003,0.135,0.642,0.014,0.742,0.429,0.0,0.006,0.008,0.514,0.0
Hist2h2aa2,0.0,1.0,0.0,0.0,0.972,0.0,0.0,1.0,0.0,0.0,0.909,0.0,0.268,0.0,0.0,0.915,0.0,0.0,0.0,0.0,0.372,0.0
Gm36398,,,,,,,,,,,,,,,,,,,,,,
Lyrm4,0.0,0.926,0.0,0.128,0.975,0.477,0.001,0.945,0.011,0.091,0.98,0.247,0.565,0.038,0.206,0.956,0.0,0.362,0.251,0.158,0.839,0.356
Gm45668,,,,,,,,,,,,,,,,,,,,,,
Rtkn2,0.0,1.0,0.0,0.0,0.917,0.0,0.0,0.979,0.0,0.0,0.957,0.0,,0.0,0.0,0.987,0.0,0.0,0.016,0.0,0.865,0.0
Gm5708,,,,,,,,,,1.0,,,,,,,,,,,,
Rab33a,0.0,1.0,0.015,0.756,0.983,0.55,0.689,1.0,0.127,0.363,0.726,0.786,,0.968,0.362,0.838,0.001,0.663,0.079,0.35,0.698,0.094
Gm29624,,,,,,,,,,,,,,,,,,,,,,
Mblac1,0.206,1.0,0.036,0.117,0.94,0.016,0.416,1.0,0.105,0.264,0.959,0.021,,0.556,0.171,0.934,0.003,0.065,0.027,0.005,0.656,0.074
P3h2,0.353,,0.691,0.957,,0.092,,,0.104,1.0,,0.091,,0.385,0.574,,0.413,0.767,0.577,0.084,,0.634
Triml2,0.051,1.0,0.057,0.365,0.983,0.378,0.772,0.975,0.788,0.133,0.998,0.071,,0.14,0.138,0.987,0.148,0.309,0.166,0.076,0.887,0.19
Akap10,0.0,1.0,0.012,0.0,0.895,0.0,0.0,1.0,0.0,0.0,0.996,0.0,0.482,0.0,0.0,0.978,0.0,0.0,0.0,0.0,0.916,0.0
Obox3-ps3,,,,,,,,,,,,,,,,,,,,,,
Krt33b,,,,,,,,,,,,,,,,,,,,,,
Gm4780,,,,,,,,,,1.0,,,,,,,,,,,,
Gm44979,,,,,,,,,,,,,,,,,,,,,,
Olfr125,,,,,,,,,,1.0,,,,,,,,,,,,
Gm2324,,,,,,,,,,1.0,,,,,,,,,,,,
Gm8366,,,,,,,,,,,,,,,,,,,,,,
Trappc2l,0.0,1.0,0.104,0.852,0.605,0.079,0.955,0.521,0.034,1.0,0.235,0.039,0.091,0.96,0.033,0.559,0.671,0.918,0.916,0.749,0.453,0.611
Igkv1-136,,,,,,,,,,1.0,,,,,,,,,,,,
Nudt18,0.055,0.847,0.325,0.853,0.769,0.61,0.963,0.988,0.413,0.964,0.834,0.905,0.551,0.732,0.225,0.304,0.006,0.573,0.939,0.441,0.953,0.534
Gm45215,,,,,,,,,,1.0,,,,,,,,,,,,
4921536K21Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Rspo4,,,,,,,,,,1.0,,,,,,,,,,,,
Rdh7,,,,,,,,,,1.0,,,,,,,,,,,,
Cltrn,,,,,,,,,,1.0,,,,,,,,,,,,
Gm13762,,,,,,0.383,,,,1.0,,,,,,,,,,,,
Ilkap,0.0,0.405,0.018,0.0,0.789,0.273,0.0,1.0,0.152,0.0,0.978,0.143,0.056,0.0,0.117,0.705,0.995,0.019,0.039,0.082,0.555,0.005
Awat2,0.583,1.0,0.39,0.614,0.826,0.424,0.515,1.0,0.326,1.0,0.934,0.783,,0.427,0.253,0.604,0.084,0.943,0.808,0.418,0.579,0.893
Gm28383,,,,,,,,,,,,,,,,,,,,,,
Gm15274,,,,,,,,,,1.0,,,,,,,,,,,,
Gatad1,0.028,1.0,0.258,0.0,0.963,0.0,0.0,1.0,0.0,0.0,0.984,0.0,0.5,0.0,0.0,0.669,0.2,0.0,0.0,0.0,0.594,0.006
Ccl6,0.93,1.0,0.474,0.0,0.95,0.0,0.0,0.881,0.0,0.0,0.871,0.0,0.627,0.0,0.0,0.989,0.856,0.0,0.0,0.0,0.925,0.0
Olfr1384,,,,,,0.139,,,,1.0,,,,,,,,,,,,
Gprc5b,0.003,1.0,0.012,0.002,0.954,0.005,0.0,1.0,0.001,0.009,0.925,0.014,,0.0,0.001,,0.013,0.001,0.001,0.001,1.0,0.002
Rnase6,0.053,1.0,0.037,0.0,0.979,0.0,0.08,0.777,0.088,0.0,0.988,0.0,0.959,0.0,0.0,0.876,0.052,0.0,0.0,0.0,0.27,0.0
Olfr441,,,,,,,,,,1.0,,,,,,,,,,,,
Gm19219,,,,,,,,,,1.0,,,,,,,,,,,,
Duxf3,,,,,,0.81,,,,0.883,,,,,,,,,,,,
Gm16585,1.0,1.0,0.882,0.12,0.946,0.064,0.676,0.963,0.493,0.163,0.914,0.042,,0.262,0.151,,0.447,0.173,0.053,0.215,0.963,0.166
Gm28232,,,,,,,,,,,,,,,,,,,,,,
Slc23a2,0.284,1.0,0.305,0.767,0.989,0.041,0.111,1.0,0.54,1.0,0.967,0.07,0.045,0.171,0.404,0.82,0.067,0.057,0.213,0.024,0.14,0.941
Sh3bp1,0.009,1.0,0.029,0.139,0.989,0.275,0.011,1.0,0.032,0.023,0.984,0.033,0.818,0.578,0.81,0.595,0.001,0.331,0.023,0.02,0.596,0.1
Atp6v1b2,0.415,1.0,0.014,0.505,0.902,0.565,0.368,1.0,0.746,1.0,0.954,0.455,0.258,0.706,0.392,0.996,0.03,0.22,0.365,0.228,0.842,0.369
Mageb2,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr117,0.871,1.0,0.761,0.6,0.953,0.216,0.81,1.0,0.764,1.0,0.973,0.6,,0.919,0.447,,0.319,0.414,0.507,0.43,,0.608
Gm20854,,,,,,,,,,1.0,,,,,,,,,,,,
Tnrc18,0.004,1.0,0.001,0.329,0.967,0.165,0.926,1.0,0.671,0.399,0.959,0.093,0.822,0.712,0.441,0.814,0.0,0.089,0.195,0.24,0.887,0.104
Gm36891,,,,,,,,,,,,,,,,,,,,,,
Asxl3,,,,,,,,,,1.0,,,,,,,,,,,,
Gm10273,0.718,0.981,0.013,1.0,0.999,0.056,0.879,1.0,0.094,1.0,0.936,0.012,0.11,0.901,0.088,0.993,0.0,0.055,0.021,0.063,0.983,0.076
Phactr3,0.433,,0.947,0.629,,0.108,,,0.982,1.0,,0.378,,0.82,0.498,,0.934,0.125,0.989,0.231,,0.9
Gm11598,0.817,,0.693,0.656,,0.53,0.782,,0.647,1.0,,0.656,,0.932,0.808,,0.466,0.908,0.341,0.303,,0.219
Fasn,0.001,1.0,0.006,0.48,0.972,0.183,0.951,1.0,0.555,1.0,0.877,0.966,0.696,0.942,0.694,0.816,0.003,0.298,0.325,0.41,0.886,0.232
Pudp,,,,,,,,,,1.0,,,,,,,,,,,,
Rnf213,0.0,0.359,0.0,0.0,0.831,0.0,0.0,1.0,0.0,0.0,0.888,0.0,0.839,0.0,0.0,0.983,0.0,0.0,0.0,0.0,0.755,0.0
Kbtbd13,,,,,,,,,,1.0,,,,,,,,,,,,
Tas2r141-ps4,,,,,,,,,,1.0,,,,,,,,,,,,
Gm37207,,,,,,,,,,1.0,,,,,,,,,,,,
Zfp638,0.942,1.0,0.109,0.218,0.77,0.001,0.487,1.0,0.006,0.074,0.659,0.0,0.134,0.605,0.011,0.85,0.033,0.064,0.019,0.018,0.792,0.091
Zfp3,0.174,1.0,0.782,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.362,0.0,0.412,0.0,0.0,0.659,0.907,0.0,0.0,0.0,0.685,0.0
Apc-ps1,0.324,0.909,0.386,0.526,,0.434,0.354,1.0,0.266,1.0,,0.54,,0.53,0.583,,0.794,0.885,0.764,0.396,,0.858
Il9r,0.179,1.0,0.854,0.006,0.788,0.136,0.448,0.929,0.807,0.0,0.842,0.009,,0.041,0.393,0.74,0.679,0.006,0.359,0.14,0.871,0.054
Twistnb,0.001,0.144,0.007,0.0,0.598,0.0,0.001,0.314,0.006,0.332,0.953,0.464,0.674,0.202,0.491,0.146,0.934,0.012,0.761,0.227,0.17,0.001
Gm45655,,,,,,,,,,,,,,,,,,,,,,
Itm2c,0.0,1.0,0.002,0.032,0.975,0.08,0.618,1.0,0.849,0.469,0.915,0.435,0.82,0.549,0.775,0.541,0.0,0.137,0.549,0.135,0.88,0.065
Olfr1049,,,,,,,,,,,,,,,,,,,,,,
Gm9658,,,,,,0.541,,,,1.0,,0.714,,,0.327,,0.176,0.256,,,,
Gm4596,,,,,,,,,,0.385,,,,,,,,,,,,
Farsb,0.031,1.0,0.0,0.746,0.779,0.001,1.0,1.0,0.006,0.754,0.954,0.0,0.026,0.727,0.024,0.599,0.0,0.066,0.014,0.001,0.035,0.471
Bub3,0.782,1.0,0.319,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.842,0.0,0.211,0.0,0.0,0.799,0.087,0.0,0.0,0.0,0.222,0.0
Olfr1300-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Gm6803,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr829,0.683,,0.807,,,1.0,,,0.539,1.0,,0.484,,0.991,0.892,,0.419,0.878,0.913,,,0.654
Parp14,0.001,1.0,0.0,0.014,0.996,0.119,0.002,0.841,0.034,0.043,0.773,0.162,0.556,0.008,0.078,0.987,0.0,0.136,0.599,0.879,0.111,0.061
Gm5796,,,,,,,,,,1.0,,,,,,,,,,,,
Gm8907,,,,,,,,,,0.877,,,,,,,,,,,,
Ehf,0.272,,0.928,,,0.983,,,0.524,0.697,,0.915,,0.077,0.512,,0.767,0.53,0.913,,,0.531
Gm4510,0.54,1.0,0.494,0.031,,0.024,0.089,1.0,0.069,0.295,,0.13,,0.149,0.118,,0.421,0.248,0.162,0.209,,0.023
Gm28665,,,,,,,,,,1.0,,,,,,,,,,,,
LTO1,0.054,1.0,0.006,0.068,0.941,0.287,0.136,0.963,0.438,0.069,0.956,0.182,0.618,0.133,0.426,0.895,0.003,0.569,0.043,0.418,0.853,0.183
Gm3696,0.819,,0.808,,,1.0,,,0.821,1.0,,0.608,,1.0,1.0,,0.687,1.0,0.944,,,1.0
Gm14626,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr983,0.929,,0.313,,,0.264,,,0.112,1.0,,0.194,,0.434,0.058,,0.27,0.061,0.057,,,0.484
Abhd5,0.001,1.0,0.016,0.599,1.0,0.163,0.19,1.0,0.022,0.047,0.621,0.001,0.557,0.448,0.09,0.97,0.038,0.169,0.021,0.177,0.984,0.158
Fkbp1b,0.0,1.0,0.0,0.0,0.908,0.0,0.0,1.0,0.0,0.0,0.898,0.0,,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.992,0.0
Cdk8,0.0,1.0,0.061,0.62,0.904,0.001,0.453,1.0,0.0,1.0,0.988,0.002,0.026,0.148,0.0,0.307,0.016,0.007,0.003,0.001,0.615,0.026
Akr1b3,0.083,1.0,0.496,0.62,0.926,0.001,0.29,1.0,0.0,0.849,0.994,0.0,0.027,0.12,0.0,0.815,0.551,0.0,0.0,0.0,0.975,0.0
Lmcd1,,,,,,,,,,1.0,,,,,,,,,,,,
Gm11962,,,,,,,,,,1.0,,,,,,,,,,,,
Rhov,,,,,,,,,,1.0,,,,,,,,,,,,
Tubb2b,0.172,1.0,0.138,0.215,0.807,0.246,0.063,1.0,0.071,0.752,0.96,0.465,,0.294,0.317,0.961,0.376,0.02,0.186,0.255,0.877,0.479
Vmn1r-ps27,,,,,,,,,,1.0,,,,,,,,,,,,
Fbxo7,0.0,1.0,0.0,0.043,0.626,0.597,0.56,0.716,0.523,1.0,0.274,0.13,0.253,0.87,0.261,0.078,0.0,0.027,0.375,0.494,0.728,0.153
Lypd9,,,,,,,,,,1.0,,,,,,,,,,,,
Igtp,0.012,1.0,0.001,0.477,0.882,0.964,0.752,0.666,0.28,1.0,0.687,0.496,0.599,0.877,0.654,0.397,0.0,0.479,0.589,0.544,0.794,0.236
Pde6g,0.0,1.0,0.0,0.003,0.988,0.036,0.0,0.148,0.0,0.003,0.828,0.023,0.552,0.0,0.001,0.267,0.0,0.028,0.054,0.288,0.996,0.28
Gm8653,,,,,,,,,,1.0,,,,,,,,,,,,
Kmt5b,0.0,1.0,0.0,0.008,0.953,0.0,0.565,1.0,0.043,0.118,0.662,0.001,0.301,0.123,0.002,0.661,0.0,0.0,0.07,0.112,0.982,0.099
Dus4l,0.776,1.0,0.859,0.0,0.907,0.0,0.024,1.0,0.002,0.008,0.989,0.0,0.637,0.0,0.0,0.82,0.733,0.0,0.0,0.0,0.949,0.0
Psd,0.773,1.0,0.029,0.037,0.983,0.0,0.0,1.0,0.0,0.001,0.929,0.0,,0.001,0.0,1.0,0.033,0.0,0.0,0.0,0.914,0.0
Pdk4,0.431,,0.839,0.725,,0.463,,,0.159,1.0,,0.459,,0.907,0.171,,0.264,0.706,0.166,0.608,,0.101
Gm14466,0.772,1.0,0.638,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.752,0.0,,0.0,0.0,0.893,1.0,0.0,0.0,0.0,0.651,0.0
Gm7588,0.915,1.0,0.817,0.35,,0.42,0.549,1.0,0.623,0.271,,0.18,,0.292,0.339,,0.715,0.723,0.301,0.233,,0.275
Gm45023,,,,,,,,,,,,,,,,,,,,,,
Gm12241,,,,,,,,,,1.0,,,,,,,,,,,,
Itga5,1.0,1.0,0.983,0.096,0.972,0.084,0.037,1.0,0.03,0.725,0.841,0.369,,0.023,0.017,,0.973,0.153,0.002,0.048,0.982,0.061
Arih2,0.0,1.0,0.057,0.0,0.593,0.0,0.007,1.0,0.0,0.008,0.744,0.0,0.274,0.02,0.0,0.746,0.419,0.0,0.001,0.003,0.956,0.005
Tmem217,0.355,1.0,0.005,0.985,1.0,0.126,0.506,1.0,0.014,0.855,0.97,0.014,,0.839,0.059,,0.005,0.135,0.012,0.04,,0.033
Gm5583,,,,,,,,,,,,,,,,,,,,,,
Ythdf1,0.815,1.0,0.769,0.04,0.945,0.221,0.036,1.0,0.195,0.003,0.898,0.019,0.586,0.01,0.078,0.95,0.47,0.458,0.128,0.149,0.986,0.169
Vmn1r228,,,,,,,,,,1.0,,,,,,,,,,,,
Cntrob,0.188,1.0,0.856,0.001,0.958,0.047,0.645,0.983,0.605,0.069,0.981,0.366,0.375,0.13,0.698,0.977,0.934,0.019,0.713,0.521,0.976,0.583
Gm43225,,,,,,,,,,,,,,,,,,,,,,
Tex29,,,,,,,,,,1.0,,,,,,,,,,,,
Gm7680,,,,,,,,,,1.0,,,,,,,,,,,,
Gm12570,,,,,,,,,,1.0,,,,,,,,,,,,
Gm48185,,,,,,,,,,,,,,,,,,,,,,
Gm9370,0.826,1.0,1.0,0.295,0.982,0.143,0.662,1.0,0.404,1.0,0.715,0.59,,0.219,0.092,,0.672,0.204,0.894,0.043,,0.158
Gm21768,,,,,,,,,,,,,,,,,,,,,,
Timm21,0.654,0.763,0.076,0.97,0.891,0.014,0.65,1.0,0.065,1.0,0.973,0.005,0.04,0.506,0.11,0.981,0.0,0.107,0.003,0.015,0.203,0.166
Gm44563,,,,,,,,,,1.0,,,,,,,,,,,,
Wfdc5,,,,,,,,,,1.0,,,,,,,,,,,,
Foxn3,0.531,1.0,0.221,0.001,1.0,0.413,0.001,0.468,0.28,0.371,0.725,0.495,0.071,0.001,0.314,0.941,0.037,0.436,0.428,0.032,0.0,0.172
Gm11273,0.708,1.0,0.991,0.727,0.975,0.412,0.19,1.0,0.059,1.0,0.964,0.751,0.761,0.427,0.18,0.76,0.985,0.309,0.016,0.502,0.899,0.732
Gm48150,,,,,,,,,,,,,,,,,,,,,,
Cavin4,,,,,,,,,,,,,,,,,,,,,,
Gm13641,0.487,,0.948,0.292,,0.895,0.198,,0.729,0.398,,0.768,,0.014,0.155,,0.332,0.967,0.818,0.791,,0.473
Mup-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Tnik,0.0,1.0,0.0,0.234,0.793,0.0,0.175,0.846,0.0,0.008,0.945,0.0,0.008,0.106,0.0,0.908,0.0,0.0,0.0,0.0,0.433,0.0
Slc22a26,,,,,,,,,,1.0,,,,,,,,,,,,
Ggh,0.69,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0
Tbk1,1.0,1.0,0.058,0.468,0.993,0.003,0.834,0.963,0.023,0.052,0.914,0.0,0.102,0.301,0.001,0.868,0.009,0.005,0.0,0.0,0.358,0.012
Pi4ka,0.351,1.0,0.896,0.77,0.856,0.239,0.641,1.0,0.158,0.24,0.831,0.01,0.526,0.667,0.171,0.518,0.97,0.753,0.246,0.183,0.967,0.912
Bmyc,0.052,1.0,0.555,0.0,0.777,0.0,0.0,0.872,0.0,0.0,0.981,0.0,0.339,0.0,0.0,0.861,0.575,0.0,0.0,0.0,0.007,0.0
Derl3,0.001,1.0,0.146,0.0,0.494,0.0,0.0,0.796,0.0,0.0,0.192,0.0,,0.0,0.007,0.72,0.061,0.0,0.005,0.0,0.13,0.132
Slc7a7,0.732,1.0,0.436,0.333,0.983,0.585,0.761,1.0,0.987,0.582,0.971,0.562,,0.733,0.423,0.76,0.925,0.505,0.836,0.383,0.646,0.959
Defb25,,,,,,,,,,0.915,,,,,,,,,,,,
Nckap5,0.988,1.0,0.758,0.378,0.961,0.195,0.493,1.0,0.27,0.943,0.975,0.318,,0.495,0.269,0.908,0.284,0.358,0.065,0.509,0.612,0.101
Nutf2-ps1,0.552,0.763,0.001,0.208,0.892,0.0,0.968,1.0,0.026,0.344,0.997,0.0,0.055,0.888,0.011,1.0,0.0,0.002,0.001,0.0,0.343,0.013
Ferd3l,,,,,,,,,,1.0,,,,,,,,,,,,
Gm5682,,,,,,,,,,1.0,,,,,,,,,,,,
Mecp2,0.152,0.923,0.003,0.116,0.912,0.002,0.208,1.0,0.006,0.266,0.921,0.003,0.315,0.288,0.011,0.913,0.0,0.018,0.0,0.0,0.827,0.002
Atxn1,0.0,1.0,0.0,0.0,0.893,0.0,0.0,1.0,0.0,0.0,0.869,0.0,0.837,0.0,0.0,0.936,0.0,0.0,0.0,0.0,0.901,0.0
Gm8890,0.536,1.0,0.507,0.089,,0.079,0.184,1.0,0.159,0.53,,0.26,,0.32,0.282,,0.531,1.0,0.209,0.075,,0.682
Catip,,,,,,0.834,,,,0.869,,,,,,,,,,,,
Cyp2j13,0.369,1.0,0.27,0.168,1.0,0.111,0.152,1.0,0.093,0.818,0.849,0.35,,0.083,0.046,,0.264,0.117,0.099,0.987,,0.435
Gm9585,,,,,,,,,,1.0,,,,,,,,,,,,
Gm46138,,,,,,,,,,1.0,,,,,,,,,,,,
Itpa,0.044,1.0,0.0,0.0,0.641,0.0,0.0,1.0,0.0,0.001,0.931,0.0,0.123,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.579,0.0
Abca16,,,,,,,,,,1.0,,,,,,,,,,,,
Gm18416,,,,,,,,,,1.0,,,,,,,,,,,,
Ccer1,,,,,,,,,,1.0,,,,,,,,,,,,
Emp3,0.0,0.722,0.0,0.005,0.977,0.0,0.212,1.0,0.02,0.078,0.872,0.002,0.499,0.031,0.001,0.907,0.0,0.0,0.004,0.035,0.248,0.0
