gene_name,WT_0h_rep1,WT_0h_rep2,WT_0h_rep3,KO_0h_rep1,KO_0h_rep2,KO_0h_rep3,WT_6h_rep1,WT_6h_rep2,WT_6h_rep3,KO_6h_rep1,KO_6h_rep2,WT_24h_rep1,WT_24h_rep2,WT_24h_rep3,KO_24h_rep1,KO_24h_rep2,KO_24h_rep3,WT_48h_rep1,WT_48h_rep2,WT_48h_rep3,KO_48h_rep1,KO_48h_rep2,KO_48h_rep3
Npbwr1,0.0,0.0,0.0,1.194,0.0,0.0,1.791,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738,0.0,0.0
Rb1cc1,215.403,55.728,139.532,161.185,77.009,137.634,17.892,21.476,22.794,28.357,13.398,23.329,29.568,29.026,24.302,35.716,31.471,71.058,82.852,66.025,89.941,104.487,72.206
Alkal1,0.95,0.406,0.372,1.179,0.432,0.598,2.172,0.123,0.08,1.016,3.091,0.174,0.317,0.273,0.826,0.168,0.0,0.571,0.356,0.303,0.613,0.485,0.0
St18,0.786,0.514,0.488,1.339,0.452,0.692,1.934,0.887,0.412,1.761,1.958,1.009,0.919,1.621,2.793,2.056,3.774,1.311,1.429,1.651,2.645,2.787,2.445
Pcmtd1,73.608,27.117,29.418,67.028,41.626,21.105,12.201,13.023,14.243,24.085,9.588,19.695,16.815,19.336,26.718,22.111,19.098,61.411,59.345,62.999,74.096,83.209,52.845
Sntg1,0.764,0.379,0.431,0.989,0.47,0.26,1.853,0.427,0.283,1.029,1.419,0.29,0.162,0.217,0.912,0.248,0.27,0.482,0.248,0.241,0.723,0.199,0.231
Rrs1,73.368,126.77,80.037,59.222,95.594,72.636,156.103,351.461,197.861,228.171,285.97,211.295,203.524,222.522,148.945,155.652,129.526,120.464,128.602,117.385,57.2,74.276,103.35
Adhfe1,16.965,11.748,11.466,15.693,12.663,12.657,20.202,30.245,28.327,26.209,19.677,22.091,15.311,21.915,19.35,17.471,17.378,19.406,20.884,16.768,9.985,12.36,10.872
Vxn,0.65,0.0,0.306,1.019,0.148,0.136,0.68,0.168,0.11,0.9,0.846,0.0,0.0,0.0,0.678,0.0,0.148,0.391,0.293,0.0,0.42,0.0,0.185
Mybl1,2.779,1.026,2.014,2.487,1.287,1.727,1.546,1.197,0.696,3.625,2.231,4.899,6.695,7.388,6.079,9.988,7.734,22.867,31.415,27.45,22.751,28.868,29.03
Vcpip1,103.368,54.417,62.067,98.208,55.955,82.08,31.842,46.005,41.787,50.508,26.063,50.452,38.592,49.174,42.95,46.527,49.195,85.583,94.155,99.301,93.969,106.71,99.523
Sgk3,15.275,9.542,6.713,11.199,11.465,7.96,3.775,3.183,3.554,5.125,2.35,11.848,12.33,12.358,7.99,11.13,10.136,24.462,16.384,20.107,16.804,26.471,16.754
Mcmdc2,20.231,4.598,14.221,13.509,6.424,11.643,1.384,0.261,0.341,0.825,1.094,1.108,0.505,0.435,1.578,0.445,0.689,2.02,0.832,0.643,2.361,1.458,1.581
Tcf24,0.0,1.856,0.34,0.851,0.0,0.0,3.688,0.0,0.0,0.273,1.884,0.0,0.0,0.0,1.509,0.0,0.0,0.435,1.303,1.847,0.701,0.369,0.0
Ppp1r42,0.583,0.237,0.457,1.197,0.189,0.175,1.469,0.215,0.563,1.52,0.542,0.0,0.556,0.359,1.303,0.368,0.095,1.167,1.437,0.974,1.344,0.779,0.475
Cops5,82.829,34.761,60.27,80.857,47.862,60.361,48.961,64.046,64.212,69.263,31.326,70.235,96.408,69.031,56.261,102.863,80.267,67.569,113.034,89.739,65.724,99.733,74.883
Cspp1,46.474,15.376,28.362,41.109,21.756,22.654,32.98,34.171,38.902,52.086,23.635,36.036,46.63,44.993,35.086,57.648,49.646,79.282,84.296,80.362,80.233,91.208,61.001
Arfgef1,143.711,53.058,93.142,135.216,82.266,102.818,70.562,77.165,97.776,109.635,47.243,98.239,110.705,105.273,87.549,132.607,114.27,154.335,166.647,153.074,172.058,199.97,137.926
Cpa6,0.619,0.389,0.368,0.976,0.388,0.143,1.779,0.375,0.245,1.101,1.166,0.313,0.256,0.184,0.949,0.203,0.214,0.35,0.096,0.109,0.703,0.08,0.158
Prex2,0.511,0.403,0.52,0.86,0.322,0.205,1.513,0.281,0.331,1.033,1.109,0.279,0.145,0.219,1.002,0.134,0.173,0.446,0.253,0.173,0.685,0.333,0.232
A830018L16Rik,0.712,0.393,0.555,1.048,0.389,0.372,1.891,0.45,0.274,1.024,1.342,0.253,0.22,0.207,0.751,0.233,0.212,0.451,0.279,0.3,0.843,0.398,0.325
Sulf1,0.48,0.341,0.282,1.044,0.159,0.231,1.409,0.31,0.253,0.892,1.473,0.11,0.167,0.0,0.555,0.106,0.136,0.14,0.09,0.042,0.467,0.085,0.085
Slco5a1,0.375,0.229,0.231,1.014,0.183,0.112,1.031,0.242,0.317,0.96,1.103,0.49,0.134,0.192,0.651,0.307,0.244,0.67,0.562,0.597,1.231,1.115,0.648
Prdm14,6.402,3.506,4.82,3.538,2.24,3.1,2.412,0.636,0.624,1.704,0.534,0.451,0.0,0.354,1.711,0.0,0.841,0.739,0.0,0.262,1.192,1.047,0.702
Ncoa2,197.61,106.856,167.169,170.681,135.055,151.97,51.901,59.806,67.83,86.203,40.327,89.799,80.0,104.885,106.971,103.04,112.542,136.539,132.024,132.663,175.818,171.298,155.287
Tram1,69.474,60.231,66.87,60.934,73.81,64.17,20.541,20.407,24.889,34.104,11.319,50.731,52.476,63.234,52.791,72.873,71.939,107.721,122.686,116.36,99.364,128.577,111.946
Lactb2,21.13,14.849,11.219,21.143,25.568,8.942,26.706,26.478,32.419,39.362,15.336,54.789,70.041,69.921,51.518,74.812,66.907,81.87,101.818,95.21,63.29,82.402,66.019
Xkr9,0.461,0.292,0.0,0.936,0.0,0.0,1.137,0.265,0.346,1.095,1.11,0.188,0.0,0.0,0.712,0.181,0.233,1.025,0.23,0.0,0.826,0.522,0.292
Eya1,0.49,0.17,0.468,0.92,0.272,0.301,1.295,0.278,0.283,1.037,1.191,0.175,0.08,0.069,0.913,0.105,0.136,0.096,0.036,0.102,0.771,0.081,0.0
Msc,0.0,0.0,0.0,0.834,0.0,0.0,0.0,1.649,0.0,0.803,0.0,0.0,0.0,0.0,2.218,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0
Trpa1,0.438,0.104,0.286,1.002,0.166,0.0,1.717,0.189,0.247,0.965,1.583,0.134,0.244,0.0,2.537,1.289,1.58,0.439,1.095,0.698,9.074,7.263,5.514
Kcnb2,0.452,0.22,0.321,0.783,0.229,0.203,1.459,0.34,0.189,0.827,1.123,0.212,0.116,0.067,0.9,0.116,0.097,0.271,0.099,0.074,0.499,0.066,0.11
Terf1,97.893,30.655,62.544,84.651,40.561,60.192,22.091,23.728,26.959,38.584,15.242,45.691,43.537,56.778,58.471,74.277,80.142,126.389,128.914,128.492,166.333,172.994,139.214
Sbspon,0.955,0.742,0.612,1.588,0.691,0.364,2.439,0.224,0.734,1.311,1.13,0.477,0.58,0.374,1.056,0.46,0.692,0.956,0.717,0.461,1.472,1.55,1.114
4930444P10Rik,0.864,0.527,0.87,1.37,0.842,0.906,3.223,0.638,0.834,1.32,1.873,0.0,0.206,0.886,2.573,0.762,0.422,2.347,2.592,2.23,1.095,1.154,1.758
Rpl7,274.144,201.241,176.587,215.372,263.237,173.486,244.133,419.578,379.511,349.95,267.307,495.483,444.775,492.206,414.451,518.255,475.905,445.441,508.951,355.763,209.462,318.655,369.856
Rdh10,15.993,15.984,13.893,16.318,17.291,20.638,15.448,16.842,21.423,24.905,15.702,34.032,35.64,35.182,33.762,38.873,37.794,45.426,45.175,39.635,27.074,41.554,33.189
Stau2,0.695,0.313,0.408,1.006,0.408,0.316,1.936,0.778,0.714,1.486,1.506,0.954,0.444,0.732,1.388,0.95,0.976,2.167,2.232,2.449,2.326,2.234,1.782
Ube2w,70.844,32.363,30.992,61.784,33.006,28.43,37.607,45.93,49.036,56.516,27.335,48.599,43.995,54.369,42.317,54.751,47.362,82.968,85.748,86.676,79.961,87.631,63.172
Eloc,69.297,48.943,50.549,66.77,51.102,43.221,50.069,62.057,66.107,81.5,26.275,85.924,80.496,90.481,75.411,111.396,97.339,83.362,115.183,114.262,73.6,112.562,92.603
Tmem70,16.916,13.974,12.335,22.601,13.8,11.107,29.511,41.04,41.252,50.525,36.956,56.266,54.714,67.859,61.917,87.501,67.631,48.079,65.857,70.257,44.8,74.419,59.973
Ly96,3.904,2.042,1.123,3.539,1.087,0.836,2.497,2.265,0.808,2.306,1.382,0.584,1.063,1.144,2.215,3.515,3.629,4.785,5.976,3.895,6.943,7.586,3.633
Jph1,0.494,0.288,0.079,0.81,0.288,0.186,1.504,0.491,0.257,1.051,1.427,0.046,0.127,0.145,0.704,0.089,0.202,0.304,0.152,0.081,0.694,0.172,0.108
Gdap1,0.535,0.0,0.14,1.166,0.0,0.0,1.399,0.461,0.151,1.235,0.387,0.0,0.298,0.0,0.62,0.315,0.0,0.357,0.0,0.0,0.72,0.0,0.0
Pi15,0.407,0.662,0.0,0.987,0.396,0.122,2.125,0.0,0.0,0.658,1.26,0.426,0.194,0.167,0.202,0.0,0.0,0.233,0.087,0.0,0.375,0.0,0.166
Crispld1,0.429,0.122,0.538,0.729,0.0,0.0,1.458,0.333,0.145,0.972,2.607,0.314,0.0,0.123,0.298,0.076,0.098,0.0,0.193,0.0,0.624,0.0,0.0
Crisp4,0.33,0.469,0.0,1.005,0.0,0.231,2.655,0.284,0.093,0.83,0.715,0.0,0.183,0.0,1.146,0.097,0.0,0.44,0.0,0.0,0.532,0.0,0.157
Defb18,0.0,0.0,2.724,4.545,0.0,0.0,2.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Defb41,4.529,5.431,5.413,4.359,4.336,3.251,7.316,10.779,5.842,7.048,8.269,17.02,6.76,13.691,14.495,6.73,8.414,11.691,9.297,5.573,5.578,6.484,4.415
Tfap2d,0.693,0.152,0.25,0.801,0.303,0.168,1.775,0.413,0.18,0.872,2.08,0.878,0.356,0.23,0.926,0.376,0.061,0.48,0.36,0.453,0.903,0.272,0.304
Tfap2b,0.284,0.162,0.178,0.594,0.388,0.119,2.006,0.294,0.385,0.859,1.727,0.208,0.0,0.0,0.198,0.0,0.0,0.114,0.0,0.121,0.275,0.097,0.0
Pkhd1,0.626,0.36,0.509,0.952,0.5,0.221,1.593,0.374,0.331,1.209,1.554,0.265,0.111,0.19,0.733,0.207,0.226,0.38,0.276,0.307,0.729,0.23,0.266
Il17a,0.47,1.338,0.0,1.228,0.0,0.0,1.227,0.0,0.0,0.591,4.075,0.0,0.0,0.0,1.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Il17f,4.259,4.281,3.531,4.581,3.133,3.416,1.8,1.942,0.847,1.576,3.259,2.293,0.836,0.719,0.871,1.105,1.426,6.269,7.892,8.519,3.032,6.602,4.283
Mcm3,50.204,33.526,52.107,45.623,39.599,54.294,13.977,21.872,25.161,24.481,18.985,215.533,255.138,231.057,184.241,305.776,251.02,253.578,273.642,252.685,186.516,277.05,217.896
Paqr8,8.705,7.741,5.173,7.595,7.667,3.97,1.663,0.622,1.105,2.684,1.641,5.165,3.444,5.533,7.532,5.586,5.641,9.78,7.019,8.336,16.601,14.623,15.784
Efhc1,3.362,2.087,4.252,2.252,1.666,1.356,1.351,0.334,0.364,0.813,0.748,0.473,0.431,0.495,0.599,0.304,0.196,0.431,0.323,0.366,1.6,0.953,0.491
Tram2,23.278,16.457,24.918,24.665,18.46,28.004,3.986,2.892,3.749,7.475,3.529,10.729,9.912,12.738,16.756,14.794,15.986,15.6,9.279,12.974,26.826,24.318,21.8
Tmem14a,3.93,1.658,1.14,3.993,3.641,2.443,2.281,1.505,1.722,2.381,1.894,4.264,3.885,1.254,5.564,4.11,3.315,5.537,5.459,4.641,8.222,13.116,10.37
Gsta3,1.077,0.575,1.159,2.11,1.683,0.847,0.967,0.174,0.683,1.016,1.751,0.0,0.225,0.0,0.702,0.95,0.92,0.539,0.303,0.429,2.172,0.915,0.192
Khdc1a,0.0,0.0,0.0,0.861,0.0,0.0,1.722,0.0,0.0,0.0,2.859,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0
Khdc1c,0.0,0.0,2.102,5.26,0.0,0.0,1.753,0.0,1.135,0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.083,0.0,0.0
Khdc1b,1.198,0.0,0.0,1.565,0.0,0.0,0.782,0.0,0.0,3.015,2.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899,0.0,0.0,0.0,0.0
Kcnq5,23.452,7.709,10.147,17.804,7.51,12.332,120.988,207.482,138.21,172.698,110.043,116.88,89.213,134.305,110.692,123.519,116.655,204.61,179.837,175.699,138.151,139.462,109.082
Cox5b,3.016,3.021,3.315,3.345,3.008,3.312,2.691,1.752,1.603,2.274,2.282,1.76,1.483,1.588,2.226,1.457,1.402,3.045,2.265,2.429,2.321,1.844,1.991
Rims1,0.192,0.092,0.147,0.403,0.096,0.048,0.691,0.176,0.11,0.478,0.535,0.166,0.043,0.103,0.293,0.063,0.044,0.234,0.054,0.069,0.309,0.149,0.111
Ppp1r14bl,0.0,0.0,0.0,2.477,0.0,0.0,2.476,0.0,0.0,1.193,0.0,0.0,0.0,0.0,0.0,0.0,4.318,0.0,0.0,2.015,0.0,0.0,0.0
Ogfrl1,2.061,0.772,1.953,2.904,1.85,3.299,1.841,2.242,1.742,2.524,1.646,2.383,0.905,2.024,1.507,2.967,1.729,4.451,5.531,4.38,5.426,6.361,4.945
B3gat2,0.849,0.165,0.272,1.009,0.263,0.284,1.286,0.449,0.457,0.923,1.339,0.141,0.0,0.222,1.006,0.375,0.132,0.348,0.232,0.287,0.717,0.164,0.165
Smap1,75.141,24.187,40.142,64.349,32.719,33.882,16.839,19.899,22.24,28.015,11.545,26.184,21.362,27.612,26.07,27.995,26.605,56.29,56.439,50.271,63.449,59.139,44.889
Sdhaf4,2.605,1.484,1.904,3.176,2.764,4.008,4.309,4.487,6.164,5.025,5.271,5.087,4.635,8.976,8.448,9.5,11.073,7.3,3.647,7.751,12.33,11.809,12.37
Fam135a,0.492,0.269,0.622,0.79,0.387,0.317,1.136,0.342,0.224,0.904,1.558,0.485,1.136,0.489,0.986,1.168,0.646,1.741,1.305,0.965,1.373,1.704,0.647
Col9a1,0.315,0.256,0.387,0.734,0.102,0.047,1.321,0.465,0.418,0.877,1.462,0.082,0.15,0.0,0.39,0.04,0.0,0.36,0.034,0.0,0.544,0.076,0.128
Col19a1,0.563,0.163,0.376,0.824,0.202,0.175,1.717,0.229,0.185,0.899,1.222,0.229,0.174,0.09,0.743,0.064,0.154,0.334,0.149,0.067,0.598,0.115,0.178
Lmbrd1,105.689,31.244,62.061,93.122,45.865,65.052,25.69,31.681,30.354,41.264,20.448,26.993,25.751,28.686,30.43,33.727,27.438,60.453,65.943,61.566,62.429,59.423,44.094
Adgrb3,0.531,0.303,0.27,0.856,0.247,0.228,1.706,0.24,0.213,0.863,1.133,0.178,0.14,0.114,0.769,0.129,0.151,0.381,0.143,0.165,0.543,0.124,0.132
4931408C20Rik,0.299,0.0,0.0,1.952,2.039,0.0,1.171,0.772,1.01,3.384,7.776,1.094,0.0,0.0,3.115,0.0,0.0,1.197,0.0,0.0,1.447,0.0,0.0
Gm597,0.408,0.0,0.639,1.066,0.0,0.0,0.0,0.0,0.0,2.054,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.0,0.0
Phf3,261.486,68.435,148.939,207.645,96.358,158.467,36.526,47.469,50.145,63.375,28.837,60.791,58.931,63.59,60.144,78.153,68.953,134.636,135.025,121.994,133.877,146.214,103.749
Ptp4a1,294.255,129.427,83.451,202.301,200.192,90.112,43.758,52.96,62.661,74.894,38.642,58.082,52.327,68.582,35.298,67.619,66.966,54.586,109.879,81.819,37.963,59.69,51.291
Gm5698,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.684,0.0,0.0,0.0,4.659,0.0,0.0,3.756,0.0,0.0
4931428L18Rik,0.608,0.128,0.153,0.99,0.444,0.173,1.373,0.485,0.317,1.115,0.944,0.165,0.125,0.086,0.704,0.238,0.12,0.286,0.169,0.255,0.739,0.204,0.128
Lgsn,0.298,0.0,0.187,0.467,0.271,0.375,1.79,0.0,0.0,0.75,0.775,0.218,0.0,0.0,0.621,0.105,0.0,0.596,0.089,0.127,0.769,0.0,0.0
Pih1d3,0.0,0.0,0.0,1.52,0.0,0.0,0.0,3.007,0.0,0.0,5.046,0.0,0.0,0.0,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,3.316
Khdrbs2,0.511,0.208,0.261,0.93,0.245,0.219,1.642,0.314,0.223,0.944,1.175,0.14,0.093,0.09,0.748,0.184,0.119,0.41,0.115,0.14,0.532,0.142,0.099
Gm5415,0.935,0.0,0.732,1.833,0.0,0.0,0.611,1.208,0.0,0.0,0.0,0.0,0.0,1.343,3.25,0.0,0.0,0.936,0.702,0.0,0.755,0.795,0.0
Prim2,33.791,13.172,22.989,31.676,18.369,21.292,8.999,8.681,9.997,14.056,7.724,67.629,56.459,79.916,71.396,76.972,81.128,121.035,102.416,106.254,104.982,102.047,95.991
Rab23,9.603,9.963,12.706,11.959,7.786,8.902,10.985,13.272,9.814,17.701,5.165,26.439,32.534,29.072,27.934,31.789,29.664,31.59,35.508,34.489,24.264,33.282,30.331
Bag2,8.224,10.93,11.162,8.773,10.597,9.489,22.734,30.813,28.961,25.005,10.104,57.718,48.932,72.031,50.484,58.293,61.489,36.493,47.701,53.602,26.1,33.089,37.103
Zfp451,66.321,35.979,41.862,64.43,47.902,47.736,58.683,73.514,65.248,76.673,44.021,73.179,68.164,81.151,65.24,85.696,78.773,106.132,125.117,113.019,89.817,114.263,86.324
Bend6,1.089,0.345,0.995,1.423,1.032,0.254,1.186,0.313,0.256,0.914,1.05,0.222,0.202,0.087,1.682,0.214,0.0,0.545,0.681,0.643,1.123,0.669,0.431
Dst,1.812,0.768,1.841,1.651,0.824,1.07,2.025,1.328,1.389,1.755,1.535,2.021,1.322,2.154,1.479,1.011,0.892,11.354,5.891,6.816,1.72,1.333,0.889
Ccdc115,39.348,44.822,57.217,23.495,38.343,49.529,61.664,87.147,108.314,74.257,95.061,69.98,82.517,67.796,56.64,59.515,60.161,37.132,58.179,45.397,35.376,44.914,51.253
Imp4,148.951,106.172,160.692,130.323,108.991,162.389,123.809,168.813,204.955,170.87,128.562,154.715,142.155,176.905,111.035,135.338,128.155,92.755,86.283,91.31,60.448,80.283,96.112
Ptpn18,15.323,26.784,18.866,18.497,23.548,19.288,7.315,7.646,10.896,11.301,10.998,14.317,14.103,12.746,26.438,15.292,13.717,13.75,11.73,16.845,16.2,20.301,18.067
Prss39,2.901,0.0,5.679,2.369,1.649,0.0,1.894,0.0,0.613,0.456,3.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088,3.083,1.17,0.0,2.067
Cfc1,0.389,0.0,0.0,1.272,0.0,0.409,1.78,0.0,0.0,1.47,2.533,2.139,0.0,0.0,4.06,0.344,0.0,0.0,0.876,0.414,0.943,0.331,0.0
Prss40,0.099,0.283,0.311,0.779,0.678,0.0,1.298,0.514,0.168,1.001,0.431,0.364,0.0,0.285,1.036,0.0,0.0,0.199,0.149,0.0,0.481,0.169,0.0
Amer3,0.598,0.426,0.234,1.758,0.0,0.0,1.562,0.386,0.0,1.129,0.0,0.0,0.499,0.0,1.039,0.0,0.0,0.299,0.224,0.0,0.965,0.254,0.0
Arhgef4,1.736,4.623,3.246,2.121,2.669,2.332,3.882,3.162,4.391,3.221,3.628,5.533,5.958,5.379,5.337,5.157,4.323,3.125,3.241,3.583,2.942,3.397,3.843
Fam168b,214.113,144.266,221.966,213.648,179.593,213.743,88.383,93.499,117.451,115.946,55.163,144.089,117.895,150.345,129.265,135.489,159.004,133.777,164.361,156.452,164.68,184.163,158.52
Plekhb2,23.085,22.563,20.977,24.793,21.256,24.156,22.853,26.953,22.16,35.212,25.706,37.152,50.396,50.743,50.504,67.493,72.818,55.911,81.313,70.749,85.726,102.427,91.927
Hs6st1,45.019,82.227,77.582,60.714,73.216,94.352,62.615,77.358,64.698,78.904,65.968,70.971,72.065,82.661,68.887,67.858,78.476,51.851,51.827,64.383,37.575,54.44,59.903
Uggt1,126.902,56.453,111.628,126.907,73.553,116.31,36.666,40.476,51.505,55.194,24.63,68.794,73.48,71.471,60.163,83.212,73.957,119.597,102.921,105.0,101.188,104.292,82.857
Neurl3,220.934,325.072,305.35,234.361,311.685,253.169,49.618,59.25,50.074,97.286,49.353,22.676,21.778,19.225,36.057,16.244,24.393,44.896,43.685,46.955,52.127,56.624,64.859
Arid5a,848.392,1323.467,1304.073,939.892,1280.61,1497.875,302.379,346.23,410.442,181.609,258.187,350.348,269.473,299.144,164.787,119.139,105.875,647.561,419.696,537.65,222.071,254.201,307.442
Kansl3,112.797,97.832,141.641,101.341,103.576,138.956,96.58,111.838,139.497,131.567,75.467,126.714,156.859,144.862,113.406,154.536,138.652,127.641,138.173,135.839,117.139,127.61,132.813
Fer1l5,0.339,0.193,0.424,0.752,0.154,0.284,1.194,0.35,0.115,1.065,0.734,0.372,0.0,0.195,0.588,0.239,0.154,0.475,0.051,0.072,0.875,0.173,0.097
Lman2l,43.183,48.434,32.771,36.967,38.52,29.827,71.492,70.382,76.248,89.769,48.398,76.141,74.031,89.666,72.021,72.334,79.575,72.08,67.964,82.176,55.747,60.876,67.957
Cnnm4,31.892,33.896,53.072,33.527,27.58,40.506,11.866,15.143,16.433,19.662,12.017,25.119,23.948,23.483,20.521,23.73,25.139,27.919,21.943,27.614,20.38,21.316,23.43
Cnnm3,53.088,76.031,105.733,62.879,67.972,116.347,52.771,67.388,78.581,70.292,60.791,93.985,102.487,98.277,102.437,101.32,84.035,54.682,62.469,63.753,63.875,71.675,75.485
Ankrd23,26.646,91.057,47.151,29.583,58.768,32.981,47.673,68.161,82.87,85.149,88.967,50.734,80.008,70.395,78.695,75.231,73.418,38.404,48.362,45.87,57.616,57.529,66.052
Gm42417,40.195,99.898,57.794,46.774,69.376,47.146,54.64,70.342,85.234,104.588,87.94,63.555,105.454,75.027,92.685,98.334,94.027,49.74,56.457,58.246,71.643,78.272,82.773
Ankrd39,25.809,40.618,22.602,33.934,34.361,27.429,41.911,43.436,57.975,90.578,46.386,54.091,84.409,70.702,83.778,86.594,78.105,34.67,42.28,56.658,55.896,58.599,59.993
Sema4c,1.912,4.454,3.538,2.724,1.185,8.021,20.199,39.516,29.375,51.6,52.751,71.906,149.01,84.339,167.263,212.215,220.426,21.917,55.525,31.395,60.574,84.496,100.52
Fam178b,0.364,0.12,0.285,0.75,0.287,0.176,1.116,0.47,0.331,0.987,1.154,0.359,0.093,0.08,1.8,0.124,0.319,0.364,0.084,0.089,0.814,0.381,0.439
Actr1b,102.44,185.939,157.015,92.987,134.343,160.857,94.052,133.417,149.015,124.195,125.185,129.2,140.161,112.914,109.658,131.468,126.532,80.161,71.864,96.983,60.111,77.928,103.486
4933424G06Rik,0.988,0.603,0.94,1.522,0.482,0.592,1.291,0.638,0.537,1.643,1.378,0.776,0.707,1.216,2.33,0.872,0.965,1.06,0.794,1.5,1.823,0.6,0.805
Zap70,246.055,514.16,334.904,254.177,378.577,346.268,612.478,800.9,712.659,844.667,695.174,338.926,404.7,341.648,652.714,565.66,532.153,252.461,206.881,232.382,350.415,305.162,363.698
Tmem131,93.166,59.77,73.985,91.701,74.749,82.781,47.792,60.91,66.489,73.484,40.674,67.836,61.921,70.827,67.081,78.083,83.588,99.838,87.546,91.391,107.788,101.322,87.989
Vwa3b,2.704,2.507,2.544,13.347,10.509,9.081,1.095,0.244,0.372,1.516,1.182,0.115,0.21,0.0,1.384,0.259,0.644,0.692,0.597,0.802,6.274,4.561,4.211
Cnga3,0.276,0.196,0.378,0.63,0.157,0.217,1.306,0.267,0.117,0.998,1.046,0.126,0.0,0.0,0.599,0.0,0.079,0.345,0.0,0.147,0.612,0.0,0.196
Inpp4a,26.809,29.957,23.53,30.444,41.053,24.624,22.366,30.604,25.5,35.069,25.349,29.209,34.182,38.995,59.561,59.047,66.664,44.523,43.0,45.685,97.232,80.075,76.561
Coa5,26.83,20.301,11.164,29.628,22.988,17.675,45.534,61.289,62.22,82.025,34.847,55.054,45.838,57.692,49.089,46.888,50.176,33.73,49.773,51.238,26.145,38.561,47.642
Unc50,139.166,79.156,121.759,124.128,99.499,125.688,54.94,69.88,82.854,83.173,30.132,63.267,91.482,80.898,66.561,83.848,76.125,62.408,73.81,75.44,62.128,84.929,88.296
Mgat4a,56.295,40.268,49.172,87.579,61.284,60.966,21.566,16.424,27.828,18.166,7.628,35.004,26.357,42.131,35.58,36.931,43.915,73.455,51.035,65.149,67.569,64.047,57.361
2010300C02Rik,0.405,0.665,0.122,0.529,0.283,0.163,1.362,0.483,0.237,1.175,0.945,0.228,0.415,0.223,1.46,0.439,0.638,0.467,0.233,0.364,1.281,0.714,1.331
