gene_name,WT_0h,KO_0h,WT_6h,KO_6h,WT_24h,KO_24h,WT_48h,KO_48h
Cops5,59.287,63.027,59.073,50.295,78.558,79.797,90.114,80.113
Cspp1,30.071,28.506,35.351,37.86,42.553,47.46,81.313,77.481
Arfgef1,96.637,106.767,81.834,78.439,104.739,111.475,158.019,169.984
Cpa6,0.459,0.503,0.8,1.134,0.251,0.456,0.185,0.314
Prex2,0.478,0.462,0.708,1.071,0.214,0.437,0.291,0.417
A830018L16Rik,0.553,0.603,0.872,1.183,0.227,0.399,0.343,0.522
Sulf1,0.368,0.478,0.657,1.183,0.092,0.266,0.091,0.213
Slco5a1,0.278,0.436,0.53,1.031,0.272,0.401,0.61,0.998
Prdm14,4.909,2.959,1.224,1.119,0.268,0.851,0.334,0.98
Ncoa2,157.212,152.569,59.845,63.265,91.561,107.518,133.742,167.468
Tram1,65.525,66.305,21.946,22.711,55.48,65.867,115.589,113.296
Lactb2,15.733,18.551,28.534,27.349,64.917,64.412,92.966,70.57
Xkr9,0.251,0.312,0.583,1.103,0.063,0.375,0.419,0.547
Eya1,0.376,0.498,0.618,1.114,0.108,0.385,0.078,0.284
Msc,0.0,0.278,0.55,0.401,0.0,0.739,0.0,0.343
Trpa1,0.276,0.389,0.717,1.274,0.126,1.802,0.744,7.284
Kcnb2,0.331,0.405,0.663,0.975,0.132,0.371,0.148,0.225
Terf1,63.697,61.801,24.259,26.913,48.668,70.963,127.932,159.514
Sbspon,0.77,0.881,1.132,1.22,0.477,0.736,0.711,1.378
4930444P10Rik,0.754,1.039,1.565,1.596,0.364,1.252,2.389,1.336
Rpl7,217.324,217.365,347.741,308.628,477.488,469.537,436.718,299.324
Rdh10,15.29,18.082,17.904,20.304,34.952,36.81,43.412,33.939
Stau2,0.472,0.577,1.143,1.496,0.71,1.105,2.283,2.114
Ube2w,44.733,41.073,44.191,41.926,48.988,48.143,85.131,76.922
Eloc,56.263,53.697,59.411,53.888,85.633,94.715,104.269,92.922
Tmem70,14.408,15.836,37.268,43.74,59.613,72.35,61.397,59.731
Ly96,2.357,1.82,1.857,1.844,0.93,3.12,4.885,6.054
Jph1,0.287,0.428,0.75,1.239,0.106,0.332,0.179,0.325
Gdap1,0.225,0.389,0.67,0.811,0.099,0.312,0.119,0.24
Pi15,0.356,0.502,0.708,0.959,0.262,0.067,0.107,0.18
Crispld1,0.363,0.243,0.645,1.79,0.146,0.157,0.064,0.208
Crisp4,0.266,0.412,1.011,0.772,0.061,0.414,0.147,0.23
Defb18,0.908,1.515,0.757,0.0,0.0,0.0,0.0,0.0
Defb41,5.124,3.982,7.979,7.659,12.49,9.88,8.853,5.492
Tfap2d,0.365,0.424,0.789,1.476,0.488,0.454,0.431,0.493
Tfap2b,0.208,0.367,0.895,1.293,0.069,0.066,0.078,0.124
Pkhd1,0.499,0.558,0.766,1.381,0.188,0.389,0.321,0.408
Il17a,0.603,0.409,0.409,2.333,0.0,0.544,0.0,0.0
Il17f,4.024,3.71,1.53,2.418,1.283,1.134,7.56,4.639
Mcm3,45.279,46.505,20.337,21.733,233.91,247.012,259.968,227.154
Paqr8,7.206,6.411,1.13,2.163,4.714,6.253,8.379,15.669
Efhc1,3.233,1.758,0.683,0.78,0.467,0.367,0.374,1.014
Tram2,21.551,23.71,3.542,5.502,11.126,15.845,12.618,24.315
Tmem14a,2.243,3.359,1.836,2.137,3.135,4.33,5.212,10.569
Gsta3,0.937,1.547,0.608,1.384,0.075,0.857,0.424,1.093
Khdc1a,0.0,0.287,0.574,1.43,0.0,0.0,0.44,0.0
Khdc1c,0.701,1.753,0.963,0.422,0.0,0.0,0.0,0.361
Khdc1b,0.399,0.522,0.261,2.806,0.0,0.0,0.3,0.0
Kcnq5,13.769,12.548,155.56,141.37,113.466,116.955,186.715,128.898
Cox5b,3.117,3.222,2.015,2.278,1.61,1.695,2.58,2.052
Rims1,0.144,0.182,0.326,0.506,0.104,0.134,0.119,0.19
Ppp1r14bl,0.0,0.826,0.825,0.596,0.0,1.439,0.672,0.0
Ogfrl1,1.595,2.684,1.942,2.085,1.771,2.068,4.787,5.577
B3gat2,0.429,0.519,0.731,1.131,0.121,0.504,0.289,0.349
Smap1,46.49,43.65,19.659,19.78,25.053,26.89,54.333,55.826
Sdhaf4,1.997,3.316,4.987,5.148,6.233,9.673,6.233,12.17
Fam135a,0.461,0.498,0.567,1.231,0.703,0.933,1.337,1.241
Col9a1,0.319,0.294,0.734,1.169,0.077,0.143,0.131,0.25
Col19a1,0.368,0.4,0.71,1.06,0.164,0.321,0.183,0.297
Lmbrd1,66.331,68.013,29.241,30.856,27.143,30.531,62.654,55.315
Adgrb3,0.368,0.443,0.72,0.998,0.144,0.35,0.23,0.267
4931408C20Rik,0.1,1.33,0.985,5.58,0.365,1.038,0.399,0.482
Gm597,0.349,0.355,0.0,1.912,0.0,0.0,0.0,0.22
Phf3,159.62,154.157,44.713,46.106,61.104,69.083,130.551,127.946
Ptp4a1,169.044,164.202,53.126,56.768,59.664,56.628,82.095,49.648
Gm5698,0.0,1.013,0.0,0.0,2.228,0.0,1.553,1.252
4931428L18Rik,0.296,0.536,0.725,1.029,0.125,0.354,0.237,0.357
Lgsn,0.161,0.371,0.597,0.762,0.073,0.242,0.271,0.256
Pih1d3,0.0,0.507,1.002,2.523,0.0,0.883,0.0,1.105
Khdrbs2,0.326,0.464,0.726,1.059,0.107,0.35,0.222,0.258
Gm5415,0.556,0.611,0.606,0.0,0.448,1.083,0.546,0.517
Prim2,23.317,23.779,9.226,10.89,68.001,76.498,109.902,101.007
Rab23,10.757,9.549,11.357,11.433,29.348,29.796,33.862,29.292
Bag2,10.105,9.62,27.503,17.555,59.56,56.755,45.932,32.097
Zfp451,48.054,53.356,65.815,60.347,74.165,76.57,114.756,96.801
Bend6,0.81,0.903,0.585,0.982,0.17,0.632,0.623,0.741
Dst,1.474,1.182,1.581,1.645,1.832,1.128,8.02,1.314
Ccdc115,47.129,37.122,85.708,84.659,73.431,58.772,46.903,43.847
Imp4,138.605,133.901,165.859,149.716,157.925,124.843,90.116,78.947
Ptpn18,20.324,20.444,8.619,11.15,13.722,18.482,14.109,18.189
Prss39,2.86,1.339,0.836,1.801,0.0,0.0,1.39,1.079
Cfc1,0.13,0.56,0.593,2.002,0.713,1.468,0.43,0.425
Prss40,0.231,0.486,0.66,0.716,0.216,0.345,0.116,0.217
Amer3,0.419,0.586,0.649,0.564,0.166,0.346,0.175,0.406
Arhgef4,3.202,2.374,3.812,3.425,5.624,4.939,3.316,3.394
Fam168b,193.448,202.328,99.777,85.555,137.443,141.252,151.53,169.121
Plekhb2,22.209,23.402,23.989,30.459,46.097,63.605,69.324,93.36
Hs6st1,68.276,76.094,68.224,72.436,75.232,71.74,56.02,50.639
Uggt1,98.327,105.59,42.882,39.912,71.248,72.444,109.173,96.113
Neurl3,283.785,266.405,52.981,73.319,21.226,25.565,45.179,57.87
Arid5a,1158.644,1239.459,353.017,219.898,306.322,129.934,534.969,261.238
Kansl3,117.423,114.624,115.972,103.517,142.811,135.531,133.884,125.854
Fer1l5,0.319,0.397,0.553,0.9,0.189,0.327,0.199,0.381
Lman2l,41.463,35.104,72.707,69.083,79.946,74.643,74.074,61.527
Cnnm4,39.62,33.871,14.481,15.839,24.183,23.13,25.825,21.709
Cnnm3,78.284,82.399,66.247,65.541,98.25,95.931,60.301,70.345
Ankrd23,54.951,40.444,66.235,87.058,67.046,75.782,44.212,60.399
Gm42417,65.963,54.432,70.072,96.264,81.345,95.015,54.814,77.563
Ankrd39,29.676,31.908,47.774,68.482,69.734,82.826,44.536,58.163
Sema4c,3.301,3.977,29.697,52.175,101.752,199.968,36.279,81.863
Fam178b,0.256,0.404,0.639,1.07,0.178,0.748,0.179,0.544
Actr1b,148.465,129.396,125.495,124.69,127.425,122.553,83.002,80.508
4933424G06Rik,0.844,0.865,0.822,1.51,0.9,1.389,1.118,1.076
Zap70,365.04,326.341,708.679,769.92,361.758,583.509,230.575,339.759
Tmem131,75.64,83.077,58.397,57.079,66.861,76.25,92.925,99.033
Vwa3b,2.585,10.979,0.57,1.349,0.108,0.762,0.697,5.015
Cnga3,0.283,0.335,0.563,1.022,0.042,0.226,0.164,0.269
Inpp4a,26.765,32.04,26.157,30.209,34.129,61.757,44.403,84.622
Coa5,19.432,23.43,56.348,58.436,52.862,48.718,44.914,37.449
Unc50,113.361,116.438,69.225,56.652,78.549,75.511,70.553,78.451
Mgat4a,48.579,69.943,21.939,12.897,34.497,38.809,63.213,62.992
2010300C02Rik,0.397,0.325,0.694,1.06,0.289,0.846,0.355,1.109
Tsga10,4.25,3.505,1.017,1.215,0.801,1.374,2.308,2.719
Lipt1,3.998,3.478,10.961,11.378,19.77,12.218,16.306,10.84
Mitd1,45.914,48.462,22.149,21.53,34.078,39.955,41.862,59.555
Mrpl30,27.399,35.12,52.547,51.77,67.485,66.704,50.923,45.898
Lyg2,0.106,0.26,0.831,1.987,0.0,0.306,0.107,0.172
Lyg1,0.051,0.316,0.133,1.477,0.0,0.0,0.313,0.722
Txndc9,97.613,113.528,84.059,68.05,89.878,86.01,93.74,83.484
Eif5b,69.939,70.63,88.858,78.991,86.084,83.034,103.742,79.786
Rev1,31.598,35.227,48.502,42.347,78.935,76.093,137.729,92.09
Aff3,208.377,180.897,36.83,25.519,94.989,90.99,209.136,352.331
Lonrf2,0.188,0.397,0.628,1.244,0.274,0.445,0.923,0.274
Chst10,22.283,19.353,5.503,7.303,13.849,12.58,11.58,12.721
Nms,0.209,0.247,0.462,0.71,0.145,0.818,0.101,0.168
Pdcl3,11.12,10.81,23.521,18.076,27.003,28.184,20.507,26.319
Npas2,0.376,0.529,0.793,1.082,2.817,4.066,12.515,20.341
Rpl31,285.166,285.24,556.756,458.187,635.66,632.535,423.87,278.798
Tbc1d8,0.679,1.142,0.804,1.734,1.083,1.407,2.629,1.493
Cnot11,77.341,82.561,41.532,32.326,42.229,48.183,46.876,46.078
Rnf149,57.015,68.595,86.699,102.461,67.023,74.119,88.672,85.373
Creg2,0.233,0.421,0.488,0.924,0.049,0.374,0.034,0.192
Rfx8,0.52,0.608,1.159,1.483,0.889,1.447,2.096,1.365
Gm3646,0.0,0.621,0.62,0.0,1.74,0.0,0.0,0.808
Map4k4,293.712,352.592,58.644,75.716,88.387,89.522,143.527,166.054
Il1r2,0.278,0.461,1.64,2.68,0.081,0.951,0.589,0.971
Il1r1,0.366,0.543,0.749,1.284,0.326,0.831,0.318,0.4
Il1rl2,17.687,16.285,25.896,11.073,9.568,8.663,15.902,8.286
Il1rl1,0.492,0.782,0.72,1.304,0.659,0.8,2.641,1.063
Il18r1,67.304,73.93,4.283,7.388,11.297,7.858,87.828,25.799
Il18rap,13.815,27.114,3.183,5.765,11.282,11.713,24.66,20.915
Slc9a4,0.222,0.31,0.657,0.904,0.277,0.406,0.138,0.143
Slc9a2,0.609,1.014,0.7,1.663,0.215,0.415,0.611,0.501
Mfsd9,1.994,1.764,0.91,1.582,2.205,2.798,4.017,6.126
Tmem182,0.263,0.31,0.536,0.833,0.161,0.216,0.237,0.302
Pou3f3,0.205,0.511,0.354,0.129,0.0,0.237,0.0,0.22
Mrps9,56.85,60.398,63.108,66.948,71.558,74.843,107.537,92.878
Gpr45,0.342,0.419,0.654,0.864,0.134,0.261,0.287,0.327
Tgfbrap1,20.43,21.978,27.315,25.256,35.455,33.882,31.0,29.718
AI597479,13.454,16.293,25.933,25.014,38.525,44.111,48.445,45.463
Fhl2,1.915,1.006,1.782,2.735,11.355,22.421,13.537,16.816
Nck2,86.831,73.9,29.72,27.71,42.042,42.467,73.979,86.681
Ecrg4,0.369,0.405,1.012,2.148,0.0,0.377,0.164,0.419
Uxs1,39.049,37.288,45.632,49.008,61.282,69.661,87.531,76.21
Tpp2,150.511,131.72,60.181,54.621,99.869,94.732,188.915,143.054
Mettl21c,1.037,1.383,1.632,0.946,0.566,0.559,0.697,1.035
Gm8251,19.76,11.022,15.912,16.341,11.413,14.425,17.726,16.561
Tex30,91.008,83.525,34.416,32.399,68.155,69.072,90.559,61.968
Poglut2,5.546,5.434,16.747,17.906,69.082,69.979,45.347,35.631
Bivm,6.2,4.077,3.087,3.72,19.291,22.547,26.07,24.826
Ercc5,31.634,26.393,12.998,17.18,30.686,32.371,51.169,50.8
Mettl21e,0.453,0.345,0.784,0.705,0.0,0.262,0.076,0.305
Gulp1,0.388,0.499,0.787,0.973,0.238,0.442,0.28,0.357
Col3a1,0.225,0.231,0.536,1.567,0.042,0.282,0.081,0.192
Col5a2,0.215,0.455,0.593,1.194,0.083,0.316,0.103,0.238
Wdr75,52.262,54.564,110.892,99.407,132.945,122.444,130.822,82.658
Gm5269,6.429,9.335,10.724,7.748,0.0,0.0,0.0,6.625
Slc40a1,0.187,0.279,0.676,1.509,0.0,0.106,0.473,0.645
Dnah7b,0.442,0.547,0.79,1.254,0.184,0.404,0.263,0.392
Dnah7c,0.616,0.681,0.897,1.295,0.228,0.574,0.39,0.517
Slc39a10,8.227,8.256,10.64,10.366,19.642,17.195,40.559,18.244
Hspe1,6.039,9.249,3.235,3.641,4.142,5.88,6.539,12.611
Tmeff2,0.268,0.415,0.733,1.036,0.061,0.472,0.22,0.214
Cavin2,0.267,0.351,0.772,1.672,0.149,0.072,0.0,0.262
Nabp1,302.33,280.818,148.959,144.806,189.903,193.233,786.978,482.616
Myo1b,1.801,2.463,0.644,1.209,0.118,0.52,0.29,0.416
Stat4,157.267,152.346,18.744,30.756,36.184,75.53,159.389,242.979
Stat1,225.651,634.293,278.054,258.886,430.503,560.268,483.009,1233.127
Gls,235.039,198.45,91.372,91.027,149.663,153.84,280.05,203.741
Nab1,85.934,87.602,37.729,44.223,39.504,44.128,67.872,74.373
Nemp2,48.649,54.421,4.454,6.321,40.642,55.098,66.129,105.662
Mfsd6,74.52,76.426,5.456,6.935,13.457,12.384,25.268,22.646
Inpp1,67.635,70.624,8.54,10.794,14.83,24.286,40.606,63.636
Hibch,13.672,13.193,7.148,9.113,15.876,16.966,21.913,19.841
1700019D03Rik,1.016,0.973,1.136,1.4,0.382,0.946,1.023,1.65
Mstn,0.262,0.685,0.114,0.733,0.0,0.761,0.175,0.141
1700019A02Rik,8.603,7.345,3.24,3.487,11.119,13.816,15.729,23.266
Pms1,17.342,16.898,13.038,13.888,33.878,42.76,52.19,61.839
Ormdl1,11.297,11.854,16.84,20.426,24.672,36.093,40.701,40.815
Gm28778,11.432,12.029,18.361,20.839,28.731,37.698,43.383,45.615
Osgepl1,9.484,9.95,9.705,9.674,26.599,29.612,43.257,41.925
Gm28551,8.608,7.661,13.874,14.248,18.487,21.741,19.646,19.43
Asnsd1,21.29,19.803,26.691,26.466,46.504,53.619,52.667,48.352
Gm50478,12.979,16.15,15.555,24.849,23.355,36.102,38.29,33.452
Dnah7a,1.734,1.649,1.513,1.715,0.728,1.027,1.349,1.313
Stk17b,1053.444,836.448,57.593,79.046,80.109,113.836,255.52,354.704
Hecw2,0.449,0.553,0.634,1.178,0.198,0.52,0.526,0.675
Ccdc150,0.623,0.643,0.723,1.217,0.359,0.926,2.164,2.192
Gtf3c3,45.738,49.826,16.081,17.146,34.583,38.047,58.376,60.889
Gm34066,0.96,0.541,0.824,0.866,0.0,0.293,0.084,0.463
Pgap1,24.82,18.762,11.023,9.773,8.114,13.094,12.502,26.323
Ankrd44,350.496,283.898,69.706,68.37,90.739,97.447,228.889,248.657
Sf3b1,369.925,329.342,123.637,112.802,153.413,173.049,270.241,294.521
Coq10b,142.475,147.989,38.194,38.141,33.524,34.061,34.054,27.243
Hspd1,67.022,67.861,365.136,279.348,618.213,517.2,307.915,173.987
Mob4,104.684,92.584,41.589,42.36,54.95,58.074,76.327,81.533
Rftn2,5.187,4.305,2.023,3.013,2.453,3.244,1.353,3.151
Mars2,48.083,45.891,50.678,39.53,69.138,62.251,76.441,47.691
Boll,20.467,20.306,7.314,8.943,5.021,6.2,3.738,6.529
Plcl1,15.391,9.993,1.417,2.425,2.285,4.364,24.513,27.946
Hsfy2,0.0,1.905,0.0,0.763,0.0,0.0,0.0,0.0
Satb2,0.265,0.334,0.643,1.146,0.492,0.983,0.779,0.767
1700066M21Rik,12.796,16.037,10.7,15.256,15.411,22.19,26.311,30.393
Tyw5,31.82,30.591,27.657,24.309,28.838,29.904,35.901,36.812
Maip1,41.925,42.974,24.024,23.055,32.067,29.891,35.461,28.727
Spats2l,0.288,0.404,0.571,1.159,0.078,0.351,0.114,0.213
Kctd18,17.119,17.957,6.929,6.477,9.348,10.406,13.905,15.074
Sgo2a,3.112,3.228,0.803,1.333,19.515,26.242,69.541,71.587
Aox1,0.293,0.256,0.706,1.418,0.153,0.705,0.42,0.513
Aox3,0.228,0.459,0.538,0.963,0.116,0.297,0.076,0.258
Aox4,0.238,0.362,0.498,0.878,0.06,0.593,0.034,0.203
Aox2,0.962,1.118,0.937,1.305,0.262,0.887,0.51,0.952
Bzw1,263.48,270.497,135.695,121.387,170.583,157.839,158.337,124.361
Clk1,1491.924,1598.691,221.292,221.343,343.766,399.297,438.269,528.927
Ppil3,23.174,29.269,30.456,36.047,58.316,58.914,48.387,48.468
Nif3l1,23.214,26.469,8.502,10.162,15.726,14.979,10.829,11.121
Orc2,26.8,30.56,62.892,60.286,90.412,89.135,86.351,62.453
Fam126b,12.044,12.855,9.117,9.552,17.932,18.515,38.424,30.995
Ndufb3,6.005,7.968,12.232,10.418,27.165,25.879,34.308,36.172
Flacc1,0.466,0.411,0.51,1.733,0.299,0.582,0.41,0.389
Cflar,87.035,94.857,311.245,315.854,130.976,150.335,153.345,149.886
Casp8,127.894,128.042,36.436,30.946,95.848,93.891,209.454,173.566
Trak2,66.177,62.656,37.744,34.717,48.138,51.872,70.217,58.754
Stradb,5.392,4.551,5.215,6.597,8.67,7.742,14.806,14.704
C2cd6,0.348,0.445,0.941,1.068,0.579,0.544,0.859,0.656
Tmem237,2.461,3.034,5.551,5.649,11.037,11.351,14.898,14.421
Mpp4,4.335,4.505,2.85,2.84,2.07,2.06,3.047,3.229
Als2,16.26,18.97,14.618,13.357,14.84,15.453,27.775,27.317
Cdk15,0.36,0.534,0.831,1.545,0.357,0.438,0.728,0.603
Fzd7,4.28,4.564,1.488,1.979,2.036,2.149,55.234,9.804
Gm973,0.277,0.47,0.602,1.112,0.227,0.504,0.365,0.399
Sumo1,211.144,218.547,63.439,68.949,78.565,89.841,125.851,137.713
Nop58,144.207,144.035,229.375,189.633,332.047,331.329,322.132,203.42
Bmpr2,6.636,6.941,4.599,5.572,6.409,8.394,15.76,14.281
Fam117b,161.317,154.737,24.188,26.509,23.315,28.281,79.448,92.264
Ica1l,0.647,0.78,0.675,0.751,0.28,0.416,0.373,2.32
Wdr12,34.141,29.947,89.022,75.749,109.027,108.155,76.078,74.752
Carf,11.094,11.435,4.693,4.403,8.326,9.979,14.938,20.63
Nbeal1,14.131,13.173,9.374,10.391,11.103,12.708,29.102,22.278
Cyp20a1,8.343,8.963,15.184,15.361,21.728,19.824,29.877,21.974
Abi2,9.169,6.838,8.244,8.646,29.816,32.862,53.17,47.466
Raph1,2.664,2.937,3.895,3.472,19.083,21.094,42.926,38.835
Cd28,714.582,381.072,15.674,26.026,73.194,75.186,157.254,203.951
Ctla4,124.901,186.433,9.755,9.482,107.925,87.209,925.573,604.891
Icos,60.634,82.637,19.695,20.215,40.784,32.175,145.482,66.934
Pard3b,0.337,0.458,0.675,1.138,0.18,0.387,0.234,0.391
Nrp2,0.46,0.634,0.611,0.839,0.134,0.324,0.217,0.272
Ino80d,33.218,35.024,28.794,25.316,33.16,34.565,46.732,47.91
Ndufs1,40.281,42.022,43.622,38.403,73.176,72.094,91.74,74.907
Eef1b2,245.435,268.155,675.261,584.187,770.499,733.947,416.116,282.885
Gpr1,1.085,0.434,1.773,0.615,1.164,0.418,2.148,0.199
Zdbf2,0.483,0.904,0.685,1.565,0.139,0.261,0.906,0.725
Adam23,0.297,0.453,0.657,1.13,0.063,0.358,0.075,0.146
Gm39653,0.182,0.303,1.057,2.7,0.387,0.403,0.232,0.561
Dytn,0.333,0.453,0.459,1.394,0.211,0.346,0.092,0.295
Mdh1b,0.191,0.594,0.857,1.202,0.117,1.126,0.219,0.225
Fastkd2,31.451,28.015,44.555,40.337,45.523,49.654,41.912,34.379
4933402D24Rik,0.581,0.396,0.628,1.323,0.717,0.888,0.0,0.416
Klf7,121.624,93.842,28.099,33.744,36.093,33.331,166.28,67.347
Creb1,63.63,64.39,34.718,42.132,63.545,88.834,162.162,205.996
Mettl21a,6.767,7.834,7.87,8.479,19.714,24.514,24.869,29.858
Ccnyl1,24.47,24.049,10.798,13.044,14.075,17.248,26.725,17.822
Fzd5,18.255,21.311,10.853,11.941,6.149,7.422,13.152,9.541
Plekhm3,14.809,17.483,1.349,2.544,9.688,12.529,19.596,20.643
Akr1cl,0.252,0.347,0.476,0.758,0.094,0.246,0.056,0.045
Cryge,0.0,0.0,0.566,2.045,0.0,2.382,0.0,0.0
Crygd,0.0,0.465,0.0,0.0,0.0,0.0,0.0,0.0
Crygc,0.26,0.0,1.45,0.491,0.0,0.0,0.0,0.419
Crygb,0.544,0.355,0.355,0.0,0.0,0.0,0.0,0.439
Cryga,0.0,0.246,1.052,3.164,0.0,0.0,0.0,0.0
Gm28845,0.305,0.194,0.974,1.165,0.109,0.55,0.123,0.242
D630023F18Rik,0.304,0.328,0.977,0.967,0.23,0.636,0.126,0.357
Idh1,3.499,2.397,0.992,2.217,0.909,1.42,8.78,9.343
Pikfyve,23.699,22.141,14.377,16.47,29.702,27.606,66.094,38.4
Pth2r,0.505,0.654,0.678,1.092,0.402,0.615,0.712,0.361
Crygf,0.63,0.0,0.822,0.0,0.0,1.094,0.0,0.508
Map2,0.903,0.791,0.78,1.211,0.259,0.782,0.357,0.645
Unc80,0.593,0.598,0.816,1.187,0.269,0.508,0.395,0.476
Rpe,74.672,80.501,34.563,44.461,62.478,65.604,136.026,113.404
Kansl1l,27.099,20.928,13.323,24.061,6.021,9.39,18.336,29.69
Acadl,23.711,28.568,7.636,8.364,24.364,28.886,54.092,57.68
Myl1,0.244,0.719,0.522,1.197,0.349,0.339,0.267,0.521
Lancl1,23.957,24.854,12.946,13.195,14.758,17.098,30.019,31.427
Cps1,0.263,0.47,0.564,0.947,0.119,0.349,0.068,0.183
Erbb4,0.327,0.405,0.69,1.021,0.122,0.321,0.168,0.28
Ikzf2,89.354,136.91,27.101,56.993,46.126,71.3,214.666,677.079
Spag16,0.382,0.448,0.722,1.007,0.155,0.358,0.216,0.284
Vwc2l,0.216,0.376,0.779,1.124,0.12,0.355,0.181,0.241
Bard1,4.732,6.666,1.827,3.478,48.624,68.595,147.384,143.038
Abca12,0.309,0.376,0.692,1.195,0.167,0.336,0.191,0.306
Atic,46.367,50.339,50.539,35.714,94.122,93.856,96.887,69.627
Fn1,0.305,0.195,0.601,1.111,0.028,0.284,0.381,0.225
Mreg,0.35,0.614,0.642,1.52,0.266,0.57,0.65,0.386
Pecr,1.31,1.794,14.527,11.799,12.311,13.679,9.929,8.316
Tmem169,0.865,0.736,0.56,1.266,0.32,0.21,0.924,0.58
Xrcc5,38.073,39.993,49.83,45.729,59.879,67.042,54.691,56.383
Marchf4,0.234,0.341,0.6,0.973,0.155,0.404,0.131,0.186
Smarcal1,19.345,22.218,19.579,18.928,30.812,33.789,38.2,45.898
Ankar,0.242,0.448,0.651,0.688,0.084,0.413,0.073,0.177
Rpl37a,200.57,220.403,486.505,439.056,473.182,441.948,285.404,204.22
Igfbp2,0.55,0.407,0.541,0.793,0.147,0.105,0.141,0.221
Igfbp5,0.511,0.347,0.587,0.961,0.332,0.346,0.0,0.054
Tnp1,0.674,1.76,0.0,1.271,0.0,2.341,0.0,0.0
Tns1,8.73,7.614,2.246,3.597,7.137,11.547,6.363,8.774
Rufy4,1.23,2.207,0.75,1.378,0.319,0.273,0.797,0.903
Cxcr2,0.42,0.506,0.81,0.293,0.284,0.269,0.0,0.0
Cxcr1,0.0,0.708,0.0,0.0,0.724,1.137,0.396,0.638
Arpc2,232.448,226.061,148.08,139.064,192.802,202.158,239.794,226.249
Gpbar1,38.19,16.382,0.885,9.778,0.0,1.82,1.571,3.228
Aamp,366.783,398.096,329.716,321.663,172.745,167.107,118.189,128.694
Pnkd,14.286,13.631,10.686,12.479,9.52,12.061,9.601,20.183
Tmbim1,1.587,2.307,17.104,15.862,22.943,32.618,26.057,26.362
Catip,2.433,0.938,0.902,0.294,0.26,1.355,0.439,1.382
Slc11a1,0.266,0.406,1.166,1.596,0.19,1.232,0.343,0.968
Ctdsp1,120.303,119.602,79.998,54.105,99.013,78.741,85.93,106.472
Vil1,1.99,1.771,1.068,1.69,0.157,0.509,0.548,0.34
Usp37,21.418,24.059,25.211,23.5,47.806,51.424,67.562,60.929
Cnot9,38.236,45.227,35.769,34.191,89.959,97.236,116.654,111.193
Plcd4,0.576,0.643,0.497,1.502,0.165,0.445,0.904,0.471
Zfp142,82.901,91.574,78.45,63.268,112.196,104.887,88.876,75.359
Bcs1l,15.207,20.77,50.497,30.898,59.939,66.833,43.989,40.166
Rnf25,49.362,42.128,79.636,78.372,91.821,74.324,59.216,57.706
Stk36,0.428,0.604,0.754,1.691,0.462,0.861,1.476,1.233
Ttll4,57.575,59.973,139.813,109.782,192.85,170.403,227.878,97.719
Cyp27a1,0.231,0.531,0.681,1.989,0.287,0.548,0.116,0.187
Prkag3,0.055,0.143,0.426,1.226,0.157,0.479,0.219,0.353
Wnt6,0.275,0.438,0.889,1.572,0.446,0.751,0.424,0.338
Wnt10a,0.07,0.333,0.695,1.416,8.649,14.181,3.249,14.473
Cdk5r2,0.201,0.0,0.519,0.759,0.0,0.0,0.0,0.573
