P0,P1,P2,P3,P4,P5,P6,P7
,,,,,Zfp41,,
,,,,,Havcr2,,
,,,,,Sp1,,
,,,,,Il3ra,,
,,,,,Ddx20,,
,,,,,Itga1,,
,,,,,Phf19,,
,,,,,Tnfrsf9,,
,,,,,Prdm1,,
,,,,,Pou2f1,,
,,,,,Mcm8,,
,,,,,Gmeb2,,
,,,,,Slamf1,,
,,,,,Habp4,,
,,,,,Asb1,,
,,,,,Klf11,,
,,,,,Sfmbt1,,
,,,,,Atf6,,
,,,,,Jade1,,
,,,,,Mybl1,,
,,,,,Per1,,
,,,,,Pogk,,
,,,,,Xrcc3,,
,,,,,Adam8,,
,,,,,Mbd4,,
,,,,,Zfp382,,
,,,,,Zhx3,,
,,,,,Epas1,,
,,,,,Hdac6,,
,,,,,Jazf1,,
,,,,,Gtf3c5,,
,,,,,Tnfsf9,,
,,,,,Hist1h2bh,,
,,,,,Zdhhc15,,
,,,,,Cbfa2t2,,
,,,,,Irf4,,
,,,,,Sema7a,,
,,,,,Vax2,,
,,,,,Nr2f6,,
