name,337-10_r,337-11_r,337-12_r,337-13_r,337-14_r,337-15_r,337-16_r,337-17_r,337-18_r,337-19_r,337-1_r,337-20_r,337-21_r,337-22_r,337-23_r,337-24_r,337-2_r,337-3_r,337-4_r,337-5_r,337-6_r,337-7_r,337-8_r,337-9_r
ENSMUSE00001321068,35,40,108,25,5,69,67,63,86,32,101,73,52,0,51,48,63,25,60,80,69,22,85,16
ENSMUSE00001319304,93,101,313,90,26,186,252,163,182,102,345,183,115,0,119,134,133,65,162,241,214,68,276,40
ENSMUSE00000411242,36,14,18,42,64,18,21,52,34,15,129,16,27,0,22,14,318,19,45,180,206,57,109,28
ENSMUSE00000780418,10,5,5,9,20,6,3,14,8,0,35,4,10,0,2,0,93,2,9,36,58,17,32,6
ENSMUSE00001330589,8,4,29,6,19,13,46,11,15,3,28,25,4,0,7,18,59,10,27,58,59,16,56,6
ENSMUSE00001327733,8,4,29,6,19,13,46,11,15,3,27,25,4,0,7,18,59,10,27,56,59,15,56,6
ENSMUSE00000837368,1,2,10,1,9,6,22,3,8,1,7,5,1,0,0,7,27,3,10,20,22,5,13,4
ENSMUSE00001329849,2,1,8,1,4,2,5,4,2,0,2,4,0,0,2,4,10,3,3,2,5,3,14,0
ENSMUSE00000702730,2,1,0,8,1,0,4,25,4,1,52,1,12,0,2,2,14,1,3,22,9,3,9,10
ENSMUSE00000458590,3211,3331,12243,8249,1295,8092,14004,14787,5567,5070,27500,8667,10042,0,6861,7569,5518,3407,9483,18156,9527,4282,15149,5202
ENSMUSE00000386648,3224,3338,12258,8270,1299,8132,14038,14854,5587,5086,27525,8694,10083,0,6879,7593,5535,3412,9510,18197,9546,4288,15178,5230
ENSMUSE00001326959,13,14,23,57,9,34,50,100,31,20,113,25,61,0,36,33,17,10,26,78,60,18,38,37
ENSMUSE00000832566,16,17,39,70,9,61,68,120,32,35,125,38,70,0,39,45,31,12,42,84,56,24,56,38
ENSMUSE00000740838,38,38,94,105,10,101,94,139,55,48,241,85,94,0,67,55,45,24,56,134,84,28,73,55
ENSMUSE00001341133,14,21,59,54,4,58,77,94,36,34,154,54,59,0,32,26,33,13,56,114,41,21,95,37
ENSMUSE00001221147,1281,1329,4922,3368,513,3189,5626,5556,2215,1937,11778,3498,3780,0,2629,3033,2196,1359,3970,7319,3764,1687,6309,2125
ENSMUSE00001343194,37,27,73,82,11,52,86,100,46,31,259,49,87,0,52,47,43,27,61,118,68,24,114,58
ENSMUSE00001338285,9,4,27,18,0,23,23,40,17,12,54,19,16,0,15,17,12,4,34,40,28,13,42,7
ENSMUSE00001343404,23,24,97,62,14,57,109,112,38,25,209,64,79,0,49,65,61,33,92,124,94,30,128,32
ENSMUSE00000846292,3,7,17,5,0,10,21,11,6,7,35,10,7,0,7,5,7,4,16,20,12,2,26,4
ENSMUSE00001339750,108,106,372,177,40,243,488,396,169,148,801,319,266,0,237,235,164,97,328,603,283,146,522,131
ENSMUSE00001338642,42,52,198,99,23,111,216,236,89,73,494,149,144,0,102,118,98,70,185,343,179,54,272,91
ENSMUSE00001334220,118,235,1222,485,39,617,1130,638,220,329,1038,817,457,0,472,587,235,207,804,697,405,227,920,316
ENSMUSE00001325639,15,38,162,66,5,72,150,64,21,55,106,102,54,0,76,79,32,34,109,85,56,28,118,35
ENSMUSE00000387757,53,107,647,206,14,303,603,385,112,153,616,406,292,0,202,282,100,105,404,423,226,98,475,127
ENSMUSE00000154319,228,463,1497,247,78,937,1071,159,423,539,463,988,95,0,647,514,451,332,902,357,687,328,870,114
ENSMUSE00000783451,33,69,240,36,10,180,197,27,71,87,78,185,24,0,121,105,76,72,155,65,106,64,167,11
ENSMUSE00001339140,13,19,68,15,9,44,51,6,12,27,16,48,5,0,41,18,30,19,38,11,41,16,49,4
ENSMUSE00001287047,9,3,2,9,23,6,4,25,13,2,41,3,11,0,5,0,81,4,5,60,67,22,41,7
ENSMUSE00000911018,9,3,2,9,23,6,4,25,13,2,41,3,11,0,5,0,81,4,5,60,67,22,41,7
ENSMUSE00000154295,9,3,2,9,23,6,4,25,13,2,41,3,11,0,5,0,81,4,5,59,67,22,41,7
ENSMUSE00000496745,9,3,2,8,23,6,4,25,13,2,39,3,11,0,5,0,75,4,5,56,64,21,41,7
ENSMUSE00000488844,2,2,0,1,1,0,1,3,2,1,4,0,0,0,0,0,19,2,3,14,10,6,10,2
ENSMUSE00000713895,8,0,9,5,2,5,2,6,6,4,10,6,5,0,7,15,4,4,9,2,7,7,7,6
ENSMUSE00000408164,2,2,20,2,10,20,117,5,4,0,11,9,0,0,18,53,36,1,6,21,21,20,154,1
ENSMUSE00000324435,2,2,19,2,10,19,114,5,4,0,11,8,0,0,17,51,35,1,6,21,21,20,148,1
ENSMUSE00000630745,1,2,22,5,1,4,14,0,2,10,2,14,2,0,6,12,3,7,20,5,3,1,11,2
ENSMUSE00000355111,1,1,8,9,7,6,15,9,8,1,21,8,4,0,7,7,39,3,9,24,22,7,12,7
ENSMUSE00000702624,0,1,12,1,3,4,4,6,3,1,5,10,5,0,1,4,14,0,8,9,11,7,3,2
ENSMUSE00001163295,4,1,28,6,8,6,11,9,8,4,14,17,7,0,3,9,40,0,19,17,17,12,11,3
ENSMUSE00000604450,311,264,675,236,125,576,368,227,451,340,541,338,167,0,415,252,362,269,453,323,555,237,249,137
ENSMUSE00000783152,76,83,197,81,33,188,116,55,121,108,148,90,49,0,154,80,110,86,124,98,143,68,77,36
ENSMUSE00000398568,311,263,675,236,125,575,368,227,450,340,541,338,166,0,414,251,362,269,453,319,553,237,248,137
ENSMUSE00000844926,147,152,385,157,66,306,222,108,258,174,320,165,102,0,225,144,184,164,281,188,284,142,160,68
ENSMUSE00001232834,286,238,626,225,119,493,327,214,404,293,505,308,153,0,343,230,322,244,424,298,485,217,227,130
ENSMUSE00000839769,239,174,515,185,103,383,259,179,323,235,392,249,113,0,263,204,242,191,365,244,390,173,192,118
ENSMUSE00001343131,56,24,259,30,59,92,243,49,75,47,112,200,26,0,79,110,262,42,189,138,203,75,253,19
ENSMUSE00000861900,56,24,259,29,59,92,243,49,75,47,112,200,26,0,79,110,262,42,189,137,203,74,253,19
ENSMUSE00001241858,56,24,259,30,59,92,243,49,75,47,112,200,26,0,79,110,262,42,189,138,203,74,253,19
ENSMUSE00000848769,49,22,235,24,45,80,216,36,69,43,76,182,24,0,67,103,186,34,166,82,159,51,219,14
ENSMUSE00001246673,1,3,11,3,9,11,15,6,8,2,10,17,0,0,1,9,27,5,12,10,17,4,11,1
ENSMUSE00001243063,40,10,206,14,31,47,164,21,51,30,49,150,20,0,48,79,133,23,133,54,126,38,181,8
ENSMUSE00001304878,830,615,2664,677,293,1448,2403,921,1353,882,3306,1899,632,0,974,1035,1342,616,1935,2208,2099,567,2313,532
ENSMUSE00001297894,268,183,893,220,97,481,795,279,460,307,1135,650,175,0,341,344,415,203,662,788,686,201,800,156
ENSMUSE00001300189,673,546,2353,495,250,1252,2082,779,1087,750,2774,1665,525,0,848,861,1112,513,1756,1836,1738,491,2032,387
ENSMUSE00000757375,488,419,1699,346,175,917,1521,582,781,533,1934,1193,402,0,610,622,820,371,1245,1251,1250,342,1439,275
ENSMUSE00001330550,217,219,697,204,55,573,602,293,355,285,628,488,187,0,387,295,347,213,378,463,588,197,414,156
ENSMUSE00000702579,203,205,664,188,45,541,566,280,334,266,607,466,179,0,369,283,317,190,355,445,538,184,387,151
ENSMUSE00000340801,42,71,194,33,10,173,164,58,88,71,157,147,38,0,103,84,92,58,97,110,158,48,108,34
ENSMUSE00001320713,168,156,516,165,35,402,439,234,263,211,488,345,143,0,286,217,241,146,270,372,420,147,307,135
ENSMUSE00001323302,168,155,513,165,35,398,433,232,258,210,485,339,143,0,281,213,240,143,267,371,413,147,304,134
ENSMUSE00000702580,160,140,477,160,33,372,403,230,245,191,463,319,137,0,262,198,230,140,258,349,378,139,276,122
ENSMUSE00001335296,161,140,476,160,33,372,403,230,243,192,462,318,137,0,263,198,229,139,256,350,376,139,274,123
ENSMUSE00000491850,28,24,38,39,7,24,26,57,26,17,88,20,57,0,17,13,29,14,25,71,33,13,35,20
ENSMUSE00001328582,7,1,4,2,12,1,1,1,2,1,12,0,1,0,1,0,26,0,3,11,12,6,9,1
ENSMUSE00000383734,10,3,7,5,17,3,5,5,6,2,34,3,5,0,5,2,74,2,10,39,56,13,24,5
ENSMUSE00001324699,103,53,145,97,40,76,116,150,120,55,212,78,85,0,73,61,105,42,80,124,135,30,70,77
ENSMUSE00001318813,2,0,0,3,1,0,0,2,0,0,5,0,1,0,1,0,13,1,4,9,8,2,3,0
ENSMUSE00000816973,5,2,8,11,5,2,2,9,6,1,28,5,11,0,5,4,50,1,8,23,32,12,13,7
ENSMUSE00000819647,3,1,6,6,4,1,1,2,4,0,17,2,8,0,4,2,31,0,7,14,19,10,8,6
ENSMUSE00001326214,6,0,1,5,8,5,1,8,6,2,18,0,1,0,2,0,54,5,6,27,27,7,13,2
ENSMUSE00001382966,9,1,1,5,13,1,0,4,8,0,12,1,3,0,2,2,43,0,3,17,25,6,8,0
ENSMUSE00001384865,8,0,0,5,11,1,0,3,4,0,7,1,2,0,2,2,22,0,3,11,18,3,4,0
ENSMUSE00001323316,1,1,1,0,3,0,0,1,4,0,5,0,1,0,0,0,21,0,0,5,7,3,4,0
ENSMUSE00000821169,2,0,0,0,2,1,0,0,0,0,6,0,2,0,0,0,37,0,4,14,11,4,5,2
ENSMUSE00000904993,2,0,0,0,2,1,0,0,0,0,6,0,2,0,0,0,37,0,4,14,11,4,5,2
ENSMUSE00001207630,1,0,0,0,2,1,0,0,0,0,3,0,1,0,0,0,23,0,3,10,5,4,3,2
ENSMUSE00000774882,1,2,2,0,3,0,1,2,1,3,2,2,6,0,2,0,11,3,3,8,8,1,3,2
ENSMUSE00000552542,36,16,51,15,16,32,33,26,32,40,41,23,13,0,33,14,44,37,51,28,47,31,30,15
ENSMUSE00000720131,35,16,51,14,14,32,33,23,29,40,39,23,13,0,33,14,33,37,50,23,46,30,25,15
ENSMUSE00001335733,35,16,50,14,14,32,33,23,29,40,39,23,13,0,33,14,29,36,50,23,41,29,25,15
ENSMUSE00000870991,1,2,2,3,6,0,1,7,0,0,9,1,1,0,0,2,29,4,7,11,23,7,6,0
ENSMUSE00000866580,5,2,16,7,5,4,6,7,1,7,8,7,4,0,1,6,1,5,11,9,2,4,5,4
ENSMUSE00000630649,49,8,53,73,124,37,36,109,56,18,207,44,46,0,29,23,418,24,67,257,315,69,154,39
ENSMUSE00000729307,5,0,1,1,9,3,5,7,3,1,16,0,3,0,5,0,27,1,1,13,21,3,9,1
ENSMUSE00001295109,0,0,5,2,2,0,2,5,1,0,2,4,2,0,1,0,14,0,1,4,9,0,1,0
ENSMUSE00000552318,4,1,18,1,5,0,15,9,1,1,15,9,6,0,2,1,5,3,10,14,6,2,5,5
ENSMUSE00000308433,6,2,42,11,6,5,29,17,4,2,32,32,13,0,5,11,11,4,24,27,10,2,15,12
ENSMUSE00001325121,0,1,16,6,0,3,6,7,3,1,9,13,2,0,1,4,1,2,12,9,2,0,6,4
ENSMUSE00001322025,87,786,1875,179,45,1781,1675,342,153,827,516,1222,266,0,1133,786,110,605,1302,359,200,545,1188,121
ENSMUSE00000355532,87,786,1875,179,45,1781,1675,342,153,827,516,1222,266,0,1133,786,110,605,1301,359,200,545,1188,121
ENSMUSE00001318617,11,52,182,20,4,106,144,26,4,91,26,98,17,0,91,61,11,57,131,36,16,52,133,11
ENSMUSE00001318983,16,110,310,26,6,251,252,46,16,131,58,186,35,0,166,119,25,98,216,55,28,91,180,22
ENSMUSE00001331822,6,89,225,21,2,204,185,32,17,91,64,150,53,0,157,106,12,58,165,43,24,68,124,19
ENSMUSE00000350093,56,146,304,401,40,410,703,779,109,219,1143,304,656,0,345,373,150,143,380,930,291,235,814,286
ENSMUSE00001321555,20,53,130,147,15,168,264,234,30,81,457,127,178,0,110,144,55,57,151,361,100,78,325,95
ENSMUSE00001330813,5,6,3,4,6,10,43,7,3,2,12,6,0,0,14,21,20,0,5,9,14,2,24,4
ENSMUSE00000630638,1,0,1,0,0,3,0,5,1,1,3,0,3,0,1,2,11,1,2,5,8,2,6,0
ENSMUSE00000154316,1,0,1,0,0,3,0,5,1,1,3,0,3,0,1,2,11,1,1,5,8,2,6,0
ENSMUSE00000464249,26831,8931,40044,1106,8467,23374,27385,2161,27305,15624,7826,27616,1955,0,17103,12792,30933,10657,34127,4560,45855,10633,28599,904
ENSMUSE00001256878,26832,8931,40046,1106,8467,23376,27385,2162,27306,15625,7826,27619,1955,0,17105,12794,30933,10659,34130,4560,45857,10635,28603,904
ENSMUSE00001345689,39,14,42,0,13,43,31,5,49,15,9,27,3,0,24,22,33,23,29,8,68,12,25,2
ENSMUSE00001244113,26189,8634,39246,1067,8246,22603,26761,2085,26470,15194,7656,27041,1906,0,16632,12426,30153,10348,33446,4387,44843,10333,27977,868
ENSMUSE00000716105,60,42,104,38,21,71,46,45,50,57,108,59,37,0,56,40,45,34,89,78,66,33,74,38
ENSMUSE00001297040,14218,4500,20342,570,4561,11941,13808,1146,14053,8166,3918,13940,1008,0,8895,6655,16172,5504,17372,2203,23591,5565,14783,465
ENSMUSE00001345361,87,30,186,4,20,107,155,12,144,85,28,145,10,0,82,72,125,55,179,13,267,52,163,3
ENSMUSE00000551967,36,6,25,29,78,23,39,62,39,15,95,16,14,0,13,19,339,19,60,187,218,50,100,27
ENSMUSE00000630608,1,0,2,1,1,0,0,0,4,1,5,0,1,0,1,0,19,4,0,6,16,4,3,2
ENSMUSE00001333544,9,2,3,6,18,7,4,13,14,4,27,4,4,0,4,6,94,11,9,47,67,17,26,7
ENSMUSE00000552004,27,4,22,23,59,16,35,48,25,11,68,12,10,0,9,13,241,8,51,139,150,32,73,20
ENSMUSE00000304588,19,3,21,18,54,12,35,40,20,9,51,12,7,0,8,13,204,6,46,110,120,25,62,16
ENSMUSE00001324369,17,2,5,9,29,6,0,22,15,2,30,7,6,0,2,0,111,3,19,62,84,25,43,10
ENSMUSE00000702281,14,5,68,15,6,29,68,21,17,12,33,38,24,0,13,31,13,11,39,38,35,7,55,5
ENSMUSE00001322127,8,4,50,8,6,23,50,14,12,10,19,27,16,0,12,22,10,9,25,29,27,6,37,3
ENSMUSE00001329918,11,4,59,7,6,27,59,14,16,12,28,29,19,0,13,27,22,8,34,34,29,7,55,4
ENSMUSE00000836051,270,250,1403,526,95,596,1324,905,486,357,2594,855,558,0,435,602,483,266,1018,1657,814,270,1444,289
ENSMUSE00000351902,348,291,1710,657,126,717,1579,1167,600,437,3421,1079,742,0,533,717,582,325,1279,2238,1016,340,1784,383
ENSMUSE00000824133,17,18,78,42,3,40,60,48,25,13,122,32,32,0,33,37,36,17,38,70,58,15,67,19
ENSMUSE00001310609,256,237,1357,491,94,565,1268,853,466,339,2487,828,528,0,413,572,458,246,978,1595,771,256,1405,263
ENSMUSE00001309695,99,91,522,207,42,235,506,266,189,127,755,316,136,0,167,214,164,105,322,468,304,105,542,83
ENSMUSE00001220650,175,155,936,310,72,400,890,441,305,219,1297,570,256,0,273,383,295,166,623,828,491,172,953,143
ENSMUSE00001290400,10,8,14,7,7,31,40,7,21,18,15,21,11,0,28,25,19,8,21,14,23,14,44,3
ENSMUSE00001233074,3,2,5,4,2,12,18,2,3,6,4,3,5,0,11,8,4,2,2,5,9,4,11,1
ENSMUSE00001331053,1,4,8,2,2,8,7,3,2,3,1,3,0,0,4,0,7,1,5,3,11,2,10,0
ENSMUSE00001332705,8,14,38,8,13,32,52,23,8,8,25,21,4,0,11,11,45,6,36,28,32,14,31,5
ENSMUSE00000156356,8,16,48,8,17,35,59,25,9,9,29,24,8,0,15,13,47,6,45,31,39,18,40,5
ENSMUSE00001334449,1,5,10,2,2,11,13,3,2,4,1,3,1,0,4,0,4,1,8,5,14,2,9,0
ENSMUSE00001081342,7,11,39,6,15,24,50,22,7,5,28,21,7,0,11,13,42,5,38,26,25,16,30,5
ENSMUSE00000482374,5,6,31,5,12,14,25,18,7,3,19,16,7,0,8,8,28,2,25,20,19,12,21,4
ENSMUSE00000789808,13,6,9,10,37,9,6,20,9,1,67,4,14,0,8,2,157,9,18,70,70,22,48,5
ENSMUSE00000702181,20,8,16,15,59,11,10,35,22,6,100,8,18,0,16,5,245,12,36,117,129,43,75,11
ENSMUSE00000303026,20,8,15,13,59,11,10,34,21,6,95,8,16,0,16,5,233,10,36,114,123,43,71,9
ENSMUSE00001327469,2,4,7,2,3,3,3,2,4,5,16,5,4,0,5,3,7,4,8,7,6,1,8,6
ENSMUSE00001319942,53,47,232,100,58,179,189,46,76,44,94,240,34,0,110,252,98,85,473,46,236,128,344,56
ENSMUSE00000551564,18,16,84,37,23,70,78,14,29,13,33,108,14,0,46,82,40,30,191,19,77,44,130,16
ENSMUSE00001320055,8,5,22,7,7,19,21,3,8,5,8,23,1,0,5,19,22,5,38,13,35,13,44,2
ENSMUSE00001334203,95,68,230,159,90,240,169,31,86,58,79,266,26,0,111,237,149,123,434,67,342,167,329,110
ENSMUSE00001328644,101,59,457,193,110,260,293,57,118,73,114,395,42,0,100,407,140,124,444,55,375,181,362,78
ENSMUSE00001326674,80,63,239,127,96,206,152,36,84,70,67,199,26,0,97,268,153,85,302,62,322,142,261,68
ENSMUSE00001333174,79,40,160,153,81,143,95,30,66,50,77,143,15,0,67,176,81,67,236,33,242,90,164,95
ENSMUSE00000821277,13,1,18,9,24,6,9,14,7,8,47,7,8,0,8,6,112,5,15,57,59,13,24,6
ENSMUSE00001297684,41,21,46,52,118,30,32,63,47,25,227,26,50,0,26,25,594,26,91,309,321,97,150,48
ENSMUSE00000731131,13,1,18,9,24,6,9,14,7,8,47,7,8,0,8,6,113,5,15,57,59,14,24,9
ENSMUSE00001277010,13,1,18,9,21,6,9,13,7,8,41,7,8,0,7,5,97,3,13,49,53,12,24,9
ENSMUSE00000735893,4,0,7,5,10,1,1,7,4,2,17,0,5,0,4,2,55,2,7,27,32,6,15,3
ENSMUSE00001329532,22,10,20,34,52,16,17,28,29,15,109,14,28,0,8,14,270,14,48,143,159,49,64,21
ENSMUSE00000712064,15,14,22,13,11,11,19,21,15,18,15,24,16,0,9,19,17,13,20,29,16,3,20,12
ENSMUSE00001322059,40,21,65,51,21,25,35,22,38,35,45,30,20,0,38,37,34,28,52,46,59,29,34,32
ENSMUSE00001319806,778,750,3814,1796,279,1882,3643,4024,1257,938,11073,2438,3204,0,1288,1538,1184,703,2843,6737,2131,733,3527,1017
ENSMUSE00000630484,692,626,3131,1482,246,1609,3058,3237,1065,791,8409,1932,2599,0,1082,1303,1001,594,2307,5030,1776,621,2916,828
ENSMUSE00001070863,160,100,341,301,50,209,342,286,163,110,560,221,256,0,152,170,147,97,244,336,274,95,317,171
ENSMUSE00001326512,28,23,74,50,7,62,74,56,49,25,103,48,69,0,32,40,35,22,59,93,49,19,79,12
ENSMUSE00001330817,34,33,122,52,5,73,105,87,43,31,188,62,64,0,47,55,34,20,57,109,88,22,93,23
ENSMUSE00001329773,571,603,3283,1396,220,1545,3119,3576,1026,780,10194,2113,2838,0,1038,1278,962,564,2500,6215,1716,593,3069,793
ENSMUSE00001328041,552,569,3182,1360,214,1481,3025,3510,987,752,10048,2066,2777,0,1002,1237,931,541,2439,6132,1663,578,2981,767
ENSMUSE00001323480,530,534,3048,1311,201,1372,2859,3377,931,702,9860,1968,2672,0,943,1166,872,514,2347,5994,1579,553,2857,733
ENSMUSE00001332277,21,29,130,41,9,72,128,87,54,22,176,71,84,0,41,53,41,21,92,127,80,27,100,19
ENSMUSE00001318427,410,373,2186,935,152,992,2094,2451,663,518,6881,1361,1923,0,679,845,622,374,1690,4090,1103,399,2111,515
ENSMUSE00001335554,70,50,190,137,28,104,156,205,76,69,455,111,154,0,86,91,58,51,134,215,118,40,161,78
