gene_name,KO_48h-WT_48h,KO_EE-WT_EE,KO_DP-WT_DP,KO_MP-WT_MP,KO_TE-WT_TE
Igkv8-27,0.0,-0.071,0.095,2.112,-0.171
Mettl27,0.617,-0.7290000000000001,-0.455,1.228,0.307
Ppp1r13b,0.618,0.079,0.5529999999999999,1.113,0.223
Lca5,0.345,0.287,-0.18100000000000002,1.067,0.868
Igkv11-125,0.0,-0.004,0.0,1.1909999999999998,0.004
Gadd45a,0.28,0.20600000000000002,0.006,1.093,0.19
Stx1a,0.556,0.308,0.153,1.08,0.10300000000000001
Mgat4a,0.10300000000000001,-0.08,0.057,1.4569999999999999,0.613
Phf21a,0.11800000000000001,0.16,0.171,1.375,0.389
Gnb4,-0.124,-0.017,-0.048,1.093,0.48100000000000004
Zbtb37,-0.015,0.303,-0.297,1.099,0.43200000000000005
Igkv4-91,0.0,0.0,0.027000000000000003,1.6059999999999999,1.604
Parp16,1.249,0.308,0.281,0.485,0.76
Serpine2,1.161,0.168,0.528,0.316,1.015
Prr5l,0.823,-0.067,0.301,0.195,1.349
Fgr,0.946,0.18899999999999997,0.466,-0.066,1.649
Tha1,0.555,0.05,0.684,0.011000000000000001,1.4909999999999999
Trbv13-2,-0.664,0.436,0.624,0.7170000000000001,1.041
Ogg1,-0.489,0.287,0.486,0.368,1.087
Wdr95,-0.8240000000000001,0.68,0.8079999999999999,1.0390000000000001,0.9590000000000001
Cxcr6,-1.2,0.366,0.6629999999999999,0.743,1.003
Trbv4,-0.37,0.28,1.739,0.995,1.052
9930111J21Rik1,-0.688,0.084,1.383,0.731,0.61
Cd7,-0.45799999999999996,0.158,1.047,0.528,1.089
Nars2,-0.505,-0.023,1.2309999999999999,0.48,0.831
Zfp568,0.598,1.321,1.195,1.081,0.929
Trav6-6,0.629,1.412,0.841,1.143,0.48100000000000004
Trav6d-6,0.629,1.412,0.841,1.143,0.48100000000000004
Trav8d-2,-0.111,1.304,0.8079999999999999,1.153,0.927
Epas1,0.254,1.351,0.693,1.251,1.245
Mettl17,0.042,0.7040000000000001,0.498,1.21,0.8540000000000001
Ctsa,-0.18,0.56,0.675,1.033,0.8390000000000001
Rnf167,-0.18,0.708,0.7490000000000001,1.082,0.794
Tsc22d1,0.152,1.136,0.565,1.202,0.858
Tlr1,0.147,1.054,0.34600000000000003,1.088,0.711
Samd3,0.27,1.058,0.34,1.109,0.516
Padi2,0.708,0.937,0.83,0.84,1.032
Abi3,-0.1,1.024,1.239,1.26,1.205
Ift46,0.35,0.8190000000000001,1.28,1.004,1.123
Rnf144a,0.381,0.862,1.32,0.8540000000000001,1.002
Mical2,0.248,0.841,1.0270000000000001,1.113,1.2890000000000001
Trav12n-2,0.251,0.862,1.215,1.012,1.315
Trav12d-2,0.251,0.862,1.215,1.012,1.315
Tom1,0.040999999999999995,0.413,0.863,0.922,1.33
Cyb561a3,-0.267,0.474,0.9440000000000001,1.248,1.319
Nccrp1,0.0,0.29,1.2930000000000001,0.7090000000000001,1.135
Sit1,0.34299999999999997,0.22699999999999998,0.986,0.555,1.026
Nrgn,0.371,0.377,1.249,0.75,0.9470000000000001
Hectd2,-0.42100000000000004,0.97,0.9490000000000001,0.684,1.239
Rexo2,-0.174,0.7559999999999999,1.093,0.887,1.102
Ltb,-0.156,0.495,0.6579999999999999,0.51,1.436
Zcwpw1,-0.002,0.726,0.88,0.335,1.018
Spin2c,-0.051,0.677,0.8370000000000001,0.517,1.078
Crtam,-0.106,0.616,0.75,0.6409999999999999,1.197
Glrx,-0.19899999999999998,0.601,0.85,0.799,1.067
Pon3,-0.16,0.7290000000000001,0.8059999999999999,0.74,1.094
Samd10,-0.136,0.605,0.299,0.377,1.045
Nab2,0.075,0.82,0.451,0.38,1.033
Dnase2a,-0.026000000000000002,0.5770000000000001,0.578,0.33299999999999996,1.016
Lta,0.095,0.608,0.594,0.226,1.2309999999999999
Eno3,0.35600000000000004,0.7170000000000001,0.302,0.76,1.046
Sdcbp2,-0.002,0.469,0.514,0.93,1.286
Cd86,0.031,0.667,0.32899999999999996,0.8170000000000001,1.119
Dok2,0.049,0.57,0.5329999999999999,0.6459999999999999,1.093
Snai3,0.34700000000000003,0.222,0.18100000000000002,0.33899999999999997,1.0959999999999999
Tnf,0.313,0.389,0.348,0.5539999999999999,1.541
Smox,0.19899999999999998,0.34299999999999997,0.049,0.47700000000000004,1.4469999999999998
Trdc,0.21899999999999997,-0.019,0.518,0.524,1.561
Cd27,0.19899999999999998,0.348,0.7559999999999999,0.5870000000000001,1.216
Tmem140,0.162,0.35100000000000003,0.7090000000000001,0.444,1.173
Il18,0.11800000000000001,0.13,0.589,0.579,1.101
Dedd2,0.006,0.183,0.745,0.384,1.0270000000000001
Cxcr3,-0.044000000000000004,0.215,0.626,0.462,1.107
Chchd10,-0.17600000000000002,0.304,0.5820000000000001,0.09699999999999999,1.189
Rasal1,0.065,0.114,0.562,0.33799999999999997,1.334
Mtif3,-0.125,0.057999999999999996,0.679,0.27,1.281
Tacc2,0.131,0.639,1.215,0.13,1.751
Gcnt1,0.198,0.857,0.836,0.078,1.554
Jun,0.129,0.772,1.149,0.094,1.21
Afdn,0.47700000000000004,0.961,0.54,0.20800000000000002,1.306
Rnf227,0.409,0.342,0.9690000000000001,0.261,1.4280000000000002
Cd55,0.544,0.474,0.6729999999999999,0.431,1.183
Perp,0.6679999999999999,0.436,0.637,0.564,1.26
Actn2,3.2710000000000004,0.131,0.139,0.484,-0.003
C1qtnf12,2.374,-0.386,0.878,0.8690000000000001,0.649
Slc16a5,2.001,-0.142,0.276,-0.664,-0.013000000000000001
Fes,1.162,-0.5479999999999999,-0.018000000000000002,-0.575,-0.603
Lilrb4a,1.431,-0.767,-0.079,-0.171,-0.285
Gldc,1.3130000000000002,-0.7809999999999999,-0.127,-0.679,-0.09699999999999999
4933427D14Rik,0.496,-1.022,0.016,-0.309,-0.10300000000000001
Fchsd1,1.004,-0.7709999999999999,0.048,-0.342,0.28300000000000003
Cerkl,1.041,-0.008,-0.653,-0.445,-0.405
Ctrc,1.177,0.237,0.36700000000000005,0.243,-0.5670000000000001
Slc46a3,1.036,0.02,0.449,0.45799999999999996,0.14
Tet1,1.3259999999999998,-0.111,0.47700000000000004,-0.111,0.19
Myo18a,1.028,0.075,0.419,-0.005,0.316
Eomes,1.04,-0.005,0.183,-0.095,0.336
Fam126a,1.045,0.32,0.065,0.265,0.18899999999999997
Zfp169,1.08,0.217,-0.18100000000000002,0.493,-0.133
Sema4a,1.2770000000000001,0.435,-0.165,0.461,0.064
Tspoap1,1.7519999999999998,0.052000000000000005,-0.171,-0.17800000000000002,-0.145
Adam8,1.2890000000000001,-0.011000000000000001,0.028999999999999998,-0.006999999999999999,0.175
H2-Q10,1.455,-0.095,0.055,-0.005,0.128
Plxdc1,1.355,0.092,-0.009000000000000001,0.26899999999999996,-0.024
Prf1,1.234,0.08,-0.204,0.185,0.057999999999999996
Gas2l3,1.031,0.126,-0.369,0.035,-0.159
Rell1,1.091,0.21100000000000002,-0.128,0.008,-0.114
Lmna,1.219,0.322,-0.07,-0.187,-0.138
Hist2h3c2,1.179,-0.081,0.021,-0.138,-0.14400000000000002
Naaa,1.2,-0.213,-0.42,-0.228,-0.156
Zc3h6,1.234,-0.023,-0.266,0.031,-0.306
Itgb3,1.341,-0.168,-0.222,-0.21,-0.342
Hspb6,1.8419999999999999,0.601,0.736,0.335,0.153
Rab3d,1.258,0.753,0.473,0.8190000000000001,0.18
Pld4,1.2309999999999999,0.515,0.557,0.807,0.152
Traj18,1.026,0.804,0.168,0.478,0.1
Lfng,1.136,0.48100000000000004,0.21899999999999997,0.615,0.44
Pianp,1.421,0.5870000000000001,0.22899999999999998,0.452,0.225
Chd7,1.492,1.092,0.35600000000000004,0.9840000000000001,0.59
Ifitm10,1.874,0.513,0.336,1.028,0.268
Trav7d-4,1.58,0.07400000000000001,1.393,0.93,-0.256
Tubb6,1.083,-0.191,1.2570000000000001,-0.008,0.217
Hist1h2bp,1.035,0.20800000000000002,0.972,0.526,0.47
Hist1h2af,0.8340000000000001,0.457,1.416,0.659,0.49200000000000005
Iglv2,0.0,-2.125,-1.188,0.597,-2.147
Igkv4-55,0.0,-1.829,0.5870000000000001,1.003,-1.4509999999999998
BC024978,-1.004,0.627,-0.71,-0.061,-0.624
Ifi211,-1.716,-0.168,0.21600000000000003,-0.41,0.122
Mef2c,-1.839,-0.017,-0.142,-0.046,0.335
Gbp2,-1.943,-0.14800000000000002,-0.429,-0.135,0.11900000000000001
Tmem254b,-1.926,-0.408,-0.23600000000000002,-0.301,0.17
Tmem254a,-1.926,-0.409,-0.23600000000000002,-0.301,0.17
Sco2,-1.225,-0.354,-0.503,0.2,0.331
Ndufa12,-1.199,-0.6729999999999999,-0.35600000000000004,-0.489,-0.414
Tmem254c,-1.125,-0.6779999999999999,0.008,-0.239,-0.34700000000000003
Lrr1,-1.028,-0.5589999999999999,-0.11199999999999999,-0.213,-0.237
Cdpf1,-1.251,-0.539,-0.20199999999999999,-0.29100000000000004,-0.13699999999999998
Tmem14c,-1.2,-0.41700000000000004,-0.244,-0.327,-0.324
Gbp6,-1.216,0.14400000000000002,-0.312,-0.139,0.065
Rmdn2,-1.3030000000000002,0.012,-0.10800000000000001,-0.08900000000000001,-0.156
Map4k1,-1.301,0.005,-0.191,-0.12300000000000001,-0.068
Taf9,-1.242,-0.47,0.013999999999999999,0.251,0.145
Ly6i,-1.295,-0.321,-0.257,0.244,-0.27699999999999997
Dynlt1-ps1,-1.141,-0.255,-0.023,0.057999999999999996,-0.26
Oas1a,-1.173,-0.29600000000000004,-0.141,-0.013000000000000001,-0.047
Erh,-1.036,-0.20800000000000002,-0.045,0.021,-0.047
Itgax,-1.454,0.341,-0.175,0.465,-0.042
Tulp4,-1.739,0.203,-0.155,0.546,-0.301
Igkc,-1.351,-0.013999999999999999,0.539,1.046,-0.01
Tmem163,-1.124,-0.10800000000000001,0.33299999999999996,0.764,0.155
Isg20,-1.605,0.08800000000000001,0.5660000000000001,0.115,0.44
Icam2,-1.4480000000000002,0.193,0.47100000000000003,0.313,0.36200000000000004
Sms-ps,-1.652,-0.047,0.23,0.479,0.493
Calhm6,-1.834,0.087,0.5579999999999999,0.41100000000000003,0.718
B3gnt5,-1.2830000000000001,0.361,0.242,-0.037000000000000005,-0.13699999999999998
Ly6c1,-1.112,-0.27,0.428,0.11599999999999999,-0.14
Eif2s1,-1.065,-0.156,0.45899999999999996,0.257,0.151
Ccl3,-1.226,0.049,0.182,0.040999999999999995,0.321
Tmem68,-1.157,0.19,0.348,0.237,-0.03
Nqo2,-1.229,0.038,0.21,0.358,0.19899999999999998
Zfp607b,-1.455,-1.7690000000000001,0.111,-1.474,-1.808
P2ry12,-1.374,-1.251,-0.41100000000000003,-0.659,-1.986
Rapgef4,0.308,-1.165,0.6659999999999999,-1.5930000000000002,-0.8240000000000001
Trav9-1,-0.182,-1.874,0.321,-0.649,-1.574
Slc1a4,-0.307,-2.015,0.483,-1.482,-1.145
Gpr34,-1.1909999999999998,-1.9809999999999999,0.9940000000000001,-0.551,-0.325
Tprn,-0.7659999999999999,-1.055,0.306,-0.9079999999999999,-0.126
Xcl1,-1.167,-0.965,-0.069,-0.894,-0.479
Amigo2,-0.381,0.608,-0.379,-1.749,-0.937
Phldb3,-0.32,0.987,-0.7979999999999999,-0.965,-1.695
Slc6a19,-0.10099999999999999,0.721,-1.849,-0.016,0.0
Sgsm3,-0.077,0.431,-1.625,-0.17,-0.43
Btbd8,0.225,-0.618,-1.089,-0.6679999999999999,-0.648
Kat6b,-0.049,-0.22399999999999998,-1.148,-0.509,-0.627
Srpr,0.201,-0.525,-1.018,-0.355,-0.22699999999999998
Ccp110,-0.05,-0.513,-1.094,-0.629,-0.344
Enpp4,-0.133,-0.47700000000000004,-1.0190000000000001,-0.302,-0.405
Slc16a3,0.175,0.022000000000000002,-1.439,-0.782,-0.024
Mex3b,-0.139,0.075,-1.109,-0.486,-0.24100000000000002
Micall1,-0.27899999999999997,-0.27899999999999997,-1.013,-0.75,-0.226
Zfp964,-0.16,-0.06,-0.991,-1.046,-0.11199999999999999
Dennd2c,-0.109,0.15,-1.1079999999999999,-0.185,0.166
Alg10b,-0.067,-0.29,-1.151,-0.139,0.006999999999999999
L2hgdh,-0.16699999999999998,-0.25,-1.146,-0.106,0.105
Zfp668,0.135,0.303,-1.0290000000000001,0.188,-0.086
Rev1,0.135,0.13,-1.131,0.115,-0.057999999999999996
Dcaf1,0.313,-0.217,-1.183,0.023,0.08800000000000001
Fam199x,0.051,-0.19899999999999998,-1.26,0.195,-0.29
Trav6-5,-0.079,-0.568,-1.05,0.244,0.152
Zfp969,-0.317,-0.772,-1.3319999999999999,0.063,-0.233
Akap1,-0.14300000000000002,-0.512,-1.161,-0.526,0.153
Mfhas1,-0.062,-0.635,-1.0270000000000001,-0.19,-0.008
Cetn4,-0.102,-0.77,-1.149,-0.28600000000000003,-0.121
Maats1,0.425,0.10099999999999999,-1.466,0.051,0.345
Zfp865,0.262,0.326,-1.4069999999999998,-0.228,0.698
Pacsin1,0.491,0.068,-1.126,-0.475,0.821
Gzf1,0.778,-0.13,-0.8859999999999999,-1.001,0.157
Sik1,0.6579999999999999,-0.371,-1.34,-0.6890000000000001,0.61
Hivep1,0.922,-0.386,-1.386,-0.386,0.11699999999999999
Rasa4,0.22,0.6940000000000001,0.33899999999999997,0.07200000000000001,-1.074
Pde2a,0.7929999999999999,0.607,-0.373,-0.326,-1.4069999999999998
Homez,0.386,-0.26899999999999996,0.159,-0.409,-1.743
Tmem108,0.41600000000000004,-0.521,0.41100000000000003,-0.11800000000000001,-1.128
Bank1,0.226,-0.469,0.10800000000000001,0.335,-1.379
Cbx7,-0.4,-0.32799999999999996,-0.634,-0.589,-1.329
Calcrl,-0.040999999999999995,-0.56,-0.8859999999999999,-0.336,-1.022
Ttl,-0.161,-0.516,-0.718,-0.312,-1.156
Megf9,-0.128,-0.512,-0.564,-0.183,-1.043
Siae,0.047,-0.754,-0.247,-0.026000000000000002,-1.067
Plscr3,0.047,-0.47200000000000003,-0.3,-0.20800000000000002,-1.416
4930548H24Rik,0.27,-0.452,-0.263,-0.36700000000000005,-1.2790000000000001
Lgals4,-0.069,-0.217,-0.282,-0.37200000000000005,-1.1520000000000001
Wls,0.13699999999999998,-0.159,-0.239,-0.213,-1.3559999999999999
Klra3,-0.721,-0.647,-0.395,-0.382,-1.571
Zfp119b,-0.483,-0.28600000000000003,0.17,-0.127,-1.5319999999999998
Zbtb18,-0.341,-0.474,0.017,-0.102,-1.256
Foxr1,-0.325,-0.187,-0.151,0.011000000000000001,-1.2770000000000001
Emilin1,-0.27399999999999997,0.301,-1.213,0.002,-1.057
Gpx8,-0.006,-0.22699999999999998,-1.022,0.037000000000000005,-1.329
Il12rb2,-0.106,-0.08800000000000001,-0.885,0.016,-1.054
Fcgr2b,0.5589999999999999,-0.011000000000000001,-0.44299999999999995,0.121,-1.016
Lepr,0.172,0.318,-0.708,-0.534,-1.6909999999999998
Sipa1l3,0.039,0.341,-0.855,-0.48100000000000004,-1.045
Mag,0.138,-0.05,-0.584,-0.597,-1.278
Tle1,0.42,0.09,-0.518,-0.37,-1.052
Zbed6,0.456,-0.5379999999999999,-1.252,0.337,-0.696
Cdkn1a,0.5710000000000001,-0.9390000000000001,-1.078,-0.42100000000000004,-0.36
Syk,0.807,-1.12,-0.679,-0.10800000000000001,-0.27
Egr1,0.43,-1.146,-0.722,-0.244,-0.48200000000000004
Adgrg5,0.652,-0.6759999999999999,-0.5429999999999999,-0.22699999999999998,-1.011
Pde8a,1.052,-0.6459999999999999,-0.938,-0.727,-1.071
Trav16n,0.406,-1.73,-0.746,-0.853,-1.067
Zfp27,-0.004,-1.75,-0.792,-0.603,-0.226
Ermn,0.12,-1.47,-0.6829999999999999,-0.946,-0.705
Kifap3,0.038,-1.444,-0.91,-0.977,-0.27899999999999997
Tmem141,0.35700000000000004,-1.135,-0.268,-1.17,-0.44
Ociad2,0.043,-1.413,-0.275,-1.261,-0.057
Nr4a2,0.08199999999999999,-1.07,-0.382,-0.9620000000000001,0.18899999999999997
Ccr9,0.083,-1.0070000000000001,-0.5770000000000001,-1.013,-0.23199999999999998
Tox,0.055999999999999994,-0.997,-0.45799999999999996,-1.165,-0.087
Capsl,-0.364,-1.382,-0.594,-1.462,-0.46399999999999997
Igf1r,0.40299999999999997,-1.245,-1.085,-1.53,-0.233
Rhpn2,0.126,-1.031,-0.7959999999999999,-1.33,-0.6609999999999999
Cndp1,-0.06,-1.0490000000000002,-0.376,-0.6920000000000001,-1.093
Immp2l,-0.083,-1.15,-0.397,-0.762,-0.66
Decr1,-0.096,-1.053,-0.271,-0.741,-0.5660000000000001
Trpm2,-0.034,-1.038,-0.365,-0.612,-0.561
Zfp667,-0.052000000000000005,-1.011,-0.35600000000000004,-0.524,-0.512
Cox7a1,0.157,-1.054,-0.405,-0.625,-0.6890000000000001
1110051M20Rik,0.085,-1.1179999999999999,-0.396,-0.545,-0.625
Hspa12b,0.069,-0.748,0.16,-0.599,-1.2429999999999999
Pih1d2,-0.115,-0.716,0.11699999999999999,-0.8109999999999999,-1.0090000000000001
Pde6g,0.085,-1.043,0.043,-0.40399999999999997,-0.7959999999999999
Ankrd55,-0.215,-1.071,0.159,-0.46,-0.992
Spaca9,-0.01,-0.9790000000000001,0.267,-0.32899999999999996,-1.04
Fcmr,0.561,-1.4769999999999999,-0.22399999999999998,0.03,-0.7090000000000001
Apoe,0.10400000000000001,-1.548,-0.191,-0.08900000000000001,-1.306
Eid2,-0.185,-1.5019999999999998,-0.418,0.526,-0.023
Mpeg1,0.14300000000000002,-1.037,-0.23800000000000002,0.242,-0.003
1700088E04Rik,0.006999999999999999,-1.145,-0.525,-0.091,-0.321
Arsa,0.218,-1.1,-0.47,-0.153,-0.138
Xpnpep3,0.23399999999999999,-1.17,-0.061,0.287,-0.409
Usp46,0.18,-1.002,-0.262,0.309,-0.653
Ly6d,0.0,-1.008,0.185,0.228,-0.46
Ly86,-0.322,-1.036,0.28,0.414,-0.56
Gng3,0.011000000000000001,-1.085,-0.9129999999999999,-0.5920000000000001,0.13699999999999998
Dapl1,0.28800000000000003,-1.215,-0.537,-0.51,0.462
Tubb3,-0.425,-1.032,-0.519,-0.17600000000000002,-0.547
