gene_name,Chd7_1_vs_Ctrl,Chd7_2_vs_Ctrl,Chd7_3_vs_Ctrl
Palm,-0.573,-0.34700000000000003,-0.409
Zfp955b,-0.603,-0.363,-0.39399999999999996
Tnfrsf13b,-0.51,-0.40399999999999997,-0.375
Rfx2,-0.539,-0.341,-0.35200000000000004
Slc7a5,-0.521,0.391,0.024
1700020L24Rik,-0.57,0.205,-0.158
Creb3l2,-0.524,0.214,-0.040999999999999995
Ttc27,-0.544,-0.047,0.159
St3gal3,-0.747,-0.20600000000000002,-0.17
Chd7,-0.6970000000000001,-0.10300000000000001,-0.055999999999999994
Prss16,-0.755,0.059000000000000004,-0.179
Gsto1,-0.653,0.034,-0.08
Taf9,-0.682,0.069,-0.048
Mospd1,-0.581,-0.0,-0.252
Nudt15,-0.63,-0.06,-0.287
Frat2,-0.512,-0.04,-0.195
Cltc,-0.519,0.031,-0.078
Apobr,-0.561,0.027999999999999997,-0.141
Mpp5,-0.6890000000000001,0.349,-0.36700000000000005
Klrb1c,-0.91,0.303,-0.488
Tppp3,-0.408,-0.055999999999999994,-0.737
1500009L16Rik,-0.466,-0.065,-0.6409999999999999
Trim46,-0.517,-0.1,-0.588
Fam241a,-0.568,-0.122,-0.601
Fcgrt,-0.385,0.131,-0.504
Slc11a2,-0.251,0.087,-0.547
Cdc42bpg,-0.531,0.057999999999999996,-0.415
Wfikkn2,-0.619,0.151,-0.44
Lmna,-0.5660000000000001,0.201,-0.5429999999999999
Xkr8,0.395,-0.5489999999999999,0.34299999999999997
Syk,0.35700000000000004,-0.7240000000000001,0.40299999999999997
Fes,0.603,-0.517,0.040999999999999995
Homez,0.307,-0.594,0.086
Ifit1,0.353,-0.662,0.068
Cd72,0.294,-1.126,0.067
Dglucy,0.23600000000000002,-1.218,0.11599999999999999
Klf8,0.147,-1.29,-0.282
Tesk1,0.021,-0.9590000000000001,-0.109
Ccng1,0.027999999999999997,-1.0090000000000001,-0.162
Rab18,-0.078,-1.079,-0.096
Slc39a1,-0.107,-1.128,-0.161
Serpinb1a,0.115,-0.893,-0.24600000000000002
Ptprv,0.128,-0.807,-0.33
Dynlt1f,0.11599999999999999,-0.94,0.012
Akap17b,0.158,-0.772,-0.10099999999999999
Klc4,-0.318,-0.795,-0.532
Tcaim,-0.34600000000000003,-0.718,-0.45
Ctnnbip1,-0.32,-0.72,-0.47
Camsap1,-0.34700000000000003,-0.713,-0.373
Cyp4v3,-0.308,-0.727,-0.321
Ccl5,-0.321,-0.728,-0.34
Akt3,-0.275,-0.815,-0.354
Ccdc50,-0.248,-0.805,-0.27899999999999997
Nr1d2,-0.28800000000000003,-0.8320000000000001,-0.165
Dtd2,-0.405,-0.762,-0.225
Map3k15,-0.32799999999999996,-0.795,-0.262
Xdh,-0.23199999999999998,-0.662,-0.134
Zbtb20,-0.142,-0.6779999999999999,-0.24600000000000002
Slc25a24,-0.191,-0.594,-0.233
Smim13,-0.2,-0.617,-0.223
Traf1,-0.165,-0.635,-0.195
Cdh24,-0.195,-0.632,-0.183
Nkap,-0.20199999999999999,-0.5489999999999999,-0.26
Cd79b,-0.188,-0.622,-0.314
Lats2,-0.19,-0.565,-0.325
Oas1c,-0.14800000000000002,-0.609,-0.4
Card19,-0.209,-0.63,-0.384
Ints12,-0.151,-0.52,-0.358
Mcub,-0.09300000000000001,-0.56,-0.39399999999999996
Zeb2,-0.455,-0.585,-0.154
Crebrf,-0.302,-0.612,-0.17300000000000001
Dync1li2,-0.354,-0.611,-0.14400000000000002
Tmem104,-0.375,-0.645,-0.1
Rnf19a,-0.32899999999999996,-0.5820000000000001,-0.289
Pnkd,-0.342,-0.527,-0.298
Crybg3,-0.32799999999999996,-0.535,-0.315
Lancl3,-0.384,-0.51,-0.371
Unc93b1,-0.35,-0.5820000000000001,-0.366
Arhgef4,-0.331,-0.503,-0.174
Fry,-0.325,-0.525,-0.21100000000000002
Uprt,-0.31,-0.547,-0.226
P2ry10b,-0.47600000000000003,-0.502,-0.267
Mr1,-0.41200000000000003,-0.547,-0.27699999999999997
Micos10,-0.374,-0.518,-0.22399999999999998
Aptx,-0.42700000000000005,-0.502,-0.221
Dynlt1b,0.013000000000000001,-0.83,0.187
Castor2,-0.07400000000000001,-0.614,0.141
Gpr137b-ps,-0.031,-0.615,0.14400000000000002
Fam234a,0.054000000000000006,-0.606,0.233
Fcgr2b,0.001,-0.562,0.231
Snx29,-0.002,-0.5479999999999999,0.195
Socs3,-0.396,-0.557,0.09300000000000001
Il6st,-0.341,-0.514,-0.003
Rabl3,-0.18600000000000003,-0.5820000000000001,0.131
Vps26a,-0.17800000000000002,-0.57,-0.035
Hid1,-0.228,-0.545,-0.07
Zfp945,-0.19699999999999998,-0.555,-0.083
Lrch1,-0.126,-0.5379999999999999,0.018000000000000002
Josd2,-0.107,-0.565,-0.033
Evi2a,-0.06,-0.7509999999999999,-0.226
Slfn5,-0.047,-0.718,-0.205
Exoc6b,-0.022000000000000002,-0.845,-0.092
Twf1,-0.084,-0.731,-0.11
Syne1,-0.066,-0.735,-0.034
Zscan2,-0.011000000000000001,-0.745,-0.043
Mxd4,0.036000000000000004,-0.561,-0.267
Rnf6,-0.015,-0.517,-0.20800000000000002
D130040H23Rik,0.027000000000000003,-0.5379999999999999,-0.161
Coa4,-0.022000000000000002,-0.522,-0.156
Rap2b,-0.034,-0.527,-0.139
Kiz,-0.06,-0.54,-0.285
Numb,-0.095,-0.588,-0.28600000000000003
Rab37,-0.086,-0.5920000000000001,-0.272
Lztfl1,-0.106,-0.511,-0.20199999999999999
Fam214a,-0.159,-0.547,-0.158
Rfesd,0.126,-0.502,0.040999999999999995
Galc,0.09,-0.5379999999999999,-0.037000000000000005
Ssh1,0.073,-0.54,0.006
Fam114a2,-0.025,-0.598,-0.004
Cdk10,-0.038,-0.5660000000000001,-0.027000000000000003
Purb,-0.004,-0.505,-0.075
Mtx2,0.027999999999999997,-0.58,-0.044000000000000004
Ntrk3,0.012,-0.5329999999999999,-0.035
Mrpl53,0.07200000000000001,-0.581,-0.111
Plekhm3,0.01,-0.627,-0.05
Nrbf2,-0.027999999999999997,-0.635,-0.081
Dgkh,0.021,-0.632,-0.099
Arpc5,-0.005,-0.634,-0.105
Dyrk1b,0.001,-0.61,-0.152
Txndc17,-0.073,-0.612,-0.124
Plbd2,-0.062,-0.61,-0.165
Arhgef12,-0.511,-0.914,-0.03
Dynlt3,-0.564,-0.833,0.028999999999999998
Cry2,-0.5479999999999999,-0.47600000000000003,0.016
Cyb5rl,-0.6609999999999999,-0.444,0.05
Ogfrl1,-0.396,-0.86,-0.887
Sept2,-0.33399999999999996,-1.273,-0.075
Acadsb,-0.602,-1.163,-0.24
Ikzf2,-0.669,-1.0070000000000001,-0.498
Pde8a,-0.392,-1.22,-0.593
Prrc1,-0.20800000000000002,-0.9420000000000001,-0.48
Tnfrsf13c,-0.233,-1.091,-0.32799999999999996
Hist1h2ao,-0.43700000000000006,0.535,-1.587
Ret,-0.247,0.625,-0.401
Oxnad1,-0.259,0.3,-0.634
Matk,-0.039,0.321,-0.685
