,ChIP
84,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
85,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8
86,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
87,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
88,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
89,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
90,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
91,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
92,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
93,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
94,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
95,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
96,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
97,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2017_PNAS_Li___STAT5B_IL2-CD8
98,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
99,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
100,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
101,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
102,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
103,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
104,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
105,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
106,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
107,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
108,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8
109,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
110,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
111,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
112,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2017_PNAS_Li___STAT5B_IL2-CD8
113,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
114,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
115,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
116,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8
117,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
118,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
119,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
120,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
121,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
122,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
123,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
124,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
125,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
126,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
127,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
128,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2017_PNAS_Li___STAT5B_IL2-CD8
129,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
130,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
131,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
132,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
133,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
134,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
135,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
136,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
137,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
138,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
139,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
140,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
141,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
142,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
143,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
144,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
145,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
146,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
147,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
148,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
149,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
150,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8
151,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
152,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
153,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
154,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2017_PNAS_Li___STAT5B_IL2-CD8
155,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
156,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
157,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
158,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
159,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
160,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
161,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
162,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
163,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
164,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
165,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2016_SCIENCE_Mackay___Hobit_invitro-CD8
166,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2016_SCIENCE_Mackay___Hobit_invitro-CD8
167,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
168,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2016_SCIENCE_Mackay___Hobit_invitro-CD8
169,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
170,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
171,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8
172,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
173,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
174,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
175,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
176,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2016_SCIENCE_Mackay___Hobit_invitro-CD8
177,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
178,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
179,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
180,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
181,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
182,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
183,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
184,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2017_PNAS_Li___STAT5B_IL2-CD8
185,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
186,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
