ChIP_combination,ChIP,sc_P3_cl13_up,sc_d8_arm_up,sc_P3_arm_up,sc_P2_arm_up,sc_P4_arm_up,sc_P9_arm_up,sc_all,d5_KLRG1lo_Runx3_repressed,nascent_48h_up,sc_P4_cl13_up,sc_P7_cl13_up,sc_P7_arm_up,d5_KLRG1lo_Runx3_promoted,d5_KLRG1lo_all,d5_KLRG1hi_all,nascent_Il2_repressed,nascent_48h_dn,sc_P9_cl13_up,sc_P5_cl13_up,sc_P6_arm_up,sc_P5_arm_up,nascent_all,nascent_Il2_promoted,sc_d5_arm_up,sc_d8_cl13_up,d5_KLRG1hi_Runx3_repressed,d5_KLRG1hi_Runx3_promoted,sc_d5_cl13_up,sc_P6_cl13_up,sc_P2_cl13_up
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.1068,0.2322,0.3304,0.2719,0.2269,0.2121,0.1208,0.1468,0.2828,0.1232,0.2534,0.1369,0.5581,0.1391,0.1094,0.1094,0.2467,0.2227,0.1579,0.3048,0.1778,0.2,0.13,0.1512,0.1837,0.1335,0.1834,0.1941,0.2321,0.2619,0.1538
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.088,0.1341,0.1531,0.1913,0.1562,0.1081,0.1071,0.0889,0.1757,0.0714,0.14,0.1,0.1786,0.1139,0.0895,0.0895,0.1344,0.1158,0.1765,0.1905,0.1121,0.1364,0.087,0.1195,0.1134,0.065,0.1229,0.0851,0.1368,0.1875,0.0909
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.2284,0.2977,0.3944,0.3368,0.3611,0.284,0.2087,0.2338,0.3645,0.1879,0.3333,0.2697,0.5897,0.1867,0.2319,0.2319,0.3463,0.3151,0.1667,0.3886,0.215,0.2667,0.2342,0.2209,0.2477,0.1904,0.2554,0.2553,0.2978,0.3287,0.2162
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.1752,0.2482,0.3523,0.283,0.3212,0.2347,0.1486,0.1899,0.3192,0.149,0.296,0.1729,0.5814,0.1536,0.1772,0.1772,0.2821,0.2849,0.1127,0.3359,0.206,0.2277,0.1858,0.1765,0.2111,0.1576,0.2378,0.2178,0.2601,0.3074,0.1905
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.1896,0.2545,0.3498,0.2941,0.3058,0.2159,0.1692,0.1995,0.3176,0.1598,0.3028,0.1858,0.6,0.1408,0.1908,0.1908,0.2761,0.2861,0.129,0.3374,0.2066,0.25,0.1949,0.1769,0.2,0.1657,0.2382,0.2265,0.2681,0.2987,0.175
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0221,0.0414,0.0371,0.044,0.0196,0.0345,0.0196,0.0214,0.0275,0.0239,0.1,0.069,0.08,0.0342,0.0232,0.0232,0.0113,0.0293,0.0,0.051,0.0471,0.0435,0.0242,0.0338,0.0253,0.0191,0.0158,0.0501,0.0323,0.0581,0.1
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.2574,0.3167,0.4185,0.3981,0.4783,0.3443,0.2569,0.2591,0.4018,0.2049,0.2824,0.2647,0.55,0.222,0.2597,0.2597,0.401,0.3385,0.1373,0.4059,0.2607,0.3064,0.2596,0.2426,0.2802,0.2032,0.2895,0.2778,0.3187,0.3294,0.2609
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1463,0.212,0.2279,0.2426,0.2877,0.2128,0.114,0.1474,0.2391,0.1379,0.2881,0.35,0.5,0.1921,0.1477,0.1477,0.2069,0.1781,0.087,0.2946,0.2258,0.25,0.1495,0.1906,0.1805,0.1267,0.1963,0.1731,0.2152,0.2586,0.1176
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0421,0.064,0.0414,0.0446,0.0962,0.0,0.0408,0.0365,0.0653,0.0454,0.075,0.1071,0.0,0.0567,0.0406,0.0406,0.0441,0.0335,0.0,0.0515,0.0714,0.0725,0.0397,0.0636,0.0377,0.0331,0.0571,0.0354,0.0526,0.0353,0.1111
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.2223,0.3088,0.3868,0.3453,0.3077,0.25,0.1855,0.2251,0.3392,0.1785,0.3204,0.2308,0.5366,0.1808,0.2248,0.2248,0.3386,0.3119,0.1803,0.3905,0.2386,0.2829,0.2277,0.2083,0.234,0.1831,0.2458,0.2504,0.2997,0.3194,0.2258
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2172,0.2894,0.402,0.3482,0.3786,0.2794,0.2015,0.2318,0.343,0.1833,0.3294,0.2113,0.5789,0.2139,0.221,0.221,0.3222,0.2943,0.234,0.4086,0.2805,0.3019,0.2239,0.1905,0.2641,0.1847,0.2527,0.2563,0.2952,0.3714,0.2308
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2017_PNAS_Li___STAT5B_IL2-CD8,0.1558,0.2649,0.2611,0.2288,0.2532,0.2549,0.1378,0.1609,0.2867,0.1266,0.3611,0.2623,0.5,0.1648,0.1571,0.1571,0.248,0.2136,0.2,0.3533,0.2074,0.225,0.1619,0.1807,0.1805,0.1381,0.1816,0.2036,0.2472,0.3355,0.1538
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.1262,0.2177,0.2173,0.2124,0.1806,0.25,0.133,0.128,0.2736,0.1142,0.2857,0.2143,0.3056,0.1215,0.1261,0.1261,0.2,0.1682,0.1429,0.2531,0.155,0.1667,0.1294,0.1645,0.1307,0.1021,0.1618,0.1616,0.1965,0.2571,0.1304
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.1919,0.2356,0.3224,0.2876,0.2963,0.25,0.162,0.1989,0.2922,0.1668,0.2118,0.2206,0.5333,0.1756,0.1954,0.1954,0.2578,0.2578,0.1364,0.2849,0.2679,0.256,0.2005,0.183,0.2155,0.1733,0.2012,0.2166,0.2324,0.2727,0.16
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0886,0.1152,0.1371,0.1762,0.1639,0.1579,0.0773,0.09,0.1609,0.0869,0.1552,0.2,0.2,0.116,0.0907,0.0907,0.1447,0.1029,0.1364,0.2,0.1495,0.1702,0.0886,0.1076,0.1041,0.0698,0.0957,0.1111,0.1293,0.2143,0.0588
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.2204,0.2835,0.3813,0.327,0.3233,0.2347,0.197,0.2217,0.3444,0.1753,0.3158,0.2059,0.5581,0.1675,0.2225,0.2225,0.3337,0.3088,0.1667,0.3673,0.2263,0.2489,0.2251,0.1982,0.2375,0.1743,0.2319,0.2375,0.2795,0.3193,0.2051
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.2236,0.2977,0.4052,0.374,0.386,0.325,0.1957,0.2278,0.3646,0.1842,0.3143,0.1939,0.641,0.1744,0.2261,0.2261,0.3424,0.3027,0.2059,0.3767,0.2622,0.2778,0.2288,0.2068,0.2536,0.1784,0.2468,0.2343,0.2876,0.3213,0.1892
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.2017,0.28,0.3689,0.3056,0.305,0.233,0.1537,0.2057,0.3303,0.1646,0.2969,0.1984,0.5581,0.1501,0.2041,0.2041,0.3126,0.2877,0.1765,0.3527,0.211,0.2348,0.208,0.19,0.2172,0.1661,0.2203,0.2251,0.2675,0.3038,0.1905
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,0.2557,0.3923,0.3863,0.3851,0.3093,0.32,0.2848,0.2654,0.4346,0.2552,0.4598,0.3563,0.6053,0.2917,0.2562,0.2562,0.3796,0.3341,0.3,0.4545,0.2903,0.3806,0.269,0.3116,0.2693,0.2471,0.3021,0.2941,0.3608,0.4032,0.4
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,0.1457,0.2127,0.2023,0.1848,0.1333,0.1176,0.1216,0.149,0.2291,0.1376,0.2949,0.2125,0.1176,0.1418,0.1476,0.1476,0.1721,0.1718,0.1364,0.2454,0.1489,0.1724,0.1465,0.1737,0.1695,0.1392,0.162,0.1591,0.1859,0.2437,0.0385
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,0.2769,0.4024,0.4301,0.454,0.3982,0.375,0.3199,0.2916,0.4757,0.276,0.5474,0.4082,0.625,0.3446,0.2791,0.2791,0.4117,0.358,0.3636,0.4626,0.3558,0.4798,0.2909,0.3535,0.3364,0.2633,0.3453,0.3163,0.3746,0.4429,0.3784
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,0.0192,0.0327,0.0246,0.0131,0.0,0.0,0.0164,0.0199,0.0274,0.0224,0.0667,0.0577,0.0,0.0383,0.0189,0.0189,0.0172,0.0215,0.087,0.0317,0.0238,0.0265,0.0196,0.0256,0.0139,0.0218,0.0227,0.0253,0.026,0.0252,0.125
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,0.0696,0.1435,0.086,0.0606,0.0448,0.0385,0.0622,0.0659,0.1201,0.0811,0.2097,0.0526,0.0625,0.109,0.0673,0.0673,0.0833,0.0725,0.125,0.1269,0.0992,0.1316,0.0709,0.0951,0.0727,0.0678,0.0788,0.0954,0.0989,0.126,0.0526
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,0.2499,0.3777,0.362,0.4083,0.3,0.3485,0.2621,0.2603,0.437,0.2625,0.4444,0.3922,0.6,0.3038,0.2483,0.2483,0.3687,0.3107,0.3,0.4545,0.2886,0.3631,0.26,0.3207,0.2825,0.249,0.3173,0.2871,0.3662,0.4247,0.3636
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,0.2608,0.3623,0.424,0.423,0.3429,0.3784,0.2754,0.2771,0.4756,0.2642,0.4602,0.3714,0.5676,0.3208,0.2607,0.2607,0.3799,0.3519,0.34,0.4599,0.3418,0.414,0.2722,0.3318,0.3156,0.2564,0.3488,0.2839,0.3774,0.4286,0.3636
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,0.2753,0.3645,0.4665,0.4901,0.4309,0.4943,0.2936,0.2955,0.474,0.2913,0.5045,0.374,0.675,0.3273,0.2766,0.2766,0.4109,0.3641,0.3509,0.4615,0.3849,0.4754,0.2901,0.3547,0.363,0.2665,0.3455,0.3067,0.3627,0.4358,0.3556
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.1292,0.3076,0.344,0.393,0.2844,0.3759,0.1487,0.1707,0.3746,0.1717,0.4028,0.2857,0.6591,0.2061,0.1313,0.1313,0.3006,0.2216,0.2292,0.4192,0.2665,0.3375,0.1521,0.235,0.2312,0.1592,0.2181,0.2027,0.2752,0.3993,0.3077
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.123,0.1759,0.2196,0.25,0.2714,0.1852,0.1495,0.1234,0.1947,0.0978,0.2881,0.1154,0.2188,0.1574,0.1236,0.1236,0.1908,0.1498,0.2174,0.2171,0.2239,0.2586,0.1204,0.103,0.1763,0.1013,0.1882,0.1247,0.175,0.275,0.25
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.2949,0.413,0.4457,0.5,0.3966,0.5119,0.2835,0.2923,0.5033,0.2708,0.5093,0.4082,0.7436,0.3142,0.295,0.295,0.4672,0.3546,0.3281,0.5046,0.3686,0.4378,0.2916,0.3269,0.3438,0.2658,0.3329,0.2857,0.3717,0.5093,0.3947
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.2538,0.3553,0.426,0.4733,0.3901,0.4257,0.2601,0.2646,0.4484,0.2391,0.4597,0.3407,0.6818,0.2864,0.2555,0.2555,0.4018,0.3275,0.2794,0.4525,0.3421,0.4395,0.2609,0.3091,0.3204,0.2311,0.3093,0.2641,0.3441,0.4553,0.3488
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.2784,0.3722,0.4548,0.4827,0.4538,0.4773,0.2815,0.2866,0.4572,0.2617,0.5189,0.3947,0.7073,0.2878,0.2799,0.2799,0.4225,0.3572,0.322,0.4917,0.3478,0.4518,0.2836,0.3131,0.321,0.2494,0.3291,0.2837,0.3696,0.4612,0.375
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0285,0.0318,0.0362,0.0439,0.0152,0.0392,0.0376,0.0287,0.0349,0.0301,0.05,0.0182,0.0645,0.0321,0.0299,0.0299,0.0288,0.0308,0.0,0.0465,0.0229,0.0172,0.0321,0.0249,0.0407,0.0258,0.0334,0.0542,0.0313,0.04,0.1875
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.2561,0.3566,0.4097,0.4234,0.3482,0.3816,0.213,0.2583,0.4255,0.2204,0.3913,0.3059,0.6585,0.2521,0.2557,0.2557,0.4132,0.3313,0.2453,0.4188,0.2879,0.3737,0.2587,0.2917,0.2913,0.2159,0.2995,0.269,0.3464,0.4171,0.3704
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1998,0.2826,0.3214,0.3238,0.3293,0.2903,0.1781,0.2073,0.3617,0.2122,0.3768,0.254,0.5,0.2107,0.1985,0.1985,0.2832,0.2459,0.1786,0.3007,0.3221,0.3496,0.2059,0.235,0.2471,0.1888,0.2566,0.2355,0.2969,0.3406,0.2857
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0352,0.0884,0.0553,0.0489,0.0909,0.0192,0.0215,0.0364,0.082,0.0331,0.0333,0.0769,0.0,0.0421,0.0342,0.0342,0.0441,0.0418,0.0,0.0635,0.0305,0.0526,0.0355,0.0443,0.0319,0.0432,0.0611,0.0433,0.0694,0.0583,0.0588
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.2871,0.4036,0.4417,0.4913,0.4359,0.4778,0.2677,0.2918,0.4943,0.2642,0.55,0.4271,0.7692,0.3149,0.2887,0.2887,0.4651,0.3502,0.3793,0.5211,0.3965,0.4714,0.2875,0.3152,0.3525,0.2598,0.341,0.2838,0.3792,0.507,0.4375
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2471,0.3447,0.4045,0.4236,0.3083,0.3095,0.2446,0.264,0.4772,0.2391,0.5172,0.3704,0.6923,0.2379,0.2491,0.2491,0.4059,0.3239,0.1186,0.4924,0.312,0.375,0.2522,0.3081,0.3037,0.2301,0.3247,0.2308,0.3435,0.484,0.25
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2017_PNAS_Li___STAT5B_IL2-CD8,0.251,0.3923,0.3633,0.3817,0.443,0.45,0.2538,0.2621,0.41,0.2735,0.4268,0.3247,0.5882,0.2833,0.2504,0.2504,0.3227,0.2812,0.2571,0.4659,0.3506,0.4296,0.2574,0.3443,0.305,0.2509,0.2974,0.2917,0.3385,0.4643,0.3571
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.2944,0.427,0.3664,0.373,0.3514,0.3833,0.3559,0.2928,0.4571,0.3024,0.4932,0.3676,0.5588,0.3448,0.2912,0.2912,0.3785,0.3197,0.3793,0.4873,0.3288,0.4206,0.2984,0.3491,0.3061,0.283,0.3418,0.3382,0.3748,0.5035,0.7
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.1603,0.2512,0.2921,0.3201,0.2917,0.2706,0.1345,0.1742,0.3186,0.1654,0.2842,0.2414,0.4444,0.1824,0.1622,0.1622,0.2707,0.23,0.1154,0.2843,0.2557,0.285,0.1696,0.1976,0.2218,0.1589,0.173,0.1825,0.2362,0.2769,0.1562
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.2006,0.308,0.2579,0.2944,0.303,0.3137,0.2021,0.2012,0.2963,0.2053,0.3651,0.2586,0.3548,0.2603,0.2001,0.2001,0.2488,0.2094,0.375,0.3333,0.2824,0.3448,0.1997,0.2125,0.2299,0.1848,0.2561,0.2136,0.2648,0.4,0.4444
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.2459,0.3562,0.4015,0.4503,0.3942,0.4257,0.2382,0.2464,0.4397,0.2288,0.4825,0.3704,0.6591,0.2703,0.2471,0.2471,0.4076,0.3016,0.2692,0.4739,0.3234,0.3983,0.2453,0.297,0.2956,0.2074,0.2963,0.2433,0.3299,0.4708,0.375
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.2322,0.3215,0.3861,0.4183,0.3516,0.3723,0.214,0.2313,0.4227,0.2037,0.4273,0.2456,0.7073,0.2127,0.2328,0.2328,0.3789,0.2874,0.1842,0.4364,0.2889,0.382,0.2335,0.2679,0.2796,0.1915,0.2728,0.2262,0.3015,0.4267,0.4054
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.2327,0.3458,0.3851,0.444,0.3819,0.4423,0.209,0.2321,0.4213,0.2158,0.4453,0.3435,0.6977,0.2409,0.2332,0.2332,0.3929,0.2845,0.2558,0.4598,0.3198,0.3933,0.2316,0.2782,0.2768,0.1971,0.2691,0.2297,0.3097,0.4483,0.381
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,0.1918,0.265,0.3509,0.3562,0.2667,0.3231,0.2086,0.2007,0.3697,0.1728,0.2857,0.15,0.5429,0.1835,0.1896,0.1896,0.3215,0.2877,0.0833,0.3196,0.2577,0.3286,0.2004,0.2222,0.2526,0.1704,0.2608,0.2216,0.2513,0.3005,0.1333
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,0.1354,0.1541,0.1915,0.1891,0.1711,0.125,0.12,0.1391,0.2193,0.1316,0.2133,0.1094,0.1071,0.1215,0.1368,0.1368,0.1624,0.1615,0.1212,0.14,0.1463,0.1892,0.1359,0.1557,0.1431,0.1271,0.1643,0.1435,0.1625,0.1579,0.0556
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,0.2023,0.2778,0.369,0.3879,0.3426,0.3671,0.2381,0.214,0.3756,0.1863,0.37,0.1789,0.6111,0.2091,0.2008,0.2008,0.3144,0.3024,0.119,0.3216,0.2865,0.3571,0.2113,0.2425,0.279,0.1801,0.2922,0.2357,0.2651,0.3462,0.1622
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,0.0161,0.0126,0.0229,0.0101,0.0,0.0,0.0187,0.018,0.0199,0.0195,0.0189,0.0357,0.0,0.0221,0.0168,0.0168,0.0118,0.019,0.0,0.0,0.0217,0.0233,0.017,0.016,0.0091,0.0189,0.0189,0.0257,0.0176,0.0,0.0
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,0.0597,0.108,0.0747,0.0545,0.0364,0.0513,0.0706,0.0594,0.1176,0.0727,0.1818,0.0968,0.0385,0.0986,0.0582,0.0582,0.0722,0.0753,0.1667,0.1019,0.0686,0.1099,0.0638,0.0686,0.0609,0.055,0.0749,0.0937,0.0882,0.1009,0.0909
