gene_name,P2-P4_likelihood,P9-P4_likelihood,P5-P7_likelihood,P6-P7_likelihood,P2-P7_likelihood,P9-P7_likelihood,P5-P2_likelihood,P5-P4_likelihood,P2-P1_likelihood,P9-P10_likelihood,P3-P5_likelihood,P3-P6_likelihood,act_likelihood,P7-P8_likelihood,P6-P2_likelihood,P5-P6_likelihood,P9-P6_likelihood,P5-P8_likelihood,P6-P8_likelihood,P9-P8_likelihood
Btg1,0.2673357357618805,,,,,,,,,,0.2667862935621668,,,,,,,0.39254232237015263,,
Tfrc,0.4391973156547525,,,,,,,,,,,,,,,,,0.3067738888466086,,
Fosl2,0.44547002959923415,,0.2278707407994553,0.22991811028701634,0.2280943135794941,,,,,,,,0.22275304576158292,,,,,,,
Arid5b,0.3415998456301324,,0.2522910727328318,0.24014973162321804,0.3384705900126615,,,,,,0.21617205858953026,,0.2442958183812901,,,,,0.19791803002993932,,
Crebl2,0.3981835090120908,,0.2829804243459722,,,,0.3500575361134313,,,,,,0.16381951063964634,,,,,,,
Il2rb,0.2827460591060297,,0.21309311096677616,0.29863333890617755,,,,,,,,,,0.2524018337610909,,,,,,
Spn,0.2510385751717468,,,0.18926136510704245,,,0.22789934015490704,,,,,,0.220312869099504,0.2544243336241104,,,,,,
Hif1a,0.2092449763418536,,0.23939822021608725,0.21342358345511944,,,0.14175311689707684,,,,,,0.22039137384882992,0.24069396274521976,,,,,,
Mef2c,0.2862541001939902,0.3226143463747275,0.25258251496006634,,,,,0.1965512658934452,,,0.2002794345583533,,,,,0.21352364962236428,0.180459236449635,0.2039575085249388,,
Rarg,0.310555848252652,,0.2259830288965129,,,,,0.2515864080834856,,,,,0.209464908103212,0.23102988224500304,,0.2752011826213359,,0.27306913066615424,,
Rnf19a,0.34880944674794484,,0.216356001775368,,,,,,,,,,0.2055182209712771,0.20048536130566932,,0.2157162117958742,0.23281820591901325,,,
Pou2af1,,,,,,,0.20846946862141896,0.18612773475353347,,,,,,0.1938105911656169,,0.18408887835980767,,0.1907238175240822,,
Cbx4,,,,,,,,0.2698352501505681,,,,,,,,,,,,
Rnf20,,,,,,,,0.2947551417160037,,,0.2501125107664495,,,,,0.2278765256750519,,,,
Zfp143,,,,,,,,0.24233410645142106,,,,,,,,0.27163219882643724,,,,
Cbfb,,,,,0.27345430090460005,,,,,,0.15688590367601415,0.2486785276443276,,,,,,,,
Upf1,,,,,0.20213363578270532,,,,,,,,,,,,,,,
Gtf2h1,,,,,0.2259870304430353,,,,,,,,,,,,,,,
Papola,,,,,0.24553726260975106,,,,,,,,,,,,,,,
Zfp282,,,,,0.2547194335547186,,,,,,,,,,,,,,,
Xrcc6,,,,,0.26013902474785594,,,,,,,,,,,,,,,
Polr3d,,,,,0.2741900378920994,,,,,,,,,,,,,,,
Zbtb17,,,,,0.2816870519564996,,,,,,,,,,,,,,,
Smarca4,,,,,0.3074154842920295,,,,,,,,,,,,,,,
Brpf3,,,,,0.2898101764011421,,,,,,,,,,,,,,,
Csrp2,,,,,0.2957409027455741,,,,,,,,,,,,,,,
Prmt3,,0.2022154441933099,,,0.3139950177662669,,,,,,,,,0.259113682986375,,,,,,
Ilf3,,0.26892994940592224,,,0.29563875889558816,,,,,,,,,,,,,,,
Sap30bp,,0.26467674211304576,,,0.30647818844237146,,,,,,,,,,,,,,,
Trim28,0.2430775467061363,,,,0.3118367357049417,0.26409771798862064,,,,,,,,,,,,,,
Cbx1,0.3542052299659409,,,,0.393844738528704,0.3059235411215385,,,,,,,,,,,,,,
Stat2,0.3161609569887136,,,,0.33777498385360755,0.3306194428495263,,,,,,,,,,,,,,
Mycbp,,,,0.2510537236739273,0.3170720712393069,0.24777996051058865,,,,,,,,,,,,,,
Taf6,,,,0.2356860059225005,0.3435381569615658,0.3816630295191396,,,,,,,,,,,,,,
Ilf2,,,,,0.4328327221377509,0.4053802807212387,,,,,,,,,,,,,,
Nfia,,,,,0.23361722105045804,0.224015431852439,,,,,,,,,,,,,,
Hdac2,,,,,0.30589152170231954,0.2480965117683684,,,,,,,,,,,,,,
Dpy30,,,,,0.3532070684726171,0.2450064871916625,,,,,,,,,,,,,,
Creb1,,,,,,,,,,,0.19892665772536933,,,0.26670803135774945,,,,0.2816942368488959,,
Mbd2,,,,,0.2476768847801916,,,,,,0.25552424399605,,,0.2436372316505581,,,,,,
Runx3,,,,,,0.2242109243735359,,,,,0.29561367849638226,,,0.2268155836269453,,,,,,
S1pr1,,,,,,,,,,,0.2625891752142232,,,0.293611100885994,,,,,,
Ep300,,,,,,,,,,,,,,0.2238106076899864,,,,0.2264984470236405,0.19521704447293126,
Adam10,,,,,,,,,,,,,,0.25469417747758194,,,,,0.2381472839186884,
Nr4a3,,,0.2693261060339545,,,,,,,,,,,0.3173055593856653,,,,,,
Tbl1x,,,,,,,,,,,,,,0.21023944240806286,,,,,,
Jmjd1c,,,,,,,,,,,,,,0.2257578495282394,,,,,,
Etv6,,,,,,,,,,,,,,0.2436015866621934,,,,,,
Crebzf,,,,,,,,,,,,,,0.2389135646582772,,,,,,
Hlf,,,,,,,,,,,,,,0.2902715596547503,,,,,,
Relb,,,,,,,,,,,,,,0.3108481345518199,,,,,,
Nr4a2,,,,,,,,,,,,,,0.3864098597249789,,,,,,
Cd48,,,,,,,,,,,,,,0.3509689709615434,,,,,,
Chd2,,,,,,,,,,,,,,0.3541487884374961,,,,,,
Sub1,,,,,0.22425505937710535,0.26291819033287844,,,,,,,,0.2977869981995209,,,,,,
Bop1,,0.2013116530451761,,,,0.21012326317079616,,,,,,,,0.26384066329615913,,,,,,
Cdc5l,,,0.2254770875991981,,,,,,,,,,0.2438395716133029,,,,,,,
Trps1,,,0.17888529095724165,,,,,,,,,,0.21531775757719304,,,,,,,
Ifngr2,,,,,,,,,,,,,0.08313318173229428,,,,,,,
Adam8,,,,,,,,,,,,,0.2107260597271923,,,,,,,
Ctcf,,,,,,,,,,,,,0.2254822059766965,,,,,,,
Phc2,,,0.2718305646826908,,,,,,,,0.2195925573555376,,,,,,,,,
Tnf,,,0.22393864368963373,,,,0.19340297932490771,,,,,,,,,,,,,
Sirt5,,,0.18628728250265109,,,,,,,,,,,,,,,,,
Max,,,0.20939647349812773,,,,,,,,,,,,,,,,,
Lmo2,,,0.2879878648604132,,,,,,,,,,,,,,,,,
Ly75,,,0.2379281892083503,,,,,,,,,,,,,,,,,
Ddb2,,,0.2671453602152912,,,,,,,,,,,,,,,,,
Sin3a,,,0.25395319370364244,,,,,,,,,,,,,,,,,
Stat3,,,0.20698771038685207,,,0.20466350352349028,0.22029637367879704,0.1690060628555195,,,,,,,,,,,,
Tial1,,,,,,0.2290404045048925,,,,,,,,,,,,,,
Tcf19,,,,,,0.22312956419782806,,,,,,,,,,,,,,
Mllt10,,,,,,0.2145340438881836,,,,,,,,,,,,,,
Crebbp,,,,,,0.20842176293701456,,,,,,,,,,,,,,
Cd46,,,0.30721739442935225,,,0.3160772972196685,,,,,0.22413990734916855,,,,,,,,,
Batf3,,,0.1971322062100284,,,0.17622419226580102,,,,,,,8.687293987036417e-09,,,,,,,
Cebpg,,,0.2632521270834154,,,0.29457569337703043,,,,,,,,,,,,,,
Taf3,,,0.33104112189758145,,,0.24520905497882034,,,,,,,,,,,,,,
Thra,,,0.3080823773246175,,,0.2805330035358118,,,,,,,,,,,,,,
Polr2a,,,0.22336015269991602,0.2390718465372756,,0.2609435465202498,,,,,,,,,,,0.2111904839031696,,,
Sema7a,,,,0.27170902332049546,,0.26388110936577497,,,,,,,,,,,,,,
Fubp3,,,0.1921988733454981,0.27938404058213695,,0.2692075914877793,,,,,,,0.1769595756666173,,,,,,,
Zdhhc13,,,,0.25825456828188714,,,0.2536912941686545,,,,,,,,,,,,,
Ar,,,,0.3384983863171817,,,,,,,,,,,,,,,,
Trim25,,,,0.1749571906554853,,,,,,,,,,,,,,,,
Ehmt2,,,,0.1945551358629642,,,,,,,,,,,,,,,,
Hdac8,,,,0.2362586739359073,,,,,,,,,,,,,,,,
Srebf2,,,,0.2585733429720037,,,,,,,,,,,,,,,,
Fas,,,0.2877174343020077,0.3168061944166707,,,,,,,,,,,,,,,0.22173842751096687,
Smad1,,,0.2266821495689098,0.2485887887284785,,,,,,,,,0.2249742301867761,,,,,,,
Nfkb1,,0.18469954928340826,0.20789662670981915,0.2075828603588836,,,,,,,,,,,,,,,,
Kmt5b,,,0.3339494130902489,0.2580813048559356,,,,,,,,,,,,,,,,
Fus,,,0.2591153416477618,0.2650940555566062,,,,,,,,,,,,,,,,
Ighd,,,0.234317584481813,0.24111878168040915,,,,,,,,,,,,,,,,
Btla,,,0.2371164620345819,0.2134109024269496,,,,,,,,,,,,,,,,
Mybl1,,,0.16826746129015446,,,,,,,,0.2431841454190128,0.25581361397421004,0.20390743117459648,,,0.17839423010779426,,,,
Izumo1r,,,,,,,,,,,0.20951335441515595,,0.17440295745508358,,,,,,,
Rb1,,,,,,,,,,,0.1842678793036336,,,,,,,,,
Stat4,,,,,,,,,,,0.19622585910495333,,,,,,,,,
Maf,,,,,,,,,,,0.2890170113978948,,,,,,,,,
Nr3c1,,,,,,,,,,,0.2652121065110841,,,,,,,,,
Hopx,,,,,,,,,,,0.2560402257226333,,,,,,,,,
Rora,,,,,,,,,,,0.24791763941125125,,,,,,,,,
Pbx4,,,,0.16806031834765545,,,,,,,0.18799229852006286,0.2066258033720528,,,,,,,,
Chd7,,,,0.2299735099941872,,,,,,,0.20842078787240936,0.2186704609910192,,,,,,,,
Hist1h2bp,,,,,,,,,,,0.2054237249960932,0.23991728103093876,0.12029250284836443,,,,,,,
Zfp512,,,,,,,,,,,0.18033406373003044,0.17568220842765345,,,,,,,,
Zfp382,,,,,,,,,,,0.210756155459496,0.2090025155082531,,,,,,,,
Notch1,,,,,,,,,,,0.19840517341637576,0.22148822859173276,,,,,,,,
Cd40lg,,,,,,,,,,,0.2528053013907655,0.2713165239766881,,,,,,,,
Deaf1,,,,,,,,,,,0.2816457216745021,0.2450754128169031,,,,,,,,
Tsc22d3,,,,,,,,,,,0.3024625241603523,0.22953920497129396,,,,,,,,
Hnrnpul1,,,,,,,,,,,,0.2322874794533135,0.22109740663587146,,,,,,,
Mef2d,,,,,,,,,,,,0.2226413385771517,,,,,0.2021408040456026,,,
Stat5a,,,,,,,,,,,,0.2087783676840473,,,,,,,,
Rbl2,,,,,,,,,,,,0.20189382246464754,,,,,,,,
Nfkb2,,,,,,,,,,,,0.2549569919360484,,,,,,,,
Arid2,,,,,,,,,,,,0.22159635300923228,,,,,,,,
Hsf2,,,,,,,,,,,,0.23491486905620454,,,,,,,,
Smyd4,,,,,,,,,,,,0.2370353914411036,,,,,,,,
Nfic,,,,,,,,,,,,0.2382551663927384,,,,,,,,
Phip,,,,,,,,,,,,0.1769365985317842,,,,0.2255689237404483,,,,
Ythdc1,,,0.2081110159230747,,,,,,,,,0.2795698897869831,,,,0.1929657291571011,,,,
Clec12a,,,,0.33566799927722746,,,,,,,,,0.0005216584718030307,,,,0.32861256940555617,,,
Sf1,,,0.20781935443598595,,,,,,,,,,,,0.22845032338093496,,0.248630904760096,,,
Hmg20b,,,,,,,,,,,,,,,,,0.30661031633189684,,,
Cbfa2t3,,,,,,,,,,,,,,,,,0.1984713809850991,,,
Zfp354c,,,,,,,,,,,,,,,,,0.22908340084867804,,,
Zbtb48,,,,,,,,,,,,,,,,,0.2292488494942444,,,
Ankrd10,,,,,,,,,,,,,,,,,0.2356542774741185,,,
Daxx,,,,,,,,,,,,,,,,,0.2348890466177421,,,
Dnmt3b,,,,,,,0.21931329496362725,,,,0.1812349262747336,,,,,0.20823760763528307,0.16276107348569074,,,
Sirpa,0.020032048596434118,,,,0.04854216661725561,,0.3076611096781266,,,,,,0.0005107227141510715,,0.2659016514983263,,,,,
Ppargc1b,,,,,,,0.2619069943996309,,,,,,,,0.2734491612746971,,,,,
Tshz3,,,,,0.1867162756792714,,0.23917001735185106,,,,,,,,,,,,,
