gene_name,P7-P8_likelihood,P2-P4_likelihood,P5-P2_likelihood,P6-P2_likelihood,act_likelihood,P9-P4_likelihood,P9-P6_likelihood,P3-P6_likelihood,P5-P6_likelihood,P6-P8_likelihood,P9-P7_likelihood,P9-P10_likelihood,P9-P8_likelihood,P3-P5_likelihood,P5-P4_likelihood,P5-P8_likelihood,P5-P7_likelihood,P6-P7_likelihood,P2-P1_likelihood,P2-P7_likelihood
Lgals3,,,,,0.3732364297478161,0.3864280669122509,0.3733316052616932,,,,0.23887719498194626,0.2315517558563667,0.2370394347101452,,,,0.37532337219618894,,0.5154614976627662,0.4766775869955529
Rora,,,,,0.4626790578536207,0.3515394527007913,0.3929556520866761,,,,0.3138191425525153,0.2669643660307776,0.31742446445283595,,,,,0.20855722529850104,0.6293724623778395,
Tnfrsf9,0.2643784164015192,,,,0.35806834873811955,0.4141586530262793,0.3950934932601973,,,,0.2464765914919149,,0.2047483355357102,,0.2344714948190245,,0.2548890755468793,0.3183809906808254,0.473172390906228,
Fasl,0.2461713230504368,,0.2744137533456733,0.4117568493939728,0.3739684755604985,0.2521946855226349,,0.325606755884815,0.32861038857646857,0.3827829212323333,0.2700539844015445,,,0.33843739640099785,0.2671498155909737,0.3143022414820135,0.36045140195644615,0.4382664160360211,0.2730869731505796,
Sfmbt1,0.5315083633899101,,,0.2921995693887239,0.2902811599337469,,,,,0.2839831584478013,,,,0.3056256512169495,0.2793536596368925,,0.2615641769406887,0.2924302141841056,0.340055623316976,
Id2,,0.3278344316261333,0.3454631633016989,0.3564358154465573,,,,0.2341770845476339,0.29314599903920696,0.27243834472285244,,,,0.28887696624695264,,,0.3326736806840207,0.3289635598945462,0.29028938837715196,
Srrm1,0.2594104738494602,0.3478849378119228,0.2645116806790509,0.2568440970216297,,,,,0.2547931787821672,0.25002830632324835,,,,,,0.2326070452655293,0.26088948308892496,0.2516806764234208,0.3659421053844043,0.4157275652753639
Tardbp,0.26296037376382003,0.2437637163515005,0.2407181425051656,0.28921010101851763,,,,0.2522033663515966,,0.2882795382105019,,,,0.2444089395916424,,,0.27317639653544445,0.3116137660832275,0.2760235319473028,0.30299147737110216
Crtam,,0.2108116331297808,0.18844542943705,0.21069228671375875,,,,0.2486865845855659,0.20969321232636745,0.2299383756880221,,,,0.20264928525114756,0.16543093761855604,0.1953615435671903,0.3695762776452704,0.518369955223619,0.24269399347186354,0.4170025573710299
Prdm1,,0.3668920708242,0.2568132234951601,0.26883387816207177,,,,,,,,,,0.2252730623963867,0.2122831609406476,,0.33969670505081034,0.32813287489245296,0.5302711988173638,0.524459743388157
Lef1,0.36619950482324803,0.33446540307549844,0.2060018794277819,0.23012399987201515,0.15880223036016738,0.21450052658251093,0.20322020730479684,,,,,,,0.21532392347635088,,,0.3434085211861885,,0.5204648795023413,0.4112752296281256
Tnfsf4,0.2588335688420835,0.2944954066268406,0.3900702703358277,0.351457019362898,0.0361374094600392,,,,,,0.3540226508223526,,,,,,0.4508258176053882,0.510460010681919,0.4637127212774417,0.4165709531225319
Sell,0.3471509409545435,0.33182993914213604,0.3056521732639756,0.31755605316172303,0.40368040297666796,0.032268429384624056,0.046759030739038525,0.025849395962241502,,,0.06925423294511379,0.000552564203375763,0.00010949712622877479,0.09025426196813716,0.1959329347597502,,0.4078257486331699,0.5244714173233501,0.3829200990927484,0.18381512012447151
Eed,0.5483950192772662,0.2419233142036293,0.2729200243197135,0.2378342609205395,0.2492761111864735,,,,,,,,,0.19189118973732805,0.19318683535386624,0.2049409054199873,0.3110702095992425,0.23992925750138605,0.4080705260967615,0.42632126486390093
Ssbp2,0.3816330703462723,0.30999583886959386,0.2584495811694628,0.16233695925285468,0.21650639265447008,,0.1921820992706615,,,,,,,,0.08633408960626521,,0.31871796593560964,0.2648656370456948,0.3739616289237301,0.34612971837570383
Kdm5b,0.4242718525682945,0.31499530899124,0.2948427843789836,0.17971180585754373,0.2822941360395205,,,,,,,,,,0.14592234191561196,,0.4422416831450997,0.3665626640421208,0.4296191553469421,0.3840898429155206
Scml4,0.4651550563114976,0.2610898438050513,0.2706778863405945,0.26559530893327393,0.18071136965897416,,,,,,,,,,0.12921320705707745,,0.4854883088534139,0.4367976080616227,0.4453542282077169,0.5179898336689179
Fcgr2b,0.2119209227488644,0.2521262331375453,0.2371015149384685,0.2578396828351218,0.245845667958998,0.2407782221049855,0.2287694853285453,0.20707008453188566,0.23664141728611635,0.24453079768530106,,0.22268166873303494,,0.16934270187370448,0.2165356594749208,0.21178924822408346,0.229437400908068,0.22061454592980145,,0.3319401432906764
Itgal,0.3765634446323573,0.34102461937207323,0.3273766672597504,0.28686724778219125,0.4542289740917598,0.3639162636685075,0.3891165243712194,,0.22514309067366306,0.2559963316289799,,0.2592708898798797,,0.21975652131269185,0.2644617434165933,0.2534013927468007,0.2744120467605033,0.228674216111989,0.294696903984114,0.4295260351562572
Havcr2,0.29381418827704064,0.43882159717564,0.26679343350241275,0.2913225637064231,0.3375743982242869,0.3171312363614929,0.3089470641465288,0.25703963161251603,0.23354699144937965,,0.24717839621690446,0.2432710300759174,0.2371325013723813,0.2360024405517472,0.18561043607710845,,0.3290808200966155,0.3781995489770143,0.5307069732408395,0.5110502178149708
Cd226,0.3410872274680388,0.4024508922362645,0.31156489598202985,0.3697911696862449,0.37807370846501015,0.35796498547147426,0.4128094969606093,0.32129133026766404,0.2902681600780307,0.3225755559825645,,,,0.3553687678939865,0.3031288447111371,0.2458317589172672,0.4927332549864264,0.3624013607366503,0.3995002625349245,0.5616786838297188
Kdm7a,0.4526656492543688,0.3179436280225881,0.2292850268879135,0.2399359312424616,0.349742635908298,0.3904853712420088,0.3684344435514696,0.33555061774448186,0.24414581394901616,0.280394732905952,0.29105591084340954,0.21801441320078996,,0.28454419776396017,0.19766301544621692,0.1481784842949088,0.4128074685222752,0.3494419761104389,0.4883695221702506,0.5027687312379638
Klrg1,0.2431418535771293,0.3859503321052928,0.3980561719566879,0.24377720581872345,0.33081362015603405,,,0.2964256129186619,0.3068161448231865,0.3370913753877232,0.26282355257784923,0.3702701494749461,0.26194874888462016,0.3329389903510929,0.34670282940304803,0.4066197939813277,0.40772326704353207,0.3302841937902408,0.3670240441684861,0.3595936896662487
Il7r,0.5129849404442411,0.4305698454224139,0.19858889131360996,0.1658820237735911,0.2808092335812342,0.2552642156343232,,0.1938255308373486,0.21549285684207564,0.26595745206959936,0.2554310864535569,0.28499501306344754,0.2314190885637131,0.1357891552744974,,0.25584521758674444,0.2721634750412731,0.3063699590022564,0.5430326806181794,0.4110063726256857
Foxp1,0.4576707127707744,0.33380124860014776,0.17530710574568384,0.1979048590498435,0.21505286221617145,0.2516378625559773,,0.2019637498593324,0.1870679532336787,0.2277602561155491,,,,0.18808856365388887,0.20428982743254184,,0.3062206259561465,0.3129030133933197,0.4925004502285815,0.4415778181859563
Klf3,0.40316496093546095,0.3669064393016566,0.2781606259407192,0.2562320399368992,0.23810772252971998,,,0.2594211341816213,0.20747245604651066,0.2783231213848334,,0.2581511083517073,,0.2865490001331674,0.2246120575969396,0.23034171738231696,0.2636063242950987,0.2474426389224085,0.5116380678378344,0.35064732815690913
Fkbp5,,0.4073585405735276,0.3156469885029193,0.3460846375269774,0.4096835929553717,,,0.38053490597656175,0.30823435796294485,0.4046211806337525,,,,0.2893004945002691,,,,0.3909117416533035,0.637582879109459,0.405620396128776
Klrc1,,0.3727857468721953,0.3938541647593761,0.3543462002786117,0.3689182431897822,,0.3182871546154385,0.3163645668145697,0.2602922984859558,0.28498829628961403,,,,0.2938845639287381,,0.28188319296275416,,0.3374081202190665,0.3878626869934396,0.3676712509220037
Ifngr1,,0.35902561954145595,,0.3166465317088885,0.3041666265908259,,0.2520480914894344,0.30718841371289346,0.10328147356114674,0.2496161573712743,,,,0.2666574876036694,0.3191174490809707,0.3641475765864156,0.2190609407653562,0.3440468286841449,0.4246883648062605,
Sema7a,,0.2951944061272036,0.2660526517872042,0.2929708747198907,0.2919590345150108,,,0.26204180629413143,0.2849803465795673,,,,,0.2466205021853479,0.2845358139157583,0.2630109059971106,0.2670334421093398,0.2769019676606582,0.28270702333011793,0.24773394796389214
Irf4,,0.28366161095499715,0.3394608476703589,0.2831420940465669,0.3100341727846359,0.2504379589521974,,0.2944150702322452,0.2967935498635106,,,0.2367003066495471,,0.2519380227668685,0.26030929676626435,0.30622679550078696,0.2388168887801607,,0.4590334425146127,0.331773370188716
Cd96,,0.3360042147441053,0.3203245659819851,0.317313317161201,0.3316422952872082,0.3211921286914905,,0.3353378711705776,,0.3260088494051636,,,,0.31158798428544704,0.3509250247037604,,0.39170418183900574,0.3357651242802928,0.3867561110761816,0.3563635962284273
Klrd1,,0.2929768334801932,0.4218086608247392,0.3561469151175167,0.4164319274768941,,,0.3332327557243813,0.25866825877418104,0.3448299381415872,,,,0.3152410128261049,0.3021368157155186,0.3097845762584239,0.37305962531432574,0.3134294196584779,0.4544579585898184,0.4131938797305162
Sp100,0.6427612639408326,0.4613480602885593,0.32370973426530825,0.4150434179487823,0.4251741044970097,0.18584850085145385,0.3416232181777754,,0.20493245777977348,0.4061894411284125,0.2925867444932097,,,0.38666985272550797,,,,,0.3479215993019318,0.5032998258159438
Cd53,0.3801894139133769,,0.1979723472158651,0.2412300086123705,0.293851577431135,,,0.2487380689145451,0.25001235090847845,0.2707364451188191,,,,0.2516659400349978,,0.23210182071866306,,,0.5918612410584178,0.5801460161262174
Smyd2,0.6751254313003585,0.272440476304347,0.27356486120298984,0.3278306045412541,0.21673792824629606,,,,0.2157193710471076,,,,,0.2045127108764352,,,,,0.3354739776865465,0.29783369083052685
Klrk1,0.4008629334643842,0.3191369393974936,,,0.33316828034358204,0.2983084623483052,0.3037867466073418,0.2898764681666555,0.30022931211985365,0.2859735343789374,,,0.24306651285521075,0.2890620479217149,0.2714385970433694,0.2602443809865614,,0.21753245759964146,0.2772767186785252,0.35980063879923463
Rfc1,0.29620635059820866,0.3483730797123438,,,0.4003962315267372,0.3438401536426445,0.31399081094244924,,,0.303809246871643,,,,0.4122295406597115,,,,0.2568750592338669,0.4696733681303567,0.41075579123146505
Itga4,0.3419731670603886,0.2662238325547206,,,0.4431210996103283,0.2422684820772405,0.22580846370205454,,,,0.26051578418745736,0.2361607074649509,0.2412825496553811,0.21427278471619965,,,,,0.44970784952852416,0.2612127143054603
Tcerg1,0.3397650861309193,0.25130944831612073,0.2376826328124872,0.3299505538269259,0.3637281408066475,0.31890577820312105,,,0.31125123608170324,0.37726960412645777,,,,,,,,0.3673819617399855,0.3326062231793889,0.2910710597828166
E2f3,0.4223858495932201,0.292597336411216,,0.3847490801810472,0.3230454260337537,,0.2867237896294815,0.3107828791967576,,0.33549451973305644,,,,,,,,0.3485350766839778,0.5243073777179265,0.3687798072472497
Mybl2,0.8062500130191802,0.2768504258966333,,0.2819220897405201,0.2649384597210479,0.40719754275401704,0.2540376480043331,,,0.31508335443644164,,,,,,,,0.27159898124917364,0.3920855886027875,0.3332599010580434
Cbx3,0.3792888829212504,0.27326040598528684,,0.3191194218953175,0.3206897694755372,0.27918739612383403,0.2547595291275461,,,0.3031256337881994,,,,,,,,0.30273340395783155,0.4457097118239658,0.34586345432625304
Mbd4,0.4916755975955188,,,0.3075303008475814,0.2994769164314599,0.2613130795398165,0.33061891804519505,,,0.31281258710749604,,,,,,,,0.3304147067506736,0.3913801352933166,0.3175452223212676
Tfdp1,,0.4434822985411535,0.3069350154208968,0.43737227879923335,0.4402050550248861,0.4337928358674029,0.3767278664238317,,,0.3735140813230363,0.17924836358264484,,,,,,,0.3775671270077968,0.5418846784646544,0.5109166088311959
Pa2g4,,0.3957714183210893,0.3549714292137188,0.4421849672800677,0.307263934941927,0.3351676899275541,0.2416921266583457,,,0.2993521971676826,,,,,,,,0.29894483722749376,0.5017349738315081,0.463049819713644
Baz1b,0.3378967309357749,0.29292725325491764,,0.3070136175574302,0.3789557019278661,0.299402612544145,0.2713354680126915,,0.28145868009386377,0.3253604717055321,,,,,,,0.3211270550998354,0.3416667828551297,0.5653747899455892,0.469038511553967
Supt16,0.44750697176630383,0.5259953621558724,0.3104545085230842,0.3968706578985355,0.43606648718229934,0.4323119513930656,0.37828214791846615,,0.2958720786366087,0.3315266553099989,,,,,,,0.3118783859907007,0.3309377971280352,0.6456676761201172,0.5577517784398263
Suz12,0.2544472100608814,0.38277170603558,0.2289170106270656,0.3939692085639404,0.3754207261259405,0.3598954605591819,0.22838364348543624,0.3709479762240233,0.2987271682609794,0.42463722071285387,0.2246961170896604,,,0.2260929750020117,,,0.29475388561584376,0.423152874914998,0.5713533801977096,0.5470282298724003
Parp1,0.4302930737063472,0.4107722468889068,0.3848419621565002,0.4550938119809696,0.3665701571251239,0.3601313881861743,0.2844845349167198,0.3167779405339224,0.2838900476675055,0.2899362661015833,,,,,,,,0.3527322694918845,0.5559535221429707,0.4787863198738582
Rbbp4,0.6152537878548076,0.491701964483127,0.3169441708460279,0.4374013301943968,0.31085927521546963,0.190111820575797,0.25744731338391913,0.3240837275746808,0.3542965719827153,0.3648504119452709,,,,,,,0.3535882620412265,0.4038729591845535,0.5890061320247034,0.5358296283241749
Phf1,0.2431366150241923,0.4877552229520824,0.4500279912679113,0.776100055771925,,,,,,,,,,,,,,,,0.2690424940811545
Ctla4,,0.2769162086596421,,,0.3422218414370099,,,0.3816983776640461,0.28481775202179743,,,0.39932693314674295,,0.2783542935799038,,0.3861269749333107,0.3916921907094016,,0.3982842235648549,
Paxip1,1.0087450643433944,,,,0.3410146613166436,0.3557872244257563,,,0.2816351538272157,0.3130259701897801,,,,0.2807190758766274,,,0.3721795540279613,0.3350982489317766,,
Chaf1b,1.174439511087937,,,,0.2926099232626859,0.32601016816251105,0.31009692394499144,,,,,,,,,,,,0.19982082054662845,
Hnrnpab,1.0057848452388343,,,,0.4952691103728235,0.5486876854224214,0.4138622532450585,,,,0.105482388753621,,,,,,,,,
Suv39h1,0.8840434537048077,,,,0.2657813529129719,0.4459625371315336,,,,,,,,,,,,,,0.3687310541330312
Phf19,0.8745197169320157,0.25463928580194256,,0.2955217315687353,0.25355427796753643,0.3131176688079535,0.2338216667593419,,,,,,,,,,,,0.27036881978878685,0.259106855555231
Rnps1,0.8620408977963305,0.3260204312975671,,,,,,,,,,,,,,,,,,0.3879130102085032
Mef2c,0.6111633112328808,0.1058719485663924,0.12959624924534827,3.0594445758361694e-07,0.0031292663310977394,0.02705524134514227,,,,,,,,,0.2861045775489767,,,,0.16374732605454198,0.01972782961165908
Prdm5,0.7646360856054684,,,0.2449496912663737,0.02625449026377379,,,0.1385240573273471,,,,,,,,,,,,
Hist1h2bp,0.7310383466819049,,,,,,,,,,,,,,,,,,0.229422279589588,
Zscan22,1.0286060739869891,,,,,,,,,,,,,,,,,,,
Zbtb48,0.8807728293962921,,,,,,,,,,,,,,,,,,,
Il23r,0.6510755214058874,,0.0932335153165438,,4.974001596861109e-05,0.18403041128548295,,,0.07500605777195304,,0.11972529586673165,,,0.1417114976877093,,0.22033773647236649,0.2691420253160364,0.3809430021057312,,0.23883409496896366
Espl1,0.7516357378120502,,,,0.23285841529973456,0.3184080239894437,,,,,0.22309214226369564,,,,,0.2956587843101393,0.33017412477690405,,,
Cd300lf,,0.298404882381125,0.3207580139003053,0.16723809189357414,0.002210502335754633,0.5503264796050943,0.1316590325991071,,,,0.2290456460120307,0.0006182661890347848,0.4963842574300433,,0.16348079139766286,,,,0.2630400726314979,0.4528384712483646
Il1r2,0.3432839837424228,,,,4.126261461317087e-11,0.3000490067800421,0.11859263994698332,,,,0.5913246672399279,0.026125615210462118,0.5121580773569295,,,,,,0.248720500289216,
Ighd,,,,,1.9710534426458977e-06,,,0.7828179418318044,,,,,,0.3978370496735704,,,,,,
Ighm,,,0.2477806631633907,0.2198941801970787,0.2453968262616709,,0.27616091153274497,0.20356136147776588,0.19924703505591052,0.19996845658957185,0.2617160478188269,0.2879878093972105,,0.21847053947042006,,0.19945661066954773,0.4769079474583074,0.4113817596208553,,
Ar,,,0.23518556729742734,0.21581868790382155,,,0.2352574005637136,0.20536097515896945,,,0.23503887360147904,,,0.2599285271557973,,,0.3174585782929202,0.3209128372896758,,
Klra4,,0.31686539024341,,0.2271161693141402,0.0009752558992995774,0.2860520570440845,0.021331982490861868,0.252675180163474,0.20107094991496047,0.349355506048228,,0.1515678413877117,,0.14002002629386845,0.33603420679452,,,0.3832191285824424,,
Cx3cr1,,,,0.2360917876555741,0.32750462323370505,,,0.21203514760325315,0.18657813924585773,0.27726294438131444,0.2564109050281861,0.3353691578115392,,0.14030722262775613,,,,0.2576998223247369,,
Klra8,,,,0.05211561868120038,0.0001417684089349505,,0.07860562679414104,0.3295543539260589,0.29789976922324163,0.3777127435650831,,0.03511253093275344,,0.05729713269600222,,,,0.27260542221786577,,
Ccr2,,,,0.2952466908393734,,,,0.31027049835440623,0.2819642921785037,0.3374886093231904,,,,0.2649983522896569,,0.25131240071675365,0.23577065705806285,0.29950799087626273,,
Arntl,,0.19981728596814835,0.15479090662525566,0.1611441131601671,0.3515020009617614,0.3605571610755293,0.3951987326298528,0.16457237121020662,,,,,,0.14549162433608664,,,,,,0.18307092718579135
Ebf1,0.06485320180857937,,,,0.1104742875125026,0.2951920518647878,0.2215984975825714,0.2632942902236589,,,0.2595061985775001,0.2191549553421104,0.23347074045067914,0.2663965185767652,,,,,,0.0009052272589302039
Il18rap,,,,,0.5194179030820034,0.3105987223404807,0.4278555919041155,0.3476539503630092,,,0.2684777774300732,0.2686225575164829,0.22511377953758946,0.18626532966481915,,,,,,
Klra6,,0.3169418924337053,0.2377175110050136,0.25313304539174963,0.015395275808039816,0.24631471771181704,0.20611848897911275,0.03466712679506413,0.30417552885139304,,0.1870280783736725,0.11505753265125895,0.2155059431060788,7.728537270299623e-06,0.4400333631508716,0.3306694530964655,0.23968297987476425,,0.14359804119110764,0.26823136988651536
Runx3,,0.2653471682256615,0.2140138247651397,0.27542781204717304,,,,0.2568532244957413,0.22339439455193635,,,,,0.26326526528375954,0.263095920842582,0.23313617409427784,0.2355958798075445,,,0.2752260209660295
Btg1,,0.5466648330124627,0.2579080412302622,0.2405541303279113,,,,,0.2318937858008929,,,,,0.2282790808194617,0.22656069413980945,0.22171728773144792,0.456113506310303,,,0.38783011146123625
Icos,0.2629870482552287,0.2266377921072285,,0.2179684331845773,,,,,0.20511577810337772,,,0.27761851975455915,,,0.2123451401060202,,,,0.27165719298635915,
Padi2,,0.23232469203906425,0.2861276151886604,0.2607081889491821,,,,,0.2931921571317499,0.27678053095378663,,,,,0.233618236815872,,,,0.1915509758758104,0.17536412499852488
Abcb1a,0.4337487641802724,0.34218550374033313,0.2443443052509745,0.2473382733916099,,,,,0.2407364758025468,0.2084137162254948,,,,,0.2521824359097244,,,,0.3057778193506601,0.30445812358951435
Mxd1,,0.29109004187901794,0.2149807625618572,0.29117100152599434,0.2289418409872565,0.2483414327603784,,,0.2238291708999813,,,,,0.2669822054377777,0.1876277715359016,,,,0.31567115704152005,
Pirb,,0.2640815303653796,0.22462845147816005,0.2532094451210484,0.0005296381871623524,0.2465533562047995,,,,,,,,,0.6662535796520673,,,,0.3489030975787298,0.1172997253914374
Zbtb10,,0.5103064354242004,0.2180939479720141,0.2567403335677406,0.21193383863717724,0.19367840809520356,,,,,,,,,0.543771653755023,,,,0.3278495642758857,0.2707583719359773
Atf7ip,,,,,,,0.2804904224058117,0.31777300086816324,,0.2593098666450203,,,,0.2696903376897453,,,,0.2683781819821185,0.3671563525498249,0.3081076328657744
E2f2,,0.3733124497678251,0.2707127769609523,,0.2943701555685452,0.4228159768776378,0.22511626554434086,0.2271325597433719,,,,,,,,,,,0.5282400949971308,0.4140760577254024
Cops5,,,,,0.2878061698439707,0.2644312461750306,0.2789773009964141,,,,,,,,,,,,0.579776240870135,0.39572525861094177
Fli1,0.22147536722408911,0.2936673603199003,0.3917057912233321,0.1687566301242622,0.24674234274592854,,,0.2115397499935864,,0.19663674291850367,,,,,,,,,0.18341552000633185,0.28175897305222913
Ifngr2,,0.1885705326021216,0.2777151071448642,0.0039009946622851157,0.2747073781434613,,,,,,,,,,,,,,0.3116912347172968,0.5371098080739704
Dnajc2,0.2731771419872189,0.32016920071671995,0.2551211505896098,0.341317730310249,0.2972371293167361,,,,,,,,,,,,,,0.4056391734298213,0.4255312347991356
