gene_name,P7-P8_likelihood,P2-P1_likelihood,P2-P7_likelihood,P5-P2_likelihood,P2-P4_likelihood,P6-P2_likelihood,P5-P7_likelihood,P6-P7_likelihood,P5-P6_likelihood,P6-P8_likelihood,P3-P6_likelihood,P5-P8_likelihood,P3-P5_likelihood,P5-P4_likelihood,P9-P7_likelihood,P9-P10_likelihood,P9-P8_likelihood,act_likelihood,P9-P4_likelihood,P9-P6_likelihood
Cd74,,0.051673370073930164,0.1415204428619665,0.1193606793608898,0.14304267568526258,0.015760310909571012,,0.2281533951395811,0.19641983812213504,0.19881029744316986,0.14200359889528724,,0.4929856112849782,0.26535176896246143,0.38298425508790784,0.4973949977302407,0.3623294746503561,8.808926093269855e-07,0.05689224607854839,0.2876893295599905
Il18rap,,,,,,,,,,,0.3476539503630092,,0.18626532966481915,,0.2684777774300732,0.2686225575164829,0.22511377953758946,0.5194179030820034,0.3105987223404807,0.4278555919041155
Smarcc1,,0.7216268090437181,0.5584535274682688,,0.5023201457126619,0.5263920966339629,,0.2616679099818197,,0.3651933035173503,,,,,,,,,,
Batf3,,0.4709740368679834,0.3753666121607326,0.3736910570382235,0.3545035270893139,0.4005613209535332,,,,,,,,,,,,1.8102271512167465e-05,0.07855238816159618,
Prdm1,,0.5302711988173638,0.524459743388157,0.2568132234951601,0.3668920708242,0.26883387816207177,0.33969670505081034,0.32813287489245296,,,,,0.2252730623963867,0.2122831609406476,,,,,,
Il23r,0.6510755214058874,,0.23883409496896366,0.0932335153165438,,,0.2691420253160364,0.3809430021057312,0.07500605777195304,,,0.22033773647236649,0.1417114976877093,,0.11972529586673165,,,4.974001596861109e-05,0.18403041128548295,
Il10ra,0.4069235019060249,,,,,0.26927661003454545,,0.27180593525084235,0.2565731830218694,0.2803287939610718,,,,,,,,,,
Ncor1,0.2217575702340437,,0.23064579303058716,,,,,,,,,,,,,,,,0.20512939707739186,0.20696531362509074
Cx3cr1,,,,,,0.2360917876555741,,0.2576998223247369,0.18657813924585773,0.27726294438131444,0.21203514760325315,,0.14030722262775613,,0.2564109050281861,0.3353691578115392,,0.32750462323370505,,
Tox,,,0.3527823261144721,,,,0.40827091448145897,0.4627973417721118,0.26323550675278284,0.2561879220072997,0.16931341097433178,0.2954622513051177,0.1843487558160321,0.3186080124498261,0.1855909821072462,0.2513760215561885,0.19380992280650688,0.17347730652896876,,
Cxcr5,,0.2429158687811333,0.2939181730723023,,,,0.4191373447047545,0.3574958168259496,,,0.05166952280183888,,0.16392296179044272,,0.2179669942274314,,,0.16723335424725494,,
Id3,,,0.2731339218082754,,,,0.241039153280635,0.38273559753842334,,,0.16858972697271118,,,,0.2509375999557568,,,0.0701929670127889,,
Id2,,0.29028938837715196,,0.3454631633016989,0.3278344316261333,0.3564358154465573,0.3326736806840207,0.3289635598945462,0.29314599903920696,0.27243834472285244,0.2341770845476339,,0.28887696624695264,,,,,,,
Entpd1,,,,0.1536687671597868,0.2607691306571309,0.2665584327917637,0.1749771691627661,,,,,,0.2649055330894714,,,,,,,
Runx3,,,0.2752260209660295,0.2140138247651397,0.2653471682256615,0.27542781204717304,0.2355958798075445,,0.22339439455193635,,0.2568532244957413,0.23313617409427784,0.26326526528375954,0.263095920842582,,,,,,
Tbx21,,0.4862125935836793,,,,,,,,,,,,,,0.2071538775034016,,0.30731228295996804,,
Batf,0.247108006166716,0.4614315556516978,,,,,0.3488562576361567,0.23564559237601515,0.187042884683147,,,0.27576236695121986,0.2129583134071603,0.2367357483349405,0.22475533969656572,,,0.2367762509479183,,
Sell,0.3471509409545435,0.3829200990927484,0.18381512012447151,0.3056521732639756,0.33182993914213604,0.31755605316172303,0.4078257486331699,0.5244714173233501,,,0.025849395962241502,,0.09025426196813716,0.1959329347597502,0.06925423294511379,0.000552564203375763,0.00010949712622877479,0.40368040297666796,0.032268429384624056,0.046759030739038525
Ube2b,0.3217420393848171,0.26415428973723265,0.27166310434494195,,,0.2654838102944587,0.2289523473038141,0.2384681268577545,0.2283850275851497,,,,,,,,,0.20990384759895472,,
Il6ra,0.2567206240467005,0.4392879415217855,0.2460376248172446,0.17787792189636656,0.2975071918235627,0.06758135956642469,0.2304393494800091,,,,,,,,,,,0.3168963186474539,,
Nt5e,0.2469715992030114,0.25911242555090597,0.19320963949760836,0.2049407135259512,0.2293156346080571,0.19798586349684227,0.2588496951291145,0.20151240702630974,,,,,0.17598190949049514,0.1977731822804365,,,,0.13884543953089767,,
Ifngr1,,0.4246883648062605,,,0.35902561954145595,0.3166465317088885,0.2190609407653562,0.3440468286841449,0.10328147356114674,0.2496161573712743,0.30718841371289346,0.3641475765864156,0.2666574876036694,0.3191174490809707,,,,0.3041666265908259,,0.2520480914894344
Il7r,0.5129849404442411,0.5430326806181794,0.4110063726256857,0.19858889131360996,0.4305698454224139,0.1658820237735911,0.2721634750412731,0.3063699590022564,0.21549285684207564,0.26595745206959936,0.1938255308373486,0.25584521758674444,0.1357891552744974,,0.2554310864535569,0.28499501306344754,0.2314190885637131,0.2808092335812342,0.2552642156343232,
Klrg1,0.2431418535771293,0.3670240441684861,0.3595936896662487,0.3980561719566879,0.3859503321052928,0.24377720581872345,0.40772326704353207,0.3302841937902408,0.3068161448231865,0.3370913753877232,0.2964256129186619,0.4066197939813277,0.3329389903510929,0.34670282940304803,0.26282355257784923,0.3702701494749461,0.26194874888462016,0.33081362015603405,,
Irf4,,0.4590334425146127,0.331773370188716,0.3394608476703589,0.28366161095499715,0.2831420940465669,0.2388168887801607,,0.2967935498635106,,0.2944150702322452,0.30622679550078696,0.2519380227668685,0.26030929676626435,,0.2367003066495471,,0.3100341727846359,0.2504379589521974,
Il18r1,0.3213366073990837,0.24166878837616196,0.26724540584180656,0.20346429134451804,,0.11948038026290547,0.4211761216034848,0.2533775374016249,0.2141337923763843,0.20943744493776373,0.19746520203922066,,0.19831728134310936,,0.2269577968803854,0.20550208265312706,,0.4716104540051971,0.3231285237194881,0.4170657014580832
Il2ra,,0.344307044126634,0.3643815900267436,0.2866493118037121,0.2846632821136497,0.2658947035965229,0.2950262567428819,0.3278900860108295,0.26328859019389456,,0.2813258529061251,0.26119803961887,0.2308830809424542,0.2632800911922266,0.186906873621499,,0.17026417411892147,0.23786504530004945,0.3410945923361983,0.31662557538625186
Tnfsf8,,0.4133440848827998,0.2593102101696101,0.19606130204812086,0.2577406879873533,0.19553146928363396,0.3116338137427206,0.4575418749130501,0.14648179425044594,0.15566326266193062,0.12753705572939825,0.18403291137315575,0.1673466054788802,,0.3233064168252329,0.1430964593697134,0.19022452695939435,0.20558811699036486,0.18925321915311105,0.17101265291276108
Slamf6,0.26535835921756884,0.15886616647175245,0.2640341822887348,0.2742503657256179,,,0.37116289476782893,0.34977920930407075,0.244285345484906,,0.2111042192155368,0.26564257289430043,0.2204137881109127,0.2750673605402396,0.21982870436098376,0.2657195510959031,0.2441606638515336,0.22293938469837704,0.21225665568084706,0.22079518010125165
Zeb2,,0.11704612608578008,0.2191229144501206,0.1930574893467633,0.17429721250873767,0.21349565163537607,0.22302939490273066,0.20490853453678165,0.2540606378520454,0.22406118989282212,0.2634386967840038,0.2469678680054644,0.2872461521793596,0.2372526721909583,0.31654244187648545,0.42970654339817066,0.2395689577126454,0.3935192797732992,0.2388573155059492,0.2530968031858003
