gene_name,P2-P1_likelihood,P5-P2_likelihood,P2-P7_likelihood,P2-P4_likelihood,P6-P2_likelihood
Cd200r1,0.27784532789446065,0.2759639838486843,0.2591803045385009,0.3360526240976972,0.2083741845132171
Brca1,0.6743027920299097,0.2620375732779852,0.3297961133472623,0.3148482407593179,0.4247632188113255
Tnfrsf4,0.3075365585670328,0.2533519679144935,0.289819485839706,0.2758260286231493,0.2548517175350214
Klrc1,0.3878626869934396,0.3938541647593761,0.3676712509220037,0.3727857468721953,0.3543462002786117
Bcl11a,0.17982458043538602,0.07402893170071959,0.07716152381469955,0.191625439753795,0.11765951076581235
Kdm5b,0.4296191553469421,0.2948427843789836,0.3840898429155206,0.31499530899124,0.17971180585754373
Bard1,0.5666522072761125,0.2579567659165593,0.5123956944371216,0.2935837533815892,0.3627695411799819
Crtam,0.24269399347186354,0.18844542943705,0.4170025573710299,0.2108116331297808,0.21069228671375875
Atad2,0.4030301124789795,0.42428964406036784,0.4148545721223437,0.3596241712198548,0.33929215040204475
Klra6,0.14359804119110764,0.2377175110050136,0.26823136988651536,0.3169418924337053,0.25313304539174963
Snrpd1,0.8548196283937224,0.3114963385805655,0.7153468114281949,0.5929409820346163,0.4164852347354738
Trem1,2.8497899658682067e-05,0.0007948629808518621,0.1260980965803693,0.07330301295271181,0.00924028244871696
Trip13,0.4673088617920307,0.2541189634321861,0.2953747044696229,0.2919318822890089,0.3361359754469036
Sema7a,0.28270702333011793,0.2660526517872042,0.24773394796389214,0.2951944061272036,0.2929708747198907
Hells,0.7196801643936106,0.4225969429608829,0.6125666645857794,0.4768060875781046,0.5227660976128509
Csf1r,0.3552465554575361,0.4045003752968432,0.17512086320089285,0.3830195294876584,0.2559471137739124
Sp100,0.3479215993019318,0.32370973426530825,0.5032998258159438,0.4613480602885593,0.4150434179487823
Trdv1,0.03211642878403505,0.2472948373366102,0.23446379782395685,0.1702418718093378,0.18051825620628434
Nrp1,0.2259805054511871,0.18296492233737635,0.2919916339904756,0.2032619655611169,0.16099749040962458
Supt16,0.6456676761201172,0.3104545085230842,0.5577517784398263,0.5259953621558724,0.3968706578985355
Hdac9,0.02906673321980456,0.02211860787754273,0.23000828390519765,0.3170365195124075,0.0199498457074185
Itgal,0.294696903984114,0.3273766672597504,0.4295260351562572,0.34102461937207323,0.28686724778219125
Eed,0.4080705260967615,0.2729200243197135,0.42632126486390093,0.2419233142036293,0.2378342609205395
Clec12a,0.08275571058753133,0.049653818512361385,0.014939927486601915,0.03514548427328293,0.0003392489598559053
Cd226,0.3995002625349245,0.31156489598202985,0.5616786838297188,0.4024508922362645,0.3697911696862449
Irf4,0.4590334425146127,0.3394608476703589,0.331773370188716,0.28366161095499715,0.2831420940465669
Cd300c2,0.15399377685029186,0.21971784290456756,0.046630306982388806,0.09476277433765457,0.14546764168696022
Nap1l1,1.9498176010178712,0.7322246894433985,1.451154661722004,1.1605047250313685,1.0735892611726596
Ifngr2,0.3116912347172968,0.2777151071448642,0.5371098080739704,0.1885705326021216,0.0039009946622851157
Havcr2,0.5307069732408395,0.26679343350241275,0.5110502178149708,0.43882159717564,0.2913225637064231
Plaur,0.0043436287641273295,0.1791536954445352,0.312079588071346,0.3824714656905363,0.04361007223412675
Zbtb16,0.3479546804643558,0.07908243875731583,0.18665930418559035,0.2451043576550402,0.04625920036085219
Scml4,0.4453542282077169,0.2706778863405945,0.5179898336689179,0.2610898438050513,0.26559530893327393
Tcerg1,0.3326062231793889,0.2376826328124872,0.2910710597828166,0.25130944831612073,0.3299505538269259
Mcm4,0.9811960462990764,0.3423882393183636,0.6675510685238085,0.466241197876701,0.5432854437072093
Ruvbl2,0.4196551952049417,0.3338231336027397,0.4350882774907337,0.3251285156331908,0.3573685335533772
Zbtb10,0.3278495642758857,0.2180939479720141,0.2707583719359773,0.5103064354242004,0.2567403335677406
Chaf1a,0.4586543023932421,0.2499131880708891,0.35573166580872456,0.3627248788602188,0.31757320812919226
Il7r,0.5430326806181794,0.19858889131360996,0.4110063726256857,0.4305698454224139,0.1658820237735911
Abcb1a,0.3057778193506601,0.2443443052509745,0.30445812358951435,0.34218550374033313,0.2473382733916099
Pbx1,0.0019013108645962497,0.014006452568059477,0.0342255664950193,0.13668038603293864,0.1315864389839923
Tnfsf4,0.4637127212774417,0.3900702703358277,0.4165709531225319,0.2944954066268406,0.351457019362898
Sell,0.3829200990927484,0.3056521732639756,0.18381512012447151,0.33182993914213604,0.31755605316172303
E2f8,0.4287761673965991,0.28252245974596835,0.313213061165085,0.39392438808124747,0.4326740904395541
Cbfa2t3,0.13156979173470765,0.10633619381487112,0.18661815375435,0.14193212822204074,0.16305513748244574
Kdm7a,0.4883695221702506,0.2292850268879135,0.5027687312379638,0.3179436280225881,0.2399359312424616
Klrb1c,0.18263489764879665,0.18572478233032266,0.21662153490088293,0.2886217236581777,0.25547483261140363
Pou6f1,0.3563180970644369,0.2626623656673663,0.3795990310319647,0.27976271428943456,0.2149751595113944
Suz12,0.5713533801977096,0.2289170106270656,0.5470282298724003,0.38277170603558,0.3939692085639404
