gene_name,P3-P6_likelihood,P3-P5_likelihood,act_likelihood,P2-P7_likelihood,P9-P7_likelihood,P7-P8_likelihood,P5-P7_likelihood,P6-P7_likelihood,P5-P8_likelihood,P6-P8_likelihood,P9-P8_likelihood,P9-P4_likelihood,P5-P2_likelihood,P5-P6_likelihood,P9-P6_likelihood,P5-P4_likelihood,P2-P1_likelihood,P9-P10_likelihood,P2-P4_likelihood,P6-P2_likelihood
Il6ra,,,0.18760824009548327,,,0.2611802046593827,,,,,,,0.31856143491241845,,,,,,0.4631861888891667,0.3416008729150549
Sell,,,0.1839532672795172,,,,0.20024386395673266,,,,,0.31873853846814343,0.3814312045089885,,,,,,0.6286852434386078,0.35573187579494936
Phf19,0.2141469836661666,,0.23208423530428104,0.3370258294816364,0.36096349552772056,,0.2781222541714269,,,,,,,,,,,,0.2640976665307836,0.2363462620433284
Ube2b,,,,0.271721643158204,,,0.20883880060243368,,,,,0.2764498043228617,,,,,,,0.3674430845062256,0.24985169604853444
Tcf7,0.6481896629804885,0.6135922008144442,0.7217889180580715,0.5417678625711326,0.4808446310835489,0.7746916384703512,0.7072633143114253,0.8156560284493579,0.28700579181469754,0.20803934832653226,,0.3906016570177073,0.3034250313742613,0.2811446559069222,0.2588036380796898,0.2153999657765107,,,0.3656089276985912,0.2547919494450868
Slamf6,0.33201682992083426,0.3437254188472433,0.4126284487605959,0.5283253907396644,0.5638604553370266,0.4057236895537643,0.6069860626099696,0.5546499908640636,,0.2607328964796542,0.2085178815835275,,0.2837847157400617,0.2580784668753312,,0.2567210246489671,,,,0.27476390340807577
Tnfsf8,0.3294100896693429,0.4191477931533314,0.4257420808844543,0.5080965090849563,0.43570985440040505,0.5566284714628986,0.6323886068307957,0.6222780722661009,0.17217016278227726,0.1635622154546263,0.2647712085335884,,0.3297658670870904,0.2487391213440967,0.2685080564921229,0.2464053811253687,,,,0.16634257644635242
Aff3,0.4854392579133679,0.3615619664875631,0.4365121264366848,0.5005892047335855,,0.5775504790135326,0.5462051192048242,0.5803058069432354,0.12351542990920872,,,,0.25264018579140385,0.16670158909012905,,0.22615376530061115,,,0.3562022144369101,0.24016296782498586
Ifngr1,,0.5080307629938694,0.43764746031034535,0.3782109146956496,,0.43130196394261744,0.4676838996632465,0.5535779783131632,,,,0.3464891201844568,0.27750832498769284,,,0.3428789754464129,,,0.4235159446772701,0.3889573740587083
Nap1l1,0.16860184222226185,,,0.8242218626405727,0.3052347456609881,0.34804068776864605,0.4145266568746971,0.39787770350197416,0.3368215344037559,,,0.2445982224547913,,0.3787243061794265,0.32244090422326105,,,,0.5875231295539307,0.7015131300104039
Dnmt1,0.3101866002922508,,0.4300171925664022,0.3864165385634959,0.4421294866642019,0.3689266826455379,0.570957462915815,0.34877007005037314,0.5625410820006019,0.44937239288392256,0.5884549713900283,0.2538353169665541,,0.4962916911584349,0.3729114980027585,,,,,0.5499025519209099
Nsd2,0.2807344768408977,0.27977554686969464,0.3995145622865449,0.44850069328678616,0.5649592091042795,0.3665636156404158,0.521629826509168,0.497427097473266,0.5584481836811162,0.4106828539834169,0.3295635867418607,,0.2648519241350522,0.4853631147151264,0.4604276397596113,,,,0.26077338553874124,0.4740179604767688
Aurkb,,,,0.30339018888416164,0.3487375090180396,0.4171375118695909,0.2821394769414862,0.3350766080912226,0.321744462246938,0.21269045968174066,0.3490527628183431,0.29803135729740704,,0.30372640902121834,,,,,,0.6292029438940746
Supt16,,,0.3120978837286393,0.5994914925957994,0.3048868486088264,0.2364955090645071,0.3729373575228776,0.27968878605385616,0.3766784106172821,0.2965491296044534,0.2397198679841138,0.4059573711082261,0.297512856366577,0.2973248554324672,0.3036799823895929,,,,0.2569218685363913,0.38832021093579855
Cd74,0.31406129826463663,0.2904028744606369,0.1600566327638338,0.2790157992685205,0.20001115366507075,0.4807786777174764,0.34229180622952904,0.24728448175515555,0.5851438327715778,0.4212042107989623,0.5338401280640521,0.8478618925016324,0.5386467087046601,0.26859538804681826,0.3811714150756608,0.5474023271269362,,,0.8134399196180543,0.4402817293924667
Uhrf1,,0.3646535667195209,0.4470270437822824,1.1508750921870967,0.7784301008224489,0.7564787969238219,0.6048250778591133,0.4881897514971332,0.4343041025798611,0.3480169885903108,0.4751358548751787,0.1946099558893623,,0.4559221239534709,,0.27805130879535195,,,0.5357525333615785,0.4621444226904708
