ChIP,type,CD4_CD8
2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,Histone,CD8
2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,Histone,CD8
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,TF,CD8
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,TF,CD8
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,TF,CD8
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,TF,CD8
2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,Histone,CD8
2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,Histone,CD8
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,TF,CD8
2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT,TF,CD8
