ChIP,ChIP gene #,type,CD4_CD8,use
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,479,TF,CD8,
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,5711,TF,CD8,
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,7855,TF,CD8,
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,5885,TF,CD8,
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,185,TF,CD8,
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,5013,TF,CD8,
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,1716,TF,CD8,
2016_SCIENCE_Mackay___Hobit_invitro-CD8,270,TF,CD8,
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,6201,TF,CD8,
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,227,TF,CD8,no
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,5180,TF,CD8,
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,9882,Histone,CD8,
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,9399,Histone,CD8,
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,5135,Histone,CD8,
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,5983,Histone,CD8,
2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,5794,Histone,CD8,
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,12244,Histone,CD8,
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,12441,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,7810,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,10683,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,11362,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,6290,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2344,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,8024,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,8010,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,4470,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,11565,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,12083,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,15671,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,12275,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,11227,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,6520,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,7288,Histone,CD8,
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,5666,Histone,CD8,
2017_PNAS_Li___H3K27Ac_IL2-CD4,11747,Histone,CD4,no
2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,12574,Histone,CD4,no
2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,12233,Histone,CD4,no
2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,12990,Histone,CD4,no
2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,12167,Histone,CD4,no
2017_PNAS_Li___H3K27Ac-noIL2-CD4,11701,Histone,CD4,no
2017_PNAS_Li___H3K4me3_IL2-CD4,13823,Histone,CD4,no
2017_PNAS_Li___H3K4me3-noIL2-CD4,13677,Histone,CD4,no
2017_PNAS_Li___STAT3_IL21-CD4,2779,TF,CD4,no
2017_PNAS_Li___STAT3_noIL21-CD4,238,TF,CD4,no
2017_PNAS_Li___STAT5B_IL2-CD4,5394,TF,CD4,no
2017_PNAS_Li___STAT5B_IL2-CD8,2526,TF,CD8,
2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,1710,TF,CD4,no
2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,5473,TF,CD4,no
2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,7602,TF,CD4,no
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,TF,CD4,no
2017_PNAS_Li___STAT5B_noIL2-CD8,282,TF,CD8,no
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,TF,,
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,TF,CD8,no
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,TF,CD8,
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,Histone,CD8,
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,TF,CD8,
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,Histone,CD8,
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,Histone,CD8,
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,Histone,CD8,
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,TF,CD8,
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,TF,CD8,
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,TF,CD8,
